Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,32804.333333333336,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,32789.666666666664,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,32775.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,33047.0,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,33319.0,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,33591.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,34174.333333333336,31125.627692307702,2572.3,2.7,5.69
1996-01-08,34757.666666666664,31246.72974358975,2571.6,2.7,5.69
1996-01-09,35341.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,36203.333333333336,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,37065.666666666664,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,37928.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,38215.333333333336,31852.24,2568.1,2.6,5.94
1997-01-02,38502.666666666664,31917.553333333333,2567.5,2.4,5.94
1997-01-03,38790.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,39231.0,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,39672.0,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,40113.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,40454.333333333336,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,40795.666666666664,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,41137.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,41176.0,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,41215.0,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,41254.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,41344.0,32636.0,2560.9,1.8,7.25
1998-01-02,41434.0,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,41524.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,41700.666666666664,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,41877.333333333336,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,42054.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,42036.0,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,42018.0,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,42000.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,41983.333333333336,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,41966.666666666664,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,41950.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,41949.0,33336.0,2550.3,2.0,6.0
1999-01-02,41948.0,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,41947.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,41941.666666666664,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,41936.333333333336,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,41931.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,42234.0,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,42537.0,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,42840.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,43396.666666666664,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,43953.333333333336,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,44510.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,44930.333333333336,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,45350.666666666664,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,45771.0,34649.5,2542.85,1.0,5.75
2000-01-04,46251.666666666664,34774.25,2542.575,0.9,5.75
2000-01-05,46732.333333333336,34899.0,2542.3,1.0,5.75
2000-01-06,47213.0,35023.75,2542.025,1.2,5.75
2000-01-07,47267.0,35148.5,2541.75,1.2,5.75
2000-01-08,47321.0,35273.25,2541.475,1.0,5.75
2000-01-09,47375.0,35398.0,2541.2,1.3,5.75
2000-01-10,47289.0,35522.75,2540.925,1.4,5.75
2000-01-11,47203.0,35647.5,2540.65,1.5,5.75
2000-01-12,47117.0,35772.25,2540.375,1.2,5.75
2001-01-01,47229.0,35897.0,2540.1,1.2,5.75
2001-01-02,47341.0,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,47453.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,47788.666666666664,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,48124.333333333336,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,48460.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,49190.0,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,49920.0,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,50650.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,51512.0,37616.0,2540.475,1.6,4.5
2001-01-11,52374.0,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,53236.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,53900.333333333336,38189.0,2540.6,1.8,4.0
2002-01-02,54564.666666666664,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,55229.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,55910.333333333336,38718.5,2540.575,1.6,4.0
2002-01-05,56591.666666666664,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,57273.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,57826.666666666664,39248.0,2540.55,1.4,4.0
2002-01-08,58380.333333333336,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,58934.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,59251.0,39777.5,2540.525,1.5,4.0
2002-01-11,59568.0,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,59885.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,59992.333333333336,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,60099.666666666664,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,60207.0,40838.0,2540.5,1.6,3.75
2003-01-04,59966.0,41103.5,2540.5,1.5,3.75
2003-01-05,59725.0,41369.0,2540.5,1.3,3.75
2003-01-06,59484.0,41634.5,2540.5,1.2,3.75
2003-01-07,59437.333333333336,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,59390.666666666664,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,59344.0,42431.0,2540.5,1.3,3.5
2003-01-10,59779.333333333336,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,60214.666666666664,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,60650.0,43227.5,2540.5,1.3,3.75
2004-01-01,60802.666666666664,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,60955.333333333336,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,61108.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,61749.333333333336,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,62390.666666666664,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,63032.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,62865.666666666664,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,62699.333333333336,44634.583333333336,2544.35,1.4,4.583333333333333
2004-01-09,62533.0,44797.666666666664,2544.9,1.2,4.75
2004-01-10,61072.666666666664,44960.75,2545.45,1.3,4.75
2004-01-11,59612.333333333336,45123.833333333336,2546.0,1.5,4.75
2004-01-12,58152.0,45286.916666666664,2546.5499999999997,1.8,4.75
2005-01-01,56923.333333333336,45450.0,2547.1,1.7,4.75
2005-01-02,55694.666666666664,45640.833333333336,2547.5583333333334,1.7,4.75
2005-01-03,54466.0,45831.666666666664,2548.0166666666664,2.0,4.75
2005-01-04,53156.333333333336,46022.5,2548.475,1.9,4.75
2005-01-05,51846.666666666664,46213.333333333336,2548.9333333333334,1.9,4.75
2005-01-06,50537.0,46404.166666666664,2549.3916666666664,2.0,4.75
2005-01-07,49961.0,46595.0,2549.85,2.3,4.666666666666667
2005-01-08,49385.0,46785.833333333336,2550.3083333333334,2.4,4.583333333333333
2005-01-09,48809.0,46976.666666666664,2550.7666666666664,2.5,4.5
2005-01-10,49260.0,47167.5,2551.225,2.4,4.5
2005-01-11,49711.0,47358.333333333336,2551.6833333333334,2.2,4.5
2005-01-12,50162.0,47549.166666666664,2552.1416666666664,2.1,4.5
2006-01-01,51264.0,47740.0,2552.6,2.2,4.5
2006-01-02,52366.0,47843.083333333336,2553.383333333333,2.2,4.5
2006-01-03,53468.0,47946.166666666664,2554.1666666666665,2.0,4.5
2006-01-04,54227.0,48049.25,2554.95,2.2,4.5
2006-01-05,54986.0,48152.333333333336,2555.733333333333,2.4,4.5
2006-01-06,55745.0,48255.416666666664,2556.5166666666664,2.6,4.5
2006-01-07,56428.0,48358.5,2557.3,2.5,4.583333333333333
2006-01-08,57111.0,48461.583333333336,2558.0833333333335,2.6,4.666666666666667
2006-01-09,57794.0,48564.666666666664,2558.866666666667,2.5,4.75
2006-01-10,58659.0,48667.75,2559.65,2.5,4.833333333333333
2006-01-11,59524.0,48770.833333333336,2560.4333333333334,2.8,4.916666666666667
2006-01-12,60389.0,48873.916666666664,2561.2166666666667,2.9,5.0
2007-01-01,60764.0,48977.0,2562.0,2.7,5.083333333333333
2007-01-02,61139.0,49071.833333333336,2562.6083333333336,2.7,5.166666666666667
2007-01-03,61514.0,49166.666666666664,2563.2166666666667,2.9,5.25
