Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,143148.66666666666,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,143727.33333333334,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,144306.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,146329.33333333334,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,148352.66666666666,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,150376.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,154301.33333333334,131729.3734615385,7826.75,2.7,5.69
1996-01-08,158226.66666666666,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,162152.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,167331.0,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,172510.0,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,177689.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,180549.0,135969.93,7853.1,2.6,5.94
1997-01-02,183409.0,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,186269.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,189562.33333333334,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,192855.66666666666,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,196149.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,198513.66666666666,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,200878.33333333334,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,203243.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,202987.0,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,202731.0,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,202475.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,201648.33333333334,150178.0,7888.8,1.8,7.25
1998-01-02,200821.66666666666,150815.25,7894.325,1.8,7.25
1998-01-03,199995.0,151452.5,7899.85,1.9,7.25
1998-01-04,199137.0,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,198279.0,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,197421.0,153364.25,7916.425,1.9,7.5
1998-01-07,196053.33333333334,154001.5,7921.950000000001,1.7,7.5
1998-01-08,194685.66666666666,154638.75,7927.475,1.6,7.5
1998-01-09,193318.0,155276.0,7933.0,1.7,7.5
1998-01-10,191802.0,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,190286.0,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,188770.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,189236.66666666666,157825.0,7955.1,2.0,6.0
1999-01-02,189703.33333333334,158477.0,7958.058333333333,1.9,5.75
1999-01-03,190170.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,191424.33333333334,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,192678.66666666666,160433.0,7966.933333333333,1.7,5.166666666666667
1999-01-06,193933.0,161085.0,7969.891666666667,1.8,5.0
1999-01-07,197459.0,161737.0,7972.85,1.7,5.083333333333333
1999-01-08,200985.0,162389.0,7975.808333333333,1.6,5.166666666666667
1999-01-09,204511.0,163041.0,7978.766666666667,1.6,5.25
1999-01-10,208506.33333333334,163693.0,7981.725,1.5,5.333333333333333
1999-01-11,212501.66666666666,164345.0,7984.683333333333,1.5,5.416666666666667
1999-01-12,216497.0,164997.0,7987.641666666667,1.5,5.5
2000-01-01,217950.33333333334,165649.0,7990.6,1.2,5.583333333333333
2000-01-02,219403.66666666666,166174.0,7993.333333333334,1.2,5.666666666666667
2000-01-03,220857.0,166699.0,7996.066666666667,1.0,5.75
2000-01-04,220421.33333333334,167224.0,7998.8,0.9,5.75
