Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,28307.333333333332,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,28366.666666666668,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,28426.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,28900.333333333332,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,29374.666666666668,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,29849.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,30848.666666666668,76991.5653846154,5249.85,2.7,5.69
1996-01-08,31848.333333333332,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,32848.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,33912.333333333336,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,34976.666666666664,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,36041.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,36665.666666666664,79374.78,5266.9,2.6,5.94
1997-01-02,37290.333333333336,79949.54833333334,5269.825,2.4,5.94
1997-01-03,37915.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,38643.666666666664,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,39372.333333333336,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,40101.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,40533.0,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,40965.0,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,41397.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,41190.333333333336,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,40983.666666666664,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,40777.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,40532.0,86272.0,5302.0,1.8,7.25
1998-01-02,40287.0,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,40042.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,39798.333333333336,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,39554.666666666664,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,39311.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,38924.666666666664,88164.5,5320.35,1.7,7.5
1998-01-08,38538.333333333336,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,38152.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,37943.666666666664,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,37735.333333333336,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,37527.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,37570.666666666664,90057.0,5338.7,2.0,6.0
1999-01-02,37614.333333333336,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,37658.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,37954.0,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,38250.0,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,38546.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,39413.0,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,40280.0,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,41147.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,42044.333333333336,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,42941.666666666664,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,43839.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,44097.666666666664,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,44356.333333333336,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,44615.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,44281.333333333336,96091.25,5381.375,0.9,5.75
2000-01-05,43947.666666666664,96494.33333333333,5383.5,1.0,5.75
2000-01-06,43614.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,42436.333333333336,97300.5,5387.75,1.2,5.75
2000-01-08,41258.666666666664,97703.58333333333,5389.875,1.0,5.75
2000-01-09,40081.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,38999.333333333336,98509.75,5394.125,1.4,5.75
2000-01-11,37917.666666666664,98912.83333333333,5396.25,1.5,5.75
2000-01-12,36836.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,36552.0,99719.0,5400.5,1.2,5.75
2001-01-02,36268.0,100041.0,5403.183333333333,1.2,5.75
2001-01-03,35984.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,36335.333333333336,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,36686.666666666664,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,37038.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,37975.0,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,38912.0,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,39849.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,40443.666666666664,102617.0,5424.65,1.6,4.5
2001-01-11,41038.333333333336,102939.0,5427.333333333333,1.2,4.25
2001-01-12,41633.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,41944.0,103583.0,5432.7,1.8,4.0
2002-01-02,42255.0,104128.5,5436.15,1.7,4.0
2002-01-03,42566.0,104674.0,5439.6,1.7,4.0
2002-01-04,42821.666666666664,105219.5,5443.05,1.6,4.0
2002-01-05,43077.333333333336,105765.0,5446.5,1.2,4.0
2002-01-06,43333.0,106310.5,5449.95,1.1,4.0
2002-01-07,43335.666666666664,106856.0,5453.4,1.4,4.0
2002-01-08,43338.333333333336,107401.5,5456.85,1.3,4.0
2002-01-09,43341.0,107947.0,5460.3,1.2,4.0
2002-01-10,43305.0,108492.5,5463.75,1.5,4.0
2002-01-11,43269.0,109038.0,5467.200000000001,1.6,4.0
2002-01-12,43233.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,42931.666666666664,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,42630.333333333336,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,42329.0,110792.33333333333,5479.85,1.6,3.75
2003-01-04,41194.0,111124.0,5482.725,1.5,3.75
2003-01-05,40059.0,111455.66666666667,5485.6,1.3,3.75
2003-01-06,38924.0,111787.33333333333,5488.475,1.2,3.75
2003-01-07,38036.0,112119.0,5491.35,1.3,3.6666666666666665
2003-01-08,37148.0,112450.66666666667,5494.225,1.4,3.5833333333333335
2003-01-09,36260.0,112782.33333333333,5497.1,1.3,3.5
2003-01-10,36399.333333333336,113114.0,5499.975,1.3,3.5833333333333335
2003-01-11,36538.666666666664,113445.66666666667,5502.85,1.3,3.6666666666666665
2003-01-12,36678.0,113777.33333333333,5505.725,1.3,3.75
2004-01-01,37027.333333333336,114109.0,5508.6,1.5,3.8333333333333335
2004-01-02,37376.666666666664,114640.08333333333,5513.108333333334,1.4,3.9166666666666665
2004-01-03,37726.0,115171.16666666667,5517.616666666667,1.2,4.0
2004-01-04,38542.333333333336,115702.25,5522.125,1.1,4.083333333333333
2004-01-05,39358.666666666664,116233.33333333333,5526.633333333333,1.4,4.166666666666667
2004-01-06,40175.0,116764.41666666667,5531.141666666666,1.5,4.25
2004-01-07,40472.0,117295.5,5535.65,1.4,4.416666666666667
2004-01-08,40769.0,117826.58333333333,5540.158333333334,1.4,4.583333333333333
2004-01-09,41066.0,118357.66666666667,5544.666666666667,1.2,4.75
2004-01-10,39996.333333333336,118888.75,5549.175,1.3,4.75
2004-01-11,38926.666666666664,119419.83333333333,5553.683333333333,1.5,4.75
2004-01-12,37857.0,119950.91666666667,5558.191666666667,1.8,4.75
2005-01-01,36819.0,120482.0,5562.7,1.7,4.75
2005-01-02,35781.0,120976.0,5566.333333333333,1.7,4.75
2005-01-03,34743.0,121470.0,5569.966666666666,2.0,4.75
2005-01-04,33677.666666666664,121964.0,5573.6,1.9,4.75
2005-01-05,32612.333333333332,122458.0,5577.233333333334,1.9,4.75
2005-01-06,31547.0,122952.0,5580.866666666667,2.0,4.75
2005-01-07,31064.0,123446.0,5584.5,2.3,4.666666666666667
2005-01-08,30581.0,123940.0,5588.133333333333,2.4,4.583333333333333
2005-01-09,30098.0,124434.0,5591.766666666666,2.5,4.5
2005-01-10,30547.333333333332,124928.0,5595.4,2.4,4.5
2005-01-11,30996.666666666668,125422.0,5599.033333333334,2.2,4.5
2005-01-12,31446.0,125916.0,5602.666666666667,2.1,4.5
