Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,232078.66666666666,718499.606153846,48519.1,2.9,6.233333333333333
1996-01-02,232315.33333333334,722660.2356410255,48531.24166666667,3.0,6.086666666666667
1996-01-03,232552.0,726820.865128205,48543.38333333333,3.0,5.94
1996-01-04,234963.66666666666,730981.4946153845,48555.525,2.8,5.856666666666667
1996-01-05,237375.33333333334,735142.1241025641,48567.666666666664,2.8,5.773333333333333
1996-01-06,239787.0,739302.7535897435,48579.808333333334,2.8,5.69
1996-01-07,244989.0,743463.383076923,48591.95,2.7,5.69
1996-01-08,250191.0,747624.0125641025,48604.09166666667,2.7,5.69
1996-01-09,255393.0,751784.642051282,48616.23333333334,2.7,5.69
1996-01-10,262339.6666666667,755945.2715384616,48628.375,3.0,5.773333333333333
1996-01-11,269286.3333333333,760105.901025641,48640.51666666667,3.1,5.856666666666667
1996-01-12,276233.0,764266.5305128206,48652.65833333333,2.8,5.94
1997-01-01,279767.3333333333,768427.16,48664.8,2.6,5.94
1997-01-02,283301.6666666667,775145.0633333334,48677.78333333333,2.4,5.94
1997-01-03,286836.0,781862.9666666667,48690.76666666667,2.2,5.94
1997-01-04,290616.6666666667,788580.87,48703.75,2.1,6.043333333333334
1997-01-05,294397.3333333333,795298.7733333333,48716.73333333334,2.1,6.1466666666666665
1997-01-06,298178.0,802016.6766666666,48729.71666666667,2.1,6.25
1997-01-07,300678.6666666667,808734.5800000001,48742.7,2.4,6.416666666666667
1997-01-08,303179.3333333333,815452.4833333334,48755.683333333334,2.3,6.583333333333333
1997-01-09,305680.0,822170.3866666667,48768.666666666664,2.2,6.75
1997-01-10,304781.0,828888.29,48781.65,2.2,6.916666666666667
1997-01-11,303882.0,835606.1933333334,48794.63333333333,2.1,7.083333333333333
1997-01-12,302983.0,842324.0966666667,48807.61666666667,1.9,7.25
1998-01-01,301657.3333333333,849042.0,48820.6,1.8,7.25
1998-01-02,300331.6666666667,852313.25,48838.291666666664,1.8,7.25
1998-01-03,299006.0,855584.5,48855.98333333333,1.9,7.25
1998-01-04,297941.3333333333,858855.75,48873.675,2.1,7.333333333333333
1998-01-05,296876.6666666667,862127.0,48891.36666666667,2.2,7.416666666666667
1998-01-06,295812.0,865398.25,48909.058333333334,1.9,7.5
1998-01-07,294522.3333333333,868669.5,48926.75,1.7,7.5
1998-01-08,293232.6666666667,871940.75,48944.441666666666,1.6,7.5
1998-01-09,291943.0,875212.0,48962.13333333333,1.7,7.5
1998-01-10,290989.6666666667,878483.25,48979.825,1.6,7.083333333333333
1998-01-11,290036.3333333333,881754.5,48997.51666666667,1.7,6.666666666666667
1998-01-12,289083.0,885025.75,49015.208333333336,1.9,6.25
1999-01-01,289696.0,888297.0,49032.9,2.0,6.0
1999-01-02,290309.0,891954.5,49049.6,1.9,5.75
1999-01-03,290922.0,895612.0,49066.3,2.1,5.5
1999-01-04,292819.0,899269.5,49083.0,2.0,5.333333333333333
1999-01-05,294716.0,902927.0,49099.700000000004,1.7,5.166666666666667
1999-01-06,296613.0,906584.5,49116.4,1.8,5.0
1999-01-07,301137.3333333333,910242.0,49133.100000000006,1.7,5.083333333333333
1999-01-08,305661.6666666667,913899.5,49149.8,1.6,5.166666666666667
1999-01-09,310186.0,917557.0,49166.5,1.6,5.25
1999-01-10,315012.0,921214.5,49183.200000000004,1.5,5.333333333333333
1999-01-11,319838.0,924872.0,49199.9,1.5,5.416666666666667
1999-01-12,324664.0,928529.5,49216.600000000006,1.5,5.5
2000-01-01,326894.0,932187.0,49233.3,1.2,5.583333333333333
2000-01-02,329124.0,935399.25,49251.333333333336,1.2,5.666666666666667
2000-01-03,331354.0,938611.5,49269.36666666667,1.0,5.75
2000-01-04,331606.6666666667,941823.75,49287.4,0.9,5.75
2000-01-05,331859.3333333333,945036.0,49305.433333333334,1.0,5.75
2000-01-06,332112.0,948248.25,49323.46666666667,1.2,5.75
2000-01-07,327094.6666666667,951460.5,49341.5,1.2,5.75
2000-01-08,322077.3333333333,954672.75,49359.53333333333,1.0,5.75
2000-01-09,317060.0,957885.0,49377.566666666666,1.3,5.75
2000-01-10,311789.0,961097.25,49395.6,1.4,5.75
2000-01-11,306518.0,964309.5,49413.63333333333,1.5,5.75
2000-01-12,301247.0,967521.75,49431.666666666664,1.2,5.75
2001-01-01,299909.6666666667,970734.0,49449.7,1.2,5.75
2001-01-02,298572.3333333333,974186.9166666666,49468.83333333333,1.2,5.75
2001-01-03,297235.0,977639.8333333334,49487.96666666667,1.3,5.75
2001-01-04,298713.3333333333,981092.75,49507.1,1.5,5.583333333333333
2001-01-05,300191.6666666667,984545.6666666666,49526.23333333333,1.9,5.416666666666667
2001-01-06,301670.0,987998.5833333334,49545.36666666667,1.9,5.25
2001-01-07,307369.6666666667,991451.5,49564.5,1.7,5.083333333333333
2001-01-08,313069.3333333333,994904.4166666666,49583.63333333333,2.1,4.916666666666667
2001-01-09,318769.0,998357.3333333334,49602.76666666667,1.7,4.75
2001-01-10,323665.0,1001810.25,49621.9,1.6,4.5
2001-01-11,328561.0,1005263.1666666666,49641.03333333333,1.2,4.25
2001-01-12,333457.0,1008716.0833333334,49660.16666666667,1.4,4.0
2002-01-01,336445.0,1012169.0,49679.3,1.8,4.0
2002-01-02,339433.0,1016857.9166666666,49699.816666666666,1.7,4.0
2002-01-03,342421.0,1021546.8333333334,49720.333333333336,1.7,4.0
2002-01-04,345290.3333333333,1026235.75,49740.850000000006,1.6,4.0
2002-01-05,348159.6666666667,1030924.6666666666,49761.36666666667,1.2,4.0
2002-01-06,351029.0,1035613.5833333334,49781.88333333333,1.1,4.0
2002-01-07,351968.0,1040302.5,49802.4,1.4,4.0
2002-01-08,352907.0,1044991.4166666666,49822.91666666667,1.3,4.0
2002-01-09,353846.0,1049680.3333333333,49843.433333333334,1.2,4.0
2002-01-10,353846.3333333333,1054369.25,49863.95,1.5,4.0
2002-01-11,353846.6666666667,1059058.1666666667,49884.46666666667,1.6,4.0
2002-01-12,353847.0,1063747.0833333333,49904.98333333334,1.7,4.0
2003-01-01,351756.0,1068436.0,49925.5,1.4,3.9166666666666665
2003-01-02,349665.0,1072819.5,49947.925,1.6,3.8333333333333335
2003-01-03,347574.0,1077203.0,49970.35,1.6,3.75
2003-01-04,340962.6666666667,1081586.5,49992.775,1.5,3.75
2003-01-05,334351.3333333333,1085970.0,50015.2,1.3,3.75
2003-01-06,327740.0,1090353.5,50037.625,1.2,3.75
2003-01-07,324086.3333333333,1094737.0,50060.05,1.3,3.6666666666666665
2003-01-08,320432.6666666667,1099120.5,50082.475,1.4,3.5833333333333335
2003-01-09,316779.0,1103504.0,50104.9,1.3,3.5
2003-01-10,318452.6666666667,1107887.5,50127.325,1.3,3.5833333333333335
2003-01-11,320126.3333333333,1112271.0,50149.75,1.3,3.6666666666666665
2003-01-12,321800.0,1116654.5,50172.174999999996,1.3,3.75
2004-01-01,324526.6666666667,1121038.0,50194.6,1.5,3.8333333333333335
2004-01-02,327253.3333333333,1126251.3333333333,50228.88333333333,1.4,3.9166666666666665
2004-01-03,329980.0,1131464.6666666667,50263.166666666664,1.2,4.0
2004-01-04,335372.6666666667,1136678.0,50297.45,1.1,4.083333333333333
2004-01-05,340765.3333333333,1141891.3333333333,50331.73333333333,1.4,4.166666666666667
2004-01-06,346158.0,1147104.6666666667,50366.01666666666,1.5,4.25
2004-01-07,346258.6666666667,1152318.0,50400.3,1.4,4.416666666666667
2004-01-08,346359.3333333333,1157531.3333333333,50434.583333333336,1.4,4.583333333333333
2004-01-09,346460.0,1162744.6666666667,50468.86666666667,1.2,4.75
2004-01-10,337517.3333333333,1167958.0,50503.15,1.3,4.75
2004-01-11,328574.6666666667,1173171.3333333333,50537.433333333334,1.5,4.75
2004-01-12,319632.0,1178384.6666666667,50571.71666666667,1.8,4.75
2005-01-01,310935.0,1183598.0,50606.0,1.7,4.75
2005-01-02,302238.0,1188609.3333333333,50635.933333333334,1.7,4.75
2005-01-03,293541.0,1193620.6666666667,50665.86666666667,2.0,4.75
2005-01-04,286059.6666666667,1198632.0,50695.8,1.9,4.75
2005-01-05,278578.3333333333,1203643.3333333333,50725.73333333333,1.9,4.75
2005-01-06,271097.0,1208654.6666666667,50755.666666666664,2.0,4.75
2005-01-07,268181.6666666667,1213666.0,50785.6,2.3,4.666666666666667
2005-01-08,265266.3333333333,1218677.3333333333,50815.53333333333,2.4,4.583333333333333
2005-01-09,262351.0,1223688.6666666667,50845.46666666667,2.5,4.5
2005-01-10,266231.0,1228700.0,50875.399999999994,2.4,4.5
2005-01-11,270111.0,1233711.3333333333,50905.33333333333,2.2,4.5
2005-01-12,273991.0,1238722.6666666667,50935.26666666666,2.1,4.5
