Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,3434.6666666666665,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,3429.3333333333335,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,3424.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,3439.0,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,3454.0,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,3469.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,3521.3333333333335,31125.627692307702,2572.3,2.7,5.69
1996-01-08,3573.6666666666665,31246.72974358975,2571.6,2.7,5.69
1996-01-09,3626.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,3702.6666666666665,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,3779.3333333333335,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,3856.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,3893.0,31852.24,2568.1,2.6,5.94
1997-01-02,3930.0,31917.553333333333,2567.5,2.4,5.94
1997-01-03,3967.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,4017.3333333333335,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,4067.6666666666665,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,4118.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,4162.0,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,4206.0,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,4250.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,4286.333333333333,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,4322.666666666667,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,4359.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,4373.333333333333,32636.0,2560.9,1.8,7.25
1998-01-02,4387.666666666667,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,4402.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,4428.333333333333,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,4454.666666666667,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,4481.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,4489.333333333333,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,4497.666666666667,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,4506.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,4513.0,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,4520.0,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,4527.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,4515.0,33336.0,2550.3,2.0,6.0
1999-01-02,4503.0,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,4491.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,4491.666666666667,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,4492.333333333333,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,4493.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,4551.333333333333,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,4609.666666666667,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,4668.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,4732.0,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,4796.0,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,4860.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,4954.333333333333,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,5048.666666666667,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,5143.0,34649.5,2542.85,1.0,5.75
2000-01-04,5210.0,34774.25,2542.575,0.9,5.75
2000-01-05,5277.0,34899.0,2542.3,1.0,5.75
2000-01-06,5344.0,35023.75,2542.025,1.2,5.75
2000-01-07,5358.333333333333,35148.5,2541.75,1.2,5.75
2000-01-08,5372.666666666667,35273.25,2541.475,1.0,5.75
2000-01-09,5387.0,35398.0,2541.2,1.3,5.75
2000-01-10,5405.0,35522.75,2540.925,1.4,5.75
2000-01-11,5423.0,35647.5,2540.65,1.5,5.75
2000-01-12,5441.0,35772.25,2540.375,1.2,5.75
2001-01-01,5444.333333333333,35897.0,2540.1,1.2,5.75
2001-01-02,5447.666666666667,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,5451.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,5506.333333333333,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,5561.666666666667,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,5617.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,5710.666666666667,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,5804.333333333333,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,5898.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,6003.666666666667,37616.0,2540.475,1.6,4.5
