Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,2288.3333333333335,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,2309.6666666666665,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,2331.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,2362.3333333333335,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,2393.6666666666665,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,2425.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,2430.6666666666665,131729.3734615385,7826.75,2.7,5.69
1996-01-08,2436.3333333333335,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,2442.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,2518.6666666666665,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,2595.3333333333335,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,2672.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,2699.0,135969.93,7853.1,2.6,5.94
1997-01-02,2726.0,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,2753.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,2793.0,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,2833.0,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,2873.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,2958.6666666666665,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,3044.3333333333335,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,3130.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,3110.3333333333335,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,3090.6666666666665,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,3071.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,3049.6666666666665,150178.0,7888.8,1.8,7.25
1998-01-02,3028.3333333333335,150815.25,7894.325,1.8,7.25
1998-01-03,3007.0,151452.5,7899.85,1.9,7.25
1998-01-04,2991.6666666666665,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,2976.3333333333335,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,2961.0,153364.25,7916.425,1.9,7.5
1998-01-07,2923.6666666666665,154001.5,7921.950000000001,1.7,7.5
1998-01-08,2886.3333333333335,154638.75,7927.475,1.6,7.5
1998-01-09,2849.0,155276.0,7933.0,1.7,7.5
1998-01-10,2833.3333333333335,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,2817.6666666666665,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,2802.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,2829.6666666666665,157825.0,7955.1,2.0,6.0
1999-01-02,2857.3333333333335,158477.0,7958.058333333333,1.9,5.75
1999-01-03,2885.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,2914.6666666666665,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,2944.3333333333335,160433.0,7966.933333333333,1.7,5.166666666666667
1999-01-06,2974.0,161085.0,7969.891666666667,1.8,5.0
1999-01-07,3021.3333333333335,161737.0,7972.85,1.7,5.083333333333333
1999-01-08,3068.6666666666665,162389.0,7975.808333333333,1.6,5.166666666666667
1999-01-09,3116.0,163041.0,7978.766666666667,1.6,5.25
1999-01-10,3200.6666666666665,163693.0,7981.725,1.5,5.333333333333333
1999-01-11,3285.3333333333335,164345.0,7984.683333333333,1.5,5.416666666666667
1999-01-12,3370.0,164997.0,7987.641666666667,1.5,5.5
2000-01-01,3401.0,165649.0,7990.6,1.2,5.583333333333333
2000-01-02,3432.0,166174.0,7993.333333333334,1.2,5.666666666666667
2000-01-03,3463.0,166699.0,7996.066666666667,1.0,5.75
2000-01-04,3484.3333333333335,167224.0,7998.8,0.9,5.75
