Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,4009.3333333333335,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,4018.6666666666665,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,4028.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,4028.0,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,4028.0,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,4028.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,4104.333333333333,161594.5223076925,6994.6,2.7,5.69
1996-01-08,4180.666666666667,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,4257.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,4393.333333333333,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,4529.666666666667,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,4666.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,4693.666666666667,168929.54,7014.8,2.6,5.94
1997-01-02,4721.333333333333,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,4749.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,4832.333333333333,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,4915.666666666667,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,4999.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,5067.333333333333,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,5135.666666666667,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,5204.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,5182.666666666667,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,5161.333333333333,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,5140.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,5125.333333333333,195741.0,7065.5,1.8,7.25
1998-01-02,5110.666666666667,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,5096.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,5050.333333333333,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,5004.666666666667,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,4959.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,4914.666666666667,201209.0,7109.7,1.7,7.5
1998-01-08,4870.333333333333,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,4826.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,4818.666666666667,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,4811.333333333333,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,4804.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,4812.666666666667,206677.0,7153.9,2.0,6.0
1999-01-02,4821.333333333333,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,4830.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,4873.666666666667,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,4917.333333333333,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,4961.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,5068.0,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,5175.0,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,5282.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,5370.666666666667,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,5459.333333333333,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,5548.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,5603.666666666667,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,5659.333333333333,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,5715.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,5683.333333333333,224447.0,7258.125,0.9,5.75
2000-01-05,5651.666666666667,224991.0,7265.266666666666,1.0,5.75
2000-01-06,5620.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,5514.333333333333,226079.0,7279.549999999999,1.2,5.75
2000-01-08,5408.666666666667,226623.0,7286.691666666667,1.0,5.75
2000-01-09,5303.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,5196.333333333333,227711.0,7300.974999999999,1.4,5.75
2000-01-11,5089.666666666667,228255.0,7308.116666666667,1.5,5.75
2000-01-12,4983.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,4984.333333333333,229343.0,7322.4,1.2,5.75
2001-01-02,4985.666666666667,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,4987.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,5075.333333333333,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,5163.666666666667,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,5252.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,5353.333333333333,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,5454.666666666667,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,5556.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,5631.0,235689.5,7363.125,1.6,4.5
2001-01-11,5706.0,236394.66666666666,7367.65,1.2,4.25
2001-01-12,5781.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,5777.0,237805.0,7376.7,1.8,4.0
2002-01-02,5773.0,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,5769.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,5794.0,241213.25,7381.225,1.6,4.0
2002-01-05,5819.0,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,5844.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,5908.333333333333,244621.5,7385.75,1.4,4.0
2002-01-08,5972.666666666667,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,6037.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,6128.333333333333,248029.75,7390.275,1.5,4.0
2002-01-11,6219.666666666667,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,6311.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,6336.666666666667,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,6362.333333333333,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,6388.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,6280.666666666667,254584.5,7404.275,1.5,3.75
2003-01-05,6173.333333333333,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,6066.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,5940.0,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,5814.0,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,5688.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,5646.333333333333,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,5604.666666666667,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,5563.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,5576.0,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,5589.0,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,5602.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,5676.333333333333,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,5750.666666666667,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,5825.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,5845.333333333333,274139.5,7475.85,1.4,4.416666666666667
2004-01-08,5865.666666666667,275825.4166666667,7483.041666666667,1.4,4.583333333333333
2004-01-09,5886.0,277511.3333333333,7490.233333333334,1.2,4.75
2004-01-10,5800.333333333333,279197.25,7497.425,1.3,4.75
2004-01-11,5714.666666666667,280883.1666666667,7504.616666666667,1.5,4.75
2004-01-12,5629.0,282569.0833333333,7511.808333333333,1.8,4.75
2005-01-01,5505.666666666667,284255.0,7519.0,1.7,4.75
2005-01-02,5382.333333333333,285704.5833333333,7525.566666666667,1.7,4.75
2005-01-03,5259.0,287154.1666666667,7532.133333333333,2.0,4.75
2005-01-04,5148.666666666667,288603.75,7538.7,1.9,4.75
2005-01-05,5038.333333333333,290053.3333333333,7545.266666666666,1.9,4.75
2005-01-06,4928.0,291502.9166666667,7551.833333333333,2.0,4.75
2005-01-07,4915.666666666667,292952.5,7558.4,2.3,4.666666666666667
2005-01-08,4903.333333333333,294402.0833333333,7564.966666666667,2.4,4.583333333333333
2005-01-09,4891.0,295851.6666666667,7571.533333333334,2.5,4.5
2005-01-10,4899.666666666667,297301.25,7578.1,2.4,4.5
2005-01-11,4908.333333333333,298750.8333333333,7584.666666666667,2.2,4.5
2005-01-12,4917.0,300200.4166666667,7591.233333333334,2.1,4.5
2006-01-01,5015.0,301650.0,7597.8,2.2,4.5
2006-01-02,5113.0,303794.25,7605.775000000001,2.2,4.5
2006-01-03,5211.0,305938.5,7613.75,2.0,4.5
2006-01-04,5315.0,308082.75,7621.725,2.2,4.5
2006-01-05,5419.0,310227.0,7629.7,2.4,4.5
2006-01-06,5523.0,312371.25,7637.675,2.6,4.5
2006-01-07,5550.333333333333,314515.5,7645.65,2.5,4.583333333333333
2006-01-08,5577.666666666667,316659.75,7653.625,2.6,4.666666666666667
2006-01-09,5605.0,318804.0,7661.6,2.5,4.75
2006-01-10,5682.333333333333,320948.25,7669.575,2.5,4.833333333333333
2006-01-11,5759.666666666667,323092.5,7677.55,2.8,4.916666666666667
2006-01-12,5837.0,325236.75,7685.525,2.9,5.0
2007-01-01,5846.0,327381.0,7693.5,2.7,5.083333333333333
2007-01-02,5855.0,327982.75,7703.391666666666,2.7,5.166666666666667
2007-01-03,5864.0,328584.5,7713.283333333333,2.9,5.25
2007-01-04,5838.0,329186.25,7723.175,2.7,5.333333333333333
