Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,2628.6666666666665,86273.0046153846,6809.6,2.9,6.233333333333333
1996-01-02,2620.3333333333335,86724.08506410256,6808.333333333334,3.0,6.086666666666667
1996-01-03,2612.0,87175.1655128205,6807.066666666667,3.0,5.94
1996-01-04,2619.0,87626.24596153846,6805.8,2.8,5.856666666666667
1996-01-05,2626.0,88077.3264102564,6804.533333333334,2.8,5.773333333333333
1996-01-06,2633.0,88528.40685897435,6803.266666666666,2.8,5.69
1996-01-07,2645.0,88979.4873076923,6802.0,2.7,5.69
1996-01-08,2657.0,89430.56775641025,6800.733333333334,2.7,5.69
1996-01-09,2669.0,89881.64820512821,6799.466666666666,2.7,5.69
1996-01-10,2698.6666666666665,90332.72865384615,6798.2,3.0,5.773333333333333
1996-01-11,2728.3333333333335,90783.8091025641,6796.933333333333,3.1,5.856666666666667
1996-01-12,2758.0,91234.88955128205,6795.666666666666,2.8,5.94
1997-01-01,2763.6666666666665,91685.97,6794.4,2.6,5.94
1997-01-02,2769.3333333333335,92319.38916666666,6794.216666666666,2.4,5.94
1997-01-03,2775.0,92952.80833333333,6794.033333333333,2.2,5.94
1997-01-04,2787.0,93586.22750000001,6793.849999999999,2.1,6.043333333333334
1997-01-05,2799.0,94219.64666666667,6793.666666666666,2.1,6.1466666666666665
1997-01-06,2811.0,94853.06583333333,6793.483333333333,2.1,6.25
1997-01-07,2835.3333333333335,95486.485,6793.299999999999,2.4,6.416666666666667
1997-01-08,2859.6666666666665,96119.90416666667,6793.116666666667,2.3,6.583333333333333
1997-01-09,2884.0,96753.32333333333,6792.933333333333,2.2,6.75
1997-01-10,2874.0,97386.7425,6792.75,2.2,6.916666666666667
1997-01-11,2864.0,98020.16166666667,6792.566666666667,2.1,7.083333333333333
1997-01-12,2854.0,98653.58083333334,6792.383333333333,1.9,7.25
1998-01-01,2861.6666666666665,99287.0,6792.2,1.8,7.25
1998-01-02,2869.3333333333335,99705.66666666667,6790.608333333334,1.8,7.25
1998-01-03,2877.0,100124.33333333333,6789.016666666666,1.9,7.25
1998-01-04,2890.6666666666665,100543.0,6787.425,2.1,7.333333333333333
1998-01-05,2904.3333333333335,100961.66666666667,6785.833333333333,2.2,7.416666666666667
1998-01-06,2918.0,101380.33333333333,6784.241666666667,1.9,7.5
1998-01-07,2935.6666666666665,101799.0,6782.65,1.7,7.5
1998-01-08,2953.3333333333335,102217.66666666667,6781.058333333333,1.6,7.5
1998-01-09,2971.0,102636.33333333333,6779.466666666667,1.7,7.5
1998-01-10,3003.0,103055.0,6777.875,1.6,7.083333333333333
1998-01-11,3035.0,103473.66666666667,6776.283333333334,1.7,6.666666666666667
1998-01-12,3067.0,103892.33333333333,6774.691666666667,1.9,6.25
1999-01-01,3107.3333333333335,104311.0,6773.1,2.0,6.0
1999-01-02,3147.6666666666665,104547.5,6773.191666666667,1.9,5.75
1999-01-03,3188.0,104784.0,6773.283333333334,2.1,5.5
1999-01-04,3227.6666666666665,105020.5,6773.375,2.0,5.333333333333333
1999-01-05,3267.3333333333335,105257.0,6773.466666666667,1.7,5.166666666666667
1999-01-06,3307.0,105493.5,6773.558333333333,1.8,5.0
1999-01-07,3339.6666666666665,105730.0,6773.65,1.7,5.083333333333333
1999-01-08,3372.3333333333335,105966.5,6773.741666666667,1.6,5.166666666666667
1999-01-09,3405.0,106203.0,6773.833333333333,1.6,5.25
1999-01-10,3460.6666666666665,106439.5,6773.925,1.5,5.333333333333333
1999-01-11,3516.3333333333335,106676.0,6774.016666666666,1.5,5.416666666666667
1999-01-12,3572.0,106912.5,6774.108333333334,1.5,5.5
2000-01-01,3589.3333333333335,107149.0,6774.2,1.2,5.583333333333333
2000-01-02,3606.6666666666665,107653.83333333333,6774.099999999999,1.2,5.666666666666667
2000-01-03,3624.0,108158.66666666667,6774.0,1.0,5.75
2000-01-04,3651.3333333333335,108663.5,6773.9,0.9,5.75
2000-01-05,3678.6666666666665,109168.33333333333,6773.8,1.0,5.75
2000-01-06,3706.0,109673.16666666667,6773.7,1.2,5.75
2000-01-07,3714.3333333333335,110178.0,6773.6,1.2,5.75
2000-01-08,3722.6666666666665,110682.83333333333,6773.5,1.0,5.75
2000-01-09,3731.0,111187.66666666667,6773.4,1.3,5.75
2000-01-10,3693.0,111692.5,6773.3,1.4,5.75
2000-01-11,3655.0,112197.33333333333,6773.2,1.5,5.75
2000-01-12,3617.0,112702.16666666667,6773.1,1.2,5.75
2001-01-01,3615.3333333333335,113207.0,6773.0,1.2,5.75
2001-01-02,3613.6666666666665,113646.75,6773.991666666667,1.2,5.75
2001-01-03,3612.0,114086.5,6774.983333333334,1.3,5.75
2001-01-04,3640.6666666666665,114526.25,6775.975,1.5,5.583333333333333
2001-01-05,3669.3333333333335,114966.0,6776.966666666666,1.9,5.416666666666667
2001-01-06,3698.0,115405.75,6777.958333333333,1.9,5.25
2001-01-07,3761.3333333333335,115845.5,6778.95,1.7,5.083333333333333
2001-01-08,3824.6666666666665,116285.25,6779.941666666667,2.1,4.916666666666667
2001-01-09,3888.0,116725.0,6780.933333333333,1.7,4.75
2001-01-10,3924.0,117164.75,6781.924999999999,1.6,4.5
2001-01-11,3960.0,117604.5,6782.916666666666,1.2,4.25
2001-01-12,3996.0,118044.25,6783.908333333333,1.4,4.0
2002-01-01,4016.3333333333335,118484.0,6784.9,1.8,4.0
2002-01-02,4036.6666666666665,119034.08333333333,6787.383333333333,1.7,4.0
2002-01-03,4057.0,119584.16666666667,6789.866666666667,1.7,4.0
2002-01-04,4109.333333333333,120134.25,6792.349999999999,1.6,4.0
2002-01-05,4161.666666666667,120684.33333333333,6794.833333333333,1.2,4.0
2002-01-06,4214.0,121234.41666666667,6797.316666666667,1.1,4.0
2002-01-07,4257.333333333333,121784.5,6799.799999999999,1.4,4.0
2002-01-08,4300.666666666667,122334.58333333333,6802.283333333333,1.3,4.0
2002-01-09,4344.0,122884.66666666667,6804.766666666666,1.2,4.0
2002-01-10,4400.0,123434.75,6807.25,1.5,4.0
2002-01-11,4456.0,123984.83333333333,6809.733333333334,1.6,4.0
2002-01-12,4512.0,124534.91666666667,6812.216666666666,1.7,4.0
2003-01-01,4518.666666666667,125085.0,6814.7,1.4,3.9166666666666665
2003-01-02,4525.333333333333,125676.91666666667,6816.841666666666,1.6,3.8333333333333335
2003-01-03,4532.0,126268.83333333333,6818.983333333334,1.6,3.75
2003-01-04,4443.666666666667,126860.75,6821.125,1.5,3.75
2003-01-05,4355.333333333333,127452.66666666667,6823.266666666666,1.3,3.75
2003-01-06,4267.0,128044.58333333333,6825.408333333333,1.2,3.75
2003-01-07,4195.333333333333,128636.5,6827.549999999999,1.3,3.6666666666666665
2003-01-08,4123.666666666667,129228.41666666667,6829.691666666667,1.4,3.5833333333333335
2003-01-09,4052.0,129820.33333333333,6831.833333333333,1.3,3.5
2003-01-10,4016.3333333333335,130412.25,6833.974999999999,1.3,3.5833333333333335
2003-01-11,3980.6666666666665,131004.16666666667,6836.116666666667,1.3,3.6666666666666665
2003-01-12,3945.0,131596.08333333334,6838.258333333333,1.3,3.75
2004-01-01,3960.0,132188.0,6840.4,1.5,3.8333333333333335
2004-01-02,3975.0,132724.16666666666,6842.866666666667,1.4,3.9166666666666665
2004-01-03,3990.0,133260.33333333334,6845.333333333333,1.2,4.0
2004-01-04,4029.6666666666665,133796.5,6847.799999999999,1.1,4.083333333333333
2004-01-05,4069.3333333333335,134332.66666666666,6850.266666666666,1.4,4.166666666666667
2004-01-06,4109.0,134868.83333333334,6852.733333333334,1.5,4.25
2004-01-07,4116.333333333333,135405.0,6855.2,1.4,4.416666666666667
2004-01-08,4123.666666666667,135941.16666666666,6857.666666666666,1.4,4.583333333333333
2004-01-09,4131.0,136477.33333333334,6860.133333333333,1.2,4.75
2004-01-10,4034.0,137013.5,6862.6,1.3,4.75
2004-01-11,3937.0,137549.66666666666,6865.066666666667,1.5,4.75
2004-01-12,3840.0,138085.83333333334,6867.533333333333,1.8,4.75
2005-01-01,3742.6666666666665,138622.0,6870.0,1.7,4.75
2005-01-02,3645.3333333333335,139235.83333333334,6872.633333333333,1.7,4.75
2005-01-03,3548.0,139849.66666666666,6875.266666666666,2.0,4.75
2005-01-04,3476.6666666666665,140463.5,6877.9,1.9,4.75
2005-01-05,3405.3333333333335,141077.33333333334,6880.533333333334,1.9,4.75
2005-01-06,3334.0,141691.16666666666,6883.166666666667,2.0,4.75
2005-01-07,3312.3333333333335,142305.0,6885.8,2.3,4.666666666666667
2005-01-08,3290.6666666666665,142918.83333333334,6888.433333333333,2.4,4.583333333333333
2005-01-09,3269.0,143532.66666666666,6891.066666666667,2.5,4.5
2005-01-10,3324.6666666666665,144146.5,6893.700000000001,2.4,4.5
2005-01-11,3380.3333333333335,144760.33333333334,6896.333333333334,2.2,4.5
2005-01-12,3436.0,145374.16666666666,6898.966666666667,2.1,4.5
2006-01-01,3512.0,145988.0,6901.6,2.2,4.5
2006-01-02,3588.0,146454.16666666666,6903.908333333334,2.2,4.5
2006-01-03,3664.0,146920.33333333334,6906.216666666667,2.0,4.5
2006-01-04,3748.3333333333335,147386.5,6908.525000000001,2.2,4.5
2006-01-05,3832.6666666666665,147852.66666666666,6910.833333333334,2.4,4.5
2006-01-06,3917.0,148318.83333333334,6913.141666666667,2.6,4.5
2006-01-07,3956.0,148785.0,6915.450000000001,2.5,4.583333333333333
2006-01-08,3995.0,149251.16666666666,6917.758333333333,2.6,4.666666666666667
