Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1913.6666666666667,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,1910.3333333333333,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,1907.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,1916.0,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,1925.0,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,1934.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,1949.3333333333333,131729.3734615385,7826.75,2.7,5.69
1996-01-08,1964.6666666666667,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,1980.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,2038.6666666666667,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,2097.3333333333335,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,2156.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,2203.0,135969.93,7853.1,2.6,5.94
1997-01-02,2250.0,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,2297.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,2342.3333333333335,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,2387.6666666666665,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,2433.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,2493.0,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,2553.0,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,2613.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,2630.6666666666665,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,2648.3333333333335,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,2666.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,2676.3333333333335,150178.0,7888.8,1.8,7.25
1998-01-02,2686.6666666666665,150815.25,7894.325,1.8,7.25
1998-01-03,2697.0,151452.5,7899.85,1.9,7.25
1998-01-04,2688.3333333333335,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,2679.6666666666665,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,2671.0,153364.25,7916.425,1.9,7.5
1998-01-07,2667.3333333333335,154001.5,7921.950000000001,1.7,7.5
1998-01-08,2663.6666666666665,154638.75,7927.475,1.6,7.5
1998-01-09,2660.0,155276.0,7933.0,1.7,7.5
1998-01-10,2650.6666666666665,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,2641.3333333333335,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,2632.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,2634.0,157825.0,7955.1,2.0,6.0
1999-01-02,2636.0,158477.0,7958.058333333333,1.9,5.75
1999-01-03,2638.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,2640.3333333333335,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,2642.6666666666665,160433.0,7966.933333333333,1.7,5.166666666666667
1999-01-06,2645.0,161085.0,7969.891666666667,1.8,5.0
1999-01-07,2701.3333333333335,161737.0,7972.85,1.7,5.083333333333333
1999-01-08,2757.6666666666665,162389.0,7975.808333333333,1.6,5.166666666666667
1999-01-09,2814.0,163041.0,7978.766666666667,1.6,5.25
1999-01-10,2891.3333333333335,163693.0,7981.725,1.5,5.333333333333333
1999-01-11,2968.6666666666665,164345.0,7984.683333333333,1.5,5.416666666666667
1999-01-12,3046.0,164997.0,7987.641666666667,1.5,5.5
2000-01-01,3106.3333333333335,165649.0,7990.6,1.2,5.583333333333333
2000-01-02,3166.6666666666665,166174.0,7993.333333333334,1.2,5.666666666666667
2000-01-03,3227.0,166699.0,7996.066666666667,1.0,5.75
2000-01-04,3264.0,167224.0,7998.8,0.9,5.75
2000-01-05,3301.0,167749.0,8001.533333333334,1.0,5.75
2000-01-06,3338.0,168274.0,8004.266666666666,1.2,5.75
2000-01-07,3312.3333333333335,168799.0,8007.0,1.2,5.75
2000-01-08,3286.6666666666665,169324.0,8009.733333333334,1.0,5.75
2000-01-09,3261.0,169849.0,8012.466666666666,1.3,5.75
2000-01-10,3228.6666666666665,170374.0,8015.2,1.4,5.75
2000-01-11,3196.3333333333335,170899.0,8017.933333333333,1.5,5.75
2000-01-12,3164.0,171424.0,8020.666666666666,1.2,5.75
2001-01-01,3130.3333333333335,171949.0,8023.4,1.2,5.75
2001-01-02,3096.6666666666665,172569.83333333334,8025.216666666666,1.2,5.75
2001-01-03,3063.0,173190.66666666666,8027.033333333333,1.3,5.75
2001-01-04,3085.0,173811.5,8028.849999999999,1.5,5.583333333333333
2001-01-05,3107.0,174432.33333333334,8030.666666666666,1.9,5.416666666666667
2001-01-06,3129.0,175053.16666666666,8032.483333333333,1.9,5.25
2001-01-07,3156.0,175674.0,8034.299999999999,1.7,5.083333333333333
2001-01-08,3183.0,176294.83333333334,8036.116666666667,2.1,4.916666666666667
2001-01-09,3210.0,176915.66666666666,8037.933333333333,1.7,4.75
2001-01-10,3251.0,177536.5,8039.75,1.6,4.5
2001-01-11,3292.0,178157.33333333334,8041.566666666667,1.2,4.25
2001-01-12,3333.0,178778.16666666666,8043.383333333333,1.4,4.0
2002-01-01,3373.0,179399.0,8045.2,1.8,4.0
2002-01-02,3413.0,180119.25,8048.758333333333,1.7,4.0
2002-01-03,3453.0,180839.5,8052.316666666667,1.7,4.0
2002-01-04,3485.6666666666665,181559.75,8055.875,1.6,4.0
2002-01-05,3518.3333333333335,182280.0,8059.433333333333,1.2,4.0
2002-01-06,3551.0,183000.25,8062.991666666667,1.1,4.0
2002-01-07,3579.3333333333335,183720.5,8066.549999999999,1.4,4.0
2002-01-08,3607.6666666666665,184440.75,8070.108333333333,1.3,4.0
2002-01-09,3636.0,185161.0,8073.666666666666,1.2,4.0
2002-01-10,3614.3333333333335,185881.25,8077.224999999999,1.5,4.0
2002-01-11,3592.6666666666665,186601.5,8080.783333333333,1.6,4.0
2002-01-12,3571.0,187321.75,8084.341666666666,1.7,4.0
2003-01-01,3536.0,188042.0,8087.9,1.4,3.9166666666666665
2003-01-02,3501.0,188599.75,8091.666666666666,1.6,3.8333333333333335
2003-01-03,3466.0,189157.5,8095.433333333333,1.6,3.75
2003-01-04,3406.3333333333335,189715.25,8099.2,1.5,3.75
2003-01-05,3346.6666666666665,190273.0,8102.966666666666,1.3,3.75
2003-01-06,3287.0,190830.75,8106.733333333334,1.2,3.75
2003-01-07,3229.0,191388.5,8110.5,1.3,3.6666666666666665
2003-01-08,3171.0,191946.25,8114.266666666666,1.4,3.5833333333333335
2003-01-09,3113.0,192504.0,8118.033333333334,1.3,3.5
2003-01-10,3118.0,193061.75,8121.8,1.3,3.5833333333333335
2003-01-11,3123.0,193619.5,8125.566666666667,1.3,3.6666666666666665
2003-01-12,3128.0,194177.25,8129.333333333334,1.3,3.75
2004-01-01,3178.3333333333335,194735.0,8133.1,1.5,3.8333333333333335
2004-01-02,3228.6666666666665,195550.08333333334,8138.916666666667,1.4,3.9166666666666665
2004-01-03,3279.0,196365.16666666666,8144.733333333334,1.2,4.0
2004-01-04,3310.6666666666665,197180.25,8150.55,1.1,4.083333333333333
2004-01-05,3342.3333333333335,197995.33333333334,8156.366666666667,1.4,4.166666666666667
2004-01-06,3374.0,198810.41666666666,8162.183333333333,1.5,4.25
2004-01-07,3414.0,199625.5,8168.0,1.4,4.416666666666667
2004-01-08,3454.0,200440.58333333334,8173.816666666667,1.4,4.583333333333333
2004-01-09,3494.0,201255.66666666666,8179.633333333333,1.2,4.75
2004-01-10,3407.3333333333335,202070.75,8185.45,1.3,4.75
2004-01-11,3320.6666666666665,202885.83333333334,8191.266666666666,1.5,4.75
2004-01-12,3234.0,203700.91666666666,8197.083333333332,1.8,4.75
2005-01-01,3110.3333333333335,204516.0,8202.9,1.7,4.75
2005-01-02,2986.6666666666665,205282.5,8208.566666666666,1.7,4.75
2005-01-03,2863.0,206049.0,8214.233333333334,2.0,4.75
2005-01-04,2804.6666666666665,206815.5,8219.9,1.9,4.75
2005-01-05,2746.3333333333335,207582.0,8225.566666666666,1.9,4.75
2005-01-06,2688.0,208348.5,8231.233333333334,2.0,4.75
2005-01-07,2630.0,209115.0,8236.9,2.3,4.666666666666667
2005-01-08,2572.0,209881.5,8242.566666666666,2.4,4.583333333333333
2005-01-09,2514.0,210648.0,8248.233333333334,2.5,4.5
2005-01-10,2561.3333333333335,211414.5,8253.9,2.4,4.5
2005-01-11,2608.6666666666665,212181.0,8259.566666666666,2.2,4.5
2005-01-12,2656.0,212947.5,8265.233333333334,2.1,4.5
