Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,260.3333333333333,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,258.6666666666667,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,257.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,269.0,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,281.0,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,293.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,310.0,31125.627692307702,2572.3,2.7,5.69
1996-01-08,327.0,31246.72974358975,2571.6,2.7,5.69
1996-01-09,344.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,363.3333333333333,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,382.6666666666667,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,402.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,408.0,31852.24,2568.1,2.6,5.94
1997-01-02,414.0,31917.553333333333,2567.5,2.4,5.94
1997-01-03,420.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,410.6666666666667,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,401.3333333333333,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,392.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,386.3333333333333,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,380.6666666666667,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,375.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,370.3333333333333,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,365.6666666666667,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,361.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,355.0,32636.0,2560.9,1.8,7.25
1998-01-02,349.0,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,343.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,360.0,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,377.0,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,394.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,402.6666666666667,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,411.3333333333333,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,420.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,436.0,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,452.0,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,468.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,470.6666666666667,33336.0,2550.3,2.0,6.0
1999-01-02,473.3333333333333,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,476.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,469.6666666666667,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,463.3333333333333,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,457.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,454.0,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,451.0,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,448.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,438.6666666666667,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,429.3333333333333,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,420.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,421.6666666666667,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,423.3333333333333,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,425.0,34649.5,2542.85,1.0,5.75
2000-01-04,427.6666666666667,34774.25,2542.575,0.9,5.75
2000-01-05,430.3333333333333,34899.0,2542.3,1.0,5.75
2000-01-06,433.0,35023.75,2542.025,1.2,5.75
2000-01-07,429.6666666666667,35148.5,2541.75,1.2,5.75
2000-01-08,426.3333333333333,35273.25,2541.475,1.0,5.75
2000-01-09,423.0,35398.0,2541.2,1.3,5.75
2000-01-10,430.3333333333333,35522.75,2540.925,1.4,5.75
2000-01-11,437.6666666666667,35647.5,2540.65,1.5,5.75
2000-01-12,445.0,35772.25,2540.375,1.2,5.75
2001-01-01,447.6666666666667,35897.0,2540.1,1.2,5.75
2001-01-02,450.3333333333333,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,453.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,465.6666666666667,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,478.3333333333333,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,491.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,506.6666666666667,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,522.3333333333334,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,538.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,545.3333333333334,37616.0,2540.475,1.6,4.5
2001-01-11,552.6666666666666,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,560.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,575.6666666666666,38189.0,2540.6,1.8,4.0
2002-01-02,591.3333333333334,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,607.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,607.6666666666666,38718.5,2540.575,1.6,4.0
2002-01-05,608.3333333333334,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,609.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,611.0,39248.0,2540.55,1.4,4.0
2002-01-08,613.0,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,615.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,613.0,39777.5,2540.525,1.5,4.0
2002-01-11,611.0,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,609.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,596.0,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,583.0,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,570.0,40838.0,2540.5,1.6,3.75
2003-01-04,559.6666666666666,41103.5,2540.5,1.5,3.75
2003-01-05,549.3333333333334,41369.0,2540.5,1.3,3.75
2003-01-06,539.0,41634.5,2540.5,1.2,3.75
2003-01-07,528.0,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,517.0,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,506.0,42431.0,2540.5,1.3,3.5
2003-01-10,506.6666666666667,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,507.3333333333333,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,508.0,43227.5,2540.5,1.3,3.75
2004-01-01,512.3333333333334,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,516.6666666666666,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,521.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,518.6666666666666,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,516.3333333333334,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,514.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,518.3333333333334,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,522.6666666666666,44634.583333333336,2544.35,1.4,4.583333333333333
2004-01-09,527.0,44797.666666666664,2544.9,1.2,4.75
2004-01-10,510.0,44960.75,2545.45,1.3,4.75
2004-01-11,493.0,45123.833333333336,2546.0,1.5,4.75
2004-01-12,476.0,45286.916666666664,2546.5499999999997,1.8,4.75
2005-01-01,465.6666666666667,45450.0,2547.1,1.7,4.75
2005-01-02,455.3333333333333,45640.833333333336,2547.5583333333334,1.7,4.75
2005-01-03,445.0,45831.666666666664,2548.0166666666664,2.0,4.75
2005-01-04,431.0,46022.5,2548.475,1.9,4.75
2005-01-05,417.0,46213.333333333336,2548.9333333333334,1.9,4.75
2005-01-06,403.0,46404.166666666664,2549.3916666666664,2.0,4.75
2005-01-07,391.0,46595.0,2549.85,2.3,4.666666666666667
2005-01-08,379.0,46785.833333333336,2550.3083333333334,2.4,4.583333333333333
2005-01-09,367.0,46976.666666666664,2550.7666666666664,2.5,4.5
2005-01-10,369.6666666666667,47167.5,2551.225,2.4,4.5
2005-01-11,372.3333333333333,47358.333333333336,2551.6833333333334,2.2,4.5
2005-01-12,375.0,47549.166666666664,2552.1416666666664,2.1,4.5
2006-01-01,383.3333333333333,47740.0,2552.6,2.2,4.5
2006-01-02,391.6666666666667,47843.083333333336,2553.383333333333,2.2,4.5
2006-01-03,400.0,47946.166666666664,2554.1666666666665,2.0,4.5
2006-01-04,402.3333333333333,48049.25,2554.95,2.2,4.5
2006-01-05,404.6666666666667,48152.333333333336,2555.733333333333,2.4,4.5
2006-01-06,407.0,48255.416666666664,2556.5166666666664,2.6,4.5
2006-01-07,413.3333333333333,48358.5,2557.3,2.5,4.583333333333333
2006-01-08,419.6666666666667,48461.583333333336,2558.0833333333335,2.6,4.666666666666667
2006-01-09,426.0,48564.666666666664,2558.866666666667,2.5,4.75
2006-01-10,424.0,48667.75,2559.65,2.5,4.833333333333333
2006-01-11,422.0,48770.833333333336,2560.4333333333334,2.8,4.916666666666667
2006-01-12,420.0,48873.916666666664,2561.2166666666667,2.9,5.0
2007-01-01,420.0,48977.0,2562.0,2.7,5.083333333333333
2007-01-02,420.0,49071.833333333336,2562.6083333333336,2.7,5.166666666666667
2007-01-03,420.0,49166.666666666664,2563.2166666666667,2.9,5.25
2007-01-04,431.3333333333333,49261.5,2563.825,2.7,5.333333333333333
2007-01-05,442.6666666666667,49356.333333333336,2564.4333333333334,2.5,5.416666666666667
2007-01-06,454.0,49451.166666666664,2565.041666666667,2.5,5.5
2007-01-07,454.6666666666667,49546.0,2565.65,2.0,5.583333333333333
2007-01-08,455.3333333333333,49640.833333333336,2566.258333333333,2.0,5.666666666666667
2007-01-09,456.0,49735.666666666664,2566.866666666667,2.0,5.75
2007-01-10,444.6666666666667,49830.5,2567.4750000000004,2.3,5.666666666666667
2007-01-11,433.3333333333333,49925.333333333336,2568.0833333333335,2.2,5.583333333333333
2007-01-12,422.0,50020.166666666664,2568.6916666666666,2.3,5.5
2008-01-01,404.0,50115.0,2569.3,2.4,5.416666666666667
2008-01-02,386.0,50054.0,2569.8083333333334,2.6,5.333333333333333
2008-01-03,368.0,49993.0,2570.3166666666666,2.6,5.25
2008-01-04,345.0,49932.0,2570.8250000000003,3.0,5.166666666666667
2008-01-05,322.0,49871.0,2571.3333333333335,3.3,5.083333333333333
2008-01-06,299.0,49810.0,2571.8416666666667,3.7,5.0
2008-01-07,273.3333333333333,49749.0,2572.3500000000004,4.2,5.0
2008-01-08,247.66666666666666,49688.0,2572.8583333333336,4.4,5.0
2008-01-09,222.0,49627.0,2573.366666666667,4.8,5.0
2008-01-10,211.0,49566.0,2573.875,4.2,4.0
2008-01-11,200.0,49505.0,2574.383333333333,3.8,3.0
2008-01-12,189.0,49444.0,2574.891666666667,3.0,2.0
2009-01-01,186.33333333333334,49383.0,2575.4,2.9,1.5
2009-01-02,183.66666666666666,49486.666666666664,2576.3583333333336,3.1,1.0
2009-01-03,181.0,49590.333333333336,2577.3166666666666,2.8,0.5
2009-01-04,179.66666666666666,49694.0,2578.275,2.3,0.5
2009-01-05,178.33333333333334,49797.666666666664,2579.2333333333336,2.1,0.5
2009-01-06,177.0,49901.333333333336,2580.1916666666666,1.7,0.5
2009-01-07,185.66666666666666,50005.0,2581.15,1.6,0.5
2009-01-08,194.33333333333334,50108.666666666664,2582.1083333333336,1.4,0.5
2009-01-09,203.0,50212.333333333336,2583.0666666666666,1.0,0.5
2009-01-10,214.66666666666666,50316.0,2584.025,1.2,0.5
2009-01-11,226.33333333333334,50419.666666666664,2584.9833333333336,1.5,0.5
2009-01-12,238.0,50523.333333333336,2585.9416666666666,2.1,0.5
2010-01-01,237.0,50627.0,2586.9,2.6,0.5
2010-01-02,236.0,50752.25,2587.6916666666666,2.1,0.5
2010-01-03,235.0,50877.5,2588.4833333333336,2.4,0.5
2010-01-04,240.66666666666666,51002.75,2589.275,2.7,0.5
2010-01-05,246.33333333333334,51128.0,2590.0666666666666,2.5,0.5
2010-01-06,252.0,51253.25,2590.8583333333336,2.4,0.5
2010-01-07,248.66666666666666,51378.5,2591.65,2.3,0.5
2010-01-08,245.33333333333334,51503.75,2592.4416666666666,2.4,0.5
2010-01-09,242.0,51629.0,2593.2333333333336,2.4,0.5
2010-01-10,238.66666666666666,51754.25,2594.025,2.5,0.5
2010-01-11,235.33333333333334,51879.5,2594.8166666666666,2.6,0.5
2010-01-12,232.0,52004.75,2595.6083333333336,3.1,0.5
2011-01-01,238.0,52130.0,2596.4,3.4,0.5
2011-01-02,244.0,52241.5,2596.891666666667,3.7,0.5
2011-01-03,250.0,52353.0,2597.383333333333,3.5,0.5
2011-01-04,244.0,52464.5,2597.875,3.8,0.5
2011-01-05,238.0,52576.0,2598.366666666667,3.8,0.5
2011-01-06,232.0,52687.5,2598.8583333333336,3.6,0.5
2011-01-07,233.33333333333334,52799.0,2599.3500000000004,3.8,0.5
2011-01-08,234.66666666666666,52910.5,2599.8416666666667,3.9,0.5
2011-01-09,236.0,53022.0,2600.3333333333335,4.5,0.5
2011-01-10,237.33333333333334,53133.5,2600.8250000000003,4.3,0.5
2011-01-11,238.66666666666666,53245.0,2601.3166666666666,4.1,0.5
2011-01-12,240.0,53356.5,2601.8083333333334,3.7,0.5
2012-01-01,241.0,53468.0,2602.3,3.2,0.5
2012-01-02,242.0,53547.75,2596.616782810685,3.1,0.5
2012-01-03,243.0,53627.5,2590.9335656213702,3.1,0.5
2012-01-04,252.66666666666666,53707.25,2585.250348432055,2.8,0.5
2012-01-05,262.3333333333333,53787.0,2579.5671312427403,2.5,0.5
2012-01-06,272.0,53866.75,2573.883914053425,2.3,0.5
2012-01-07,271.6666666666667,53946.5,2568.20069686411,2.4,0.5
2012-01-08,271.3333333333333,54026.25,2562.517479674795,2.3,0.5
2012-01-09,271.0,54106.0,2556.83426248548,2.1,0.5
2012-01-10,278.0,54185.75,2551.151045296165,2.4,0.5
2012-01-11,285.0,54265.5,2545.46782810685,2.4,0.5
2012-01-12,292.0,54345.25,2539.7846109175352,2.4,0.5
2013-01-01,293.3333333333333,54425.0,2534.10139372822,2.4,0.5
2013-01-02,294.6666666666667,54559.916666666664,2533.8482429840883,2.5,0.5
2013-01-03,296.0,54694.833333333336,2533.5950922399566,2.5,0.5
2013-01-04,302.3333333333333,54829.75,2533.3419414958253,2.2,0.5
2013-01-05,308.6666666666667,54964.666666666664,2533.0887907516935,2.4,0.5
2013-01-06,315.0,55099.583333333336,2532.835640007562,2.6,0.5
2013-01-07,323.3333333333333,55234.5,2532.58248926343,2.5,0.5
