Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1233.0,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,1231.0,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,1229.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,1248.3333333333333,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,1267.6666666666667,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,1287.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,1325.6666666666667,31125.627692307702,2572.3,2.7,5.69
1996-01-08,1364.3333333333333,31246.72974358975,2571.6,2.7,5.69
1996-01-09,1403.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,1461.6666666666667,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,1520.3333333333333,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,1579.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,1601.6666666666667,31852.24,2568.1,2.6,5.94
1997-01-02,1624.3333333333333,31917.553333333333,2567.5,2.4,5.94
1997-01-03,1647.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,1661.0,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,1675.0,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,1689.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,1713.3333333333333,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,1737.6666666666667,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,1762.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,1756.3333333333333,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,1750.6666666666667,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,1745.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,1742.6666666666667,32636.0,2560.9,1.8,7.25
1998-01-02,1740.3333333333333,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,1738.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,1747.0,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,1756.0,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,1765.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,1747.3333333333333,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,1729.6666666666667,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,1712.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,1714.0,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,1716.0,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,1718.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,1715.3333333333333,33336.0,2550.3,2.0,6.0
1999-01-02,1712.6666666666667,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,1710.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,1732.3333333333333,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,1754.6666666666667,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,1777.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,1823.6666666666667,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,1870.3333333333333,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,1917.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,1967.6666666666667,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,2018.3333333333333,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,2069.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,2100.0,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,2131.0,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,2162.0,34649.5,2542.85,1.0,5.75
2000-01-04,2165.6666666666665,34774.25,2542.575,0.9,5.75
2000-01-05,2169.3333333333335,34899.0,2542.3,1.0,5.75
2000-01-06,2173.0,35023.75,2542.025,1.2,5.75
2000-01-07,2169.6666666666665,35148.5,2541.75,1.2,5.75
2000-01-08,2166.3333333333335,35273.25,2541.475,1.0,5.75
2000-01-09,2163.0,35398.0,2541.2,1.3,5.75
2000-01-10,2138.0,35522.75,2540.925,1.4,5.75
2000-01-11,2113.0,35647.5,2540.65,1.5,5.75
2000-01-12,2088.0,35772.25,2540.375,1.2,5.75
2001-01-01,2068.0,35897.0,2540.1,1.2,5.75
2001-01-02,2048.0,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,2028.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,2048.0,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,2068.0,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,2088.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,2101.3333333333335,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,2114.6666666666665,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,2128.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,2154.3333333333335,37616.0,2540.475,1.6,4.5
2001-01-11,2180.6666666666665,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,2207.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,2225.3333333333335,38189.0,2540.6,1.8,4.0
2002-01-02,2243.6666666666665,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,2262.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,2252.0,38718.5,2540.575,1.6,4.0
2002-01-05,2242.0,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,2232.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,2240.3333333333335,39248.0,2540.55,1.4,4.0
2002-01-08,2248.6666666666665,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,2257.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,2249.3333333333335,39777.5,2540.525,1.5,4.0
2002-01-11,2241.6666666666665,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,2234.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,2220.6666666666665,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,2207.3333333333335,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,2194.0,40838.0,2540.5,1.6,3.75
2003-01-04,2166.0,41103.5,2540.5,1.5,3.75
2003-01-05,2138.0,41369.0,2540.5,1.3,3.75
2003-01-06,2110.0,41634.5,2540.5,1.2,3.75
2003-01-07,2072.3333333333335,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,2034.6666666666667,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,1997.0,42431.0,2540.5,1.3,3.5
2003-01-10,1978.0,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,1959.0,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,1940.0,43227.5,2540.5,1.3,3.75
2004-01-01,1934.3333333333333,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,1928.6666666666667,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,1923.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,1938.6666666666667,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,1954.3333333333333,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,1970.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,1961.0,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,1952.0,44634.583333333336,2544.35,1.4,4.583333333333333
2004-01-09,1943.0,44797.666666666664,2544.9,1.2,4.75
2004-01-10,1888.6666666666667,44960.75,2545.45,1.3,4.75
2004-01-11,1834.3333333333333,45123.833333333336,2546.0,1.5,4.75
2004-01-12,1780.0,45286.916666666664,2546.5499999999997,1.8,4.75
2005-01-01,1735.3333333333333,45450.0,2547.1,1.7,4.75
2005-01-02,1690.6666666666667,45640.833333333336,2547.5583333333334,1.7,4.75
2005-01-03,1646.0,45831.666666666664,2548.0166666666664,2.0,4.75
2005-01-04,1570.3333333333333,46022.5,2548.475,1.9,4.75
2005-01-05,1494.6666666666667,46213.333333333336,2548.9333333333334,1.9,4.75
2005-01-06,1419.0,46404.166666666664,2549.3916666666664,2.0,4.75
2005-01-07,1376.0,46595.0,2549.85,2.3,4.666666666666667
2005-01-08,1333.0,46785.833333333336,2550.3083333333334,2.4,4.583333333333333
2005-01-09,1290.0,46976.666666666664,2550.7666666666664,2.5,4.5
2005-01-10,1299.6666666666667,47167.5,2551.225,2.4,4.5
2005-01-11,1309.3333333333333,47358.333333333336,2551.6833333333334,2.2,4.5
2005-01-12,1319.0,47549.166666666664,2552.1416666666664,2.1,4.5
2006-01-01,1337.3333333333333,47740.0,2552.6,2.2,4.5
2006-01-02,1355.6666666666667,47843.083333333336,2553.383333333333,2.2,4.5
2006-01-03,1374.0,47946.166666666664,2554.1666666666665,2.0,4.5
2006-01-04,1429.6666666666667,48049.25,2554.95,2.2,4.5
