Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,956.3333333333334,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,962.6666666666666,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,969.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,998.6666666666666,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,1028.3333333333333,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,1058.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,1085.6666666666667,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,1113.3333333333333,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,1141.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,1188.0,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,1235.0,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,1282.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,1306.6666666666667,66487.13,4957.6,2.6,5.94
1997-01-02,1331.3333333333333,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,1356.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,1369.6666666666667,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,1383.3333333333333,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,1397.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,1414.0,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,1431.0,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,1448.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,1443.6666666666667,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,1439.3333333333333,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,1435.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,1441.6666666666667,70468.0,4957.7,1.8,7.25
1998-01-02,1448.3333333333333,70680.25,4957.583333333333,1.8,7.25
1998-01-03,1455.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,1459.0,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,1463.0,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,1467.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,1486.6666666666667,71741.5,4957.0,1.7,7.5
1998-01-08,1506.3333333333333,71953.75,4956.883333333333,1.6,7.5
1998-01-09,1526.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,1539.0,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,1552.0,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,1565.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,1561.6666666666667,73015.0,4956.3,2.0,6.0
1999-01-02,1558.3333333333333,73229.75,4956.491666666667,1.9,5.75
1999-01-03,1555.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,1582.0,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,1609.0,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,1636.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,1627.6666666666667,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,1619.3333333333333,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,1611.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,1642.6666666666667,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,1674.3333333333333,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,1706.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,1726.3333333333333,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,1746.6666666666667,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,1767.0,76173.0,4961.6,1.0,5.75
2000-01-04,1764.0,76463.5,4963.1,0.9,5.75
2000-01-05,1761.0,76754.0,4964.6,1.0,5.75
2000-01-06,1758.0,77044.5,4966.1,1.2,5.75
2000-01-07,1760.3333333333333,77335.0,4967.6,1.2,5.75
2000-01-08,1762.6666666666667,77625.5,4969.1,1.0,5.75
2000-01-09,1765.0,77916.0,4970.6,1.3,5.75
2000-01-10,1759.3333333333333,78206.5,4972.1,1.4,5.75
2000-01-11,1753.6666666666667,78497.0,4973.6,1.5,5.75
2000-01-12,1748.0,78787.5,4975.1,1.2,5.75
2001-01-01,1747.6666666666667,79078.0,4976.6,1.2,5.75
2001-01-02,1747.3333333333333,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,1747.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,1762.6666666666667,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,1778.3333333333333,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,1794.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,1828.3333333333333,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,1862.6666666666667,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,1897.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,1912.3333333333333,82290.25,4994.225,1.6,4.5
2001-01-11,1927.6666666666667,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,1943.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,1971.6666666666667,83361.0,5000.1,1.8,4.0
2002-01-02,2000.3333333333333,83829.0,5002.283333333334,1.7,4.0
2002-01-03,2029.0,84297.0,5004.466666666667,1.7,4.0
2002-01-04,2042.0,84765.0,5006.650000000001,1.6,4.0
2002-01-05,2055.0,85233.0,5008.833333333334,1.2,4.0
2002-01-06,2068.0,85701.0,5011.016666666667,1.1,4.0
2002-01-07,2065.3333333333335,86169.0,5013.200000000001,1.4,4.0
2002-01-08,2062.6666666666665,86637.0,5015.383333333333,1.3,4.0
2002-01-09,2060.0,87105.0,5017.566666666667,1.2,4.0
2002-01-10,2029.3333333333333,87573.0,5019.75,1.5,4.0
2002-01-11,1998.6666666666667,88041.0,5021.933333333333,1.6,4.0
2002-01-12,1968.0,88509.0,5024.116666666667,1.7,4.0
2003-01-01,1924.3333333333333,88977.0,5026.3,1.4,3.9166666666666665
2003-01-02,1880.6666666666667,89413.83333333333,5029.375,1.6,3.8333333333333335
2003-01-03,1837.0,89850.66666666667,5032.45,1.6,3.75
2003-01-04,1778.0,90287.5,5035.525,1.5,3.75
2003-01-05,1719.0,90724.33333333333,5038.6,1.3,3.75
2003-01-06,1660.0,91161.16666666667,5041.675,1.2,3.75
2003-01-07,1622.0,91598.0,5044.75,1.3,3.6666666666666665
2003-01-08,1584.0,92034.83333333333,5047.825,1.4,3.5833333333333335
2003-01-09,1546.0,92471.66666666667,5050.9,1.3,3.5
2003-01-10,1545.0,92908.5,5053.975,1.3,3.5833333333333335
2003-01-11,1544.0,93345.33333333333,5057.05,1.3,3.6666666666666665
2003-01-12,1543.0,93782.16666666667,5060.125,1.3,3.75
2004-01-01,1541.0,94219.0,5063.2,1.5,3.8333333333333335
2004-01-02,1539.0,94605.16666666667,5066.966666666666,1.4,3.9166666666666665
2004-01-03,1537.0,94991.33333333333,5070.733333333334,1.2,4.0
2004-01-04,1581.3333333333333,95377.5,5074.5,1.1,4.083333333333333
2004-01-05,1625.6666666666667,95763.66666666667,5078.266666666666,1.4,4.166666666666667
2004-01-06,1670.0,96149.83333333333,5082.033333333333,1.5,4.25
2004-01-07,1680.3333333333333,96536.0,5085.799999999999,1.4,4.416666666666667
2004-01-08,1690.6666666666667,96922.16666666667,5089.566666666667,1.4,4.583333333333333
2004-01-09,1701.0,97308.33333333333,5093.333333333333,1.2,4.75
2004-01-10,1663.6666666666667,97694.5,5097.099999999999,1.3,4.75
2004-01-11,1626.3333333333333,98080.66666666667,5100.866666666667,1.5,4.75
2004-01-12,1589.0,98466.83333333333,5104.633333333333,1.8,4.75
2005-01-01,1565.0,98853.0,5108.4,1.7,4.75
2005-01-02,1541.0,99247.0,5110.533333333333,1.7,4.75
2005-01-03,1517.0,99641.0,5112.666666666666,2.0,4.75
2005-01-04,1452.0,100035.0,5114.799999999999,1.9,4.75
2005-01-05,1387.0,100429.0,5116.933333333333,1.9,4.75
2005-01-06,1322.0,100823.0,5119.066666666667,2.0,4.75
2005-01-07,1285.3333333333333,101217.0,5121.2,2.3,4.666666666666667
2005-01-08,1248.6666666666667,101611.0,5123.333333333333,2.4,4.583333333333333
2005-01-09,1212.0,102005.0,5125.466666666666,2.5,4.5
2005-01-10,1211.6666666666667,102399.0,5127.6,2.4,4.5
2005-01-11,1211.3333333333333,102793.0,5129.733333333334,2.2,4.5
2005-01-12,1211.0,103187.0,5131.866666666667,2.1,4.5
2006-01-01,1211.6666666666667,103581.0,5134.0,2.2,4.5
2006-01-02,1212.3333333333333,104053.66666666667,5136.508333333333,2.2,4.5
2006-01-03,1213.0,104526.33333333333,5139.016666666666,2.0,4.5
2006-01-04,1240.3333333333333,104999.0,5141.525,2.2,4.5
2006-01-05,1267.6666666666667,105471.66666666667,5144.033333333334,2.4,4.5
2006-01-06,1295.0,105944.33333333333,5146.541666666667,2.6,4.5
2006-01-07,1312.3333333333333,106417.0,5149.05,2.5,4.583333333333333
2006-01-08,1329.6666666666667,106889.66666666667,5151.558333333333,2.6,4.666666666666667
2006-01-09,1347.0,107362.33333333333,5154.066666666667,2.5,4.75
2006-01-10,1370.3333333333333,107835.0,5156.575000000001,2.5,4.833333333333333
2006-01-11,1393.6666666666667,108307.66666666667,5159.083333333334,2.8,4.916666666666667
2006-01-12,1417.0,108780.33333333333,5161.591666666667,2.9,5.0
2007-01-01,1435.3333333333333,109253.0,5164.1,2.7,5.083333333333333
2007-01-02,1453.6666666666667,109352.25,5166.983333333334,2.7,5.166666666666667
2007-01-03,1472.0,109451.5,5169.866666666667,2.9,5.25
2007-01-04,1457.0,109550.75,5172.75,2.7,5.333333333333333
