Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,749.3333333333334,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,741.6666666666666,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,734.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,742.3333333333334,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,750.6666666666666,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,759.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,777.0,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,795.0,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,813.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,838.6666666666666,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,864.3333333333334,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,890.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,908.3333333333334,66487.13,4957.6,2.6,5.94
1997-01-02,926.6666666666666,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,945.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,959.0,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,973.0,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,987.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,1000.6666666666666,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,1014.3333333333334,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,1028.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,1025.6666666666667,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,1023.3333333333334,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,1021.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,1008.3333333333334,70468.0,4957.7,1.8,7.25
1998-01-02,995.6666666666666,70680.25,4957.583333333333,1.8,7.25
1998-01-03,983.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,996.0,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,1009.0,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,1022.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,1014.3333333333334,71741.5,4957.0,1.7,7.5
1998-01-08,1006.6666666666666,71953.75,4956.883333333333,1.6,7.5
1998-01-09,999.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,1002.6666666666666,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,1006.3333333333334,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,1010.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,1013.3333333333334,73015.0,4956.3,2.0,6.0
1999-01-02,1016.6666666666666,73229.75,4956.491666666667,1.9,5.75
1999-01-03,1020.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,1021.6666666666666,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,1023.3333333333334,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,1025.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,1037.3333333333333,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,1049.6666666666667,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,1062.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,1069.3333333333333,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,1076.6666666666667,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,1084.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,1097.6666666666667,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,1111.3333333333333,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,1125.0,76173.0,4961.6,1.0,5.75
2000-01-04,1112.0,76463.5,4963.1,0.9,5.75
2000-01-05,1099.0,76754.0,4964.6,1.0,5.75
2000-01-06,1086.0,77044.5,4966.1,1.2,5.75
2000-01-07,1066.3333333333333,77335.0,4967.6,1.2,5.75
2000-01-08,1046.6666666666667,77625.5,4969.1,1.0,5.75
2000-01-09,1027.0,77916.0,4970.6,1.3,5.75
2000-01-10,1012.0,78206.5,4972.1,1.4,5.75
2000-01-11,997.0,78497.0,4973.6,1.5,5.75
2000-01-12,982.0,78787.5,4975.1,1.2,5.75
2001-01-01,992.6666666666666,79078.0,4976.6,1.2,5.75
2001-01-02,1003.3333333333334,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,1014.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,1033.6666666666667,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,1053.3333333333333,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,1073.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,1108.6666666666667,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,1144.3333333333333,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,1180.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,1217.6666666666667,82290.25,4994.225,1.6,4.5
2001-01-11,1255.3333333333333,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,1293.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,1292.3333333333333,83361.0,5000.1,1.8,4.0
2002-01-02,1291.6666666666667,83829.0,5002.283333333334,1.7,4.0
2002-01-03,1291.0,84297.0,5004.466666666667,1.7,4.0
2002-01-04,1307.0,84765.0,5006.650000000001,1.6,4.0
2002-01-05,1323.0,85233.0,5008.833333333334,1.2,4.0
2002-01-06,1339.0,85701.0,5011.016666666667,1.1,4.0
2002-01-07,1335.3333333333333,86169.0,5013.200000000001,1.4,4.0
2002-01-08,1331.6666666666667,86637.0,5015.383333333333,1.3,4.0
2002-01-09,1328.0,87105.0,5017.566666666667,1.2,4.0
2002-01-10,1304.0,87573.0,5019.75,1.5,4.0
2002-01-11,1280.0,88041.0,5021.933333333333,1.6,4.0
2002-01-12,1256.0,88509.0,5024.116666666667,1.7,4.0
2003-01-01,1253.3333333333333,88977.0,5026.3,1.4,3.9166666666666665
2003-01-02,1250.6666666666667,89413.83333333333,5029.375,1.6,3.8333333333333335
2003-01-03,1248.0,89850.66666666667,5032.45,1.6,3.75
2003-01-04,1231.3333333333333,90287.5,5035.525,1.5,3.75
2003-01-05,1214.6666666666667,90724.33333333333,5038.6,1.3,3.75
2003-01-06,1198.0,91161.16666666667,5041.675,1.2,3.75
2003-01-07,1179.3333333333333,91598.0,5044.75,1.3,3.6666666666666665
2003-01-08,1160.6666666666667,92034.83333333333,5047.825,1.4,3.5833333333333335
2003-01-09,1142.0,92471.66666666667,5050.9,1.3,3.5
2003-01-10,1157.3333333333333,92908.5,5053.975,1.3,3.5833333333333335
2003-01-11,1172.6666666666667,93345.33333333333,5057.05,1.3,3.6666666666666665
2003-01-12,1188.0,93782.16666666667,5060.125,1.3,3.75
2004-01-01,1196.3333333333333,94219.0,5063.2,1.5,3.8333333333333335
2004-01-02,1204.6666666666667,94605.16666666667,5066.966666666666,1.4,3.9166666666666665
2004-01-03,1213.0,94991.33333333333,5070.733333333334,1.2,4.0
2004-01-04,1214.6666666666667,95377.5,5074.5,1.1,4.083333333333333
2004-01-05,1216.3333333333333,95763.66666666667,5078.266666666666,1.4,4.166666666666667
2004-01-06,1218.0,96149.83333333333,5082.033333333333,1.5,4.25
2004-01-07,1221.6666666666667,96536.0,5085.799999999999,1.4,4.416666666666667
2004-01-08,1225.3333333333333,96922.16666666667,5089.566666666667,1.4,4.583333333333333
2004-01-09,1229.0,97308.33333333333,5093.333333333333,1.2,4.75
2004-01-10,1207.6666666666667,97694.5,5097.099999999999,1.3,4.75
2004-01-11,1186.3333333333333,98080.66666666667,5100.866666666667,1.5,4.75
2004-01-12,1165.0,98466.83333333333,5104.633333333333,1.8,4.75
2005-01-01,1140.0,98853.0,5108.4,1.7,4.75
2005-01-02,1115.0,99247.0,5110.533333333333,1.7,4.75
2005-01-03,1090.0,99641.0,5112.666666666666,2.0,4.75
2005-01-04,1059.3333333333333,100035.0,5114.799999999999,1.9,4.75
2005-01-05,1028.6666666666667,100429.0,5116.933333333333,1.9,4.75
2005-01-06,998.0,100823.0,5119.066666666667,2.0,4.75
2005-01-07,979.6666666666666,101217.0,5121.2,2.3,4.666666666666667
2005-01-08,961.3333333333334,101611.0,5123.333333333333,2.4,4.583333333333333
2005-01-09,943.0,102005.0,5125.466666666666,2.5,4.5
2005-01-10,950.0,102399.0,5127.6,2.4,4.5
2005-01-11,957.0,102793.0,5129.733333333334,2.2,4.5
2005-01-12,964.0,103187.0,5131.866666666667,2.1,4.5
2006-01-01,994.6666666666666,103581.0,5134.0,2.2,4.5
2006-01-02,1025.3333333333333,104053.66666666667,5136.508333333333,2.2,4.5
2006-01-03,1056.0,104526.33333333333,5139.016666666666,2.0,4.5
2006-01-04,1097.3333333333333,104999.0,5141.525,2.2,4.5
2006-01-05,1138.6666666666667,105471.66666666667,5144.033333333334,2.4,4.5
2006-01-06,1180.0,105944.33333333333,5146.541666666667,2.6,4.5
2006-01-07,1211.6666666666667,106417.0,5149.05,2.5,4.583333333333333
2006-01-08,1243.3333333333333,106889.66666666667,5151.558333333333,2.6,4.666666666666667
2006-01-09,1275.0,107362.33333333333,5154.066666666667,2.5,4.75
2006-01-10,1310.6666666666667,107835.0,5156.575000000001,2.5,4.833333333333333
2006-01-11,1346.3333333333333,108307.66666666667,5159.083333333334,2.8,4.916666666666667
2006-01-12,1382.0,108780.33333333333,5161.591666666667,2.9,5.0
2007-01-01,1380.3333333333333,109253.0,5164.1,2.7,5.083333333333333
2007-01-02,1378.6666666666667,109352.25,5166.983333333334,2.7,5.166666666666667
2007-01-03,1377.0,109451.5,5169.866666666667,2.9,5.25
2007-01-04,1375.3333333333333,109550.75,5172.75,2.7,5.333333333333333
2007-01-05,1373.6666666666667,109650.0,5175.633333333333,2.5,5.416666666666667
2007-01-06,1372.0,109749.25,5178.516666666666,2.5,5.5
2007-01-07,1364.0,109848.5,5181.4,2.0,5.583333333333333
2007-01-08,1356.0,109947.75,5184.283333333334,2.0,5.666666666666667
2007-01-09,1348.0,110047.0,5187.166666666667,2.0,5.75
2007-01-10,1309.6666666666667,110146.25,5190.05,2.3,5.666666666666667
2007-01-11,1271.3333333333333,110245.5,5192.933333333333,2.2,5.583333333333333
2007-01-12,1233.0,110344.75,5195.816666666667,2.3,5.5
2008-01-01,1201.0,110444.0,5198.7,2.4,5.416666666666667
2008-01-02,1169.0,110196.16666666667,5200.75,2.6,5.333333333333333
2008-01-03,1137.0,109948.33333333333,5202.8,2.6,5.25
2008-01-04,1087.6666666666667,109700.5,5204.85,3.0,5.166666666666667
2008-01-05,1038.3333333333333,109452.66666666667,5206.9,3.3,5.083333333333333
2008-01-06,989.0,109204.83333333333,5208.95,3.7,5.0
2008-01-07,934.0,108957.0,5211.0,4.2,5.0
2008-01-08,879.0,108709.16666666667,5213.05,4.4,5.0
2008-01-09,824.0,108461.33333333333,5215.1,4.8,5.0
2008-01-10,763.6666666666666,108213.5,5217.15,4.2,4.0
2008-01-11,703.3333333333334,107965.66666666667,5219.2,3.8,3.0
2008-01-12,643.0,107717.83333333333,5221.25,3.0,2.0
2009-01-01,609.6666666666666,107470.0,5223.3,2.9,1.5
2009-01-02,576.3333333333334,107651.66666666667,5225.925,3.1,1.0
2009-01-03,543.0,107833.33333333333,5228.55,2.8,0.5
2009-01-04,526.0,108015.0,5231.175,2.3,0.5
2009-01-05,509.0,108196.66666666667,5233.8,2.1,0.5
2009-01-06,492.0,108378.33333333333,5236.425,1.7,0.5
2009-01-07,484.0,108560.0,5239.05,1.6,0.5
2009-01-08,476.0,108741.66666666667,5241.675,1.4,0.5
2009-01-09,468.0,108923.33333333333,5244.3,1.0,0.5
2009-01-10,487.3333333333333,109105.0,5246.925,1.2,0.5
2009-01-11,506.6666666666667,109286.66666666667,5249.55,1.5,0.5
