Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,805.6666666666666,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,810.3333333333334,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,815.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,831.0,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,847.0,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,863.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,897.6666666666666,161594.5223076925,6994.6,2.7,5.69
1996-01-08,932.3333333333334,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,967.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,1030.0,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,1093.0,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,1156.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,1176.0,168929.54,7014.8,2.6,5.94
1997-01-02,1196.0,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,1216.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,1239.6666666666667,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,1263.3333333333333,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,1287.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,1284.0,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,1281.0,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,1278.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,1251.3333333333333,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,1224.6666666666667,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,1198.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,1206.6666666666667,195741.0,7065.5,1.8,7.25
1998-01-02,1215.3333333333333,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,1224.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,1225.0,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,1226.0,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,1227.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,1237.3333333333333,201209.0,7109.7,1.7,7.5
1998-01-08,1247.6666666666667,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,1258.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,1279.6666666666667,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,1301.3333333333333,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,1323.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,1323.0,206677.0,7153.9,2.0,6.0
1999-01-02,1323.0,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,1323.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,1354.0,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,1385.0,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,1416.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,1453.6666666666667,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,1491.3333333333333,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,1529.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,1557.6666666666667,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,1586.3333333333333,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,1615.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,1620.0,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,1625.0,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,1630.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,1614.6666666666667,224447.0,7258.125,0.9,5.75
2000-01-05,1599.3333333333333,224991.0,7265.266666666666,1.0,5.75
2000-01-06,1584.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,1555.3333333333333,226079.0,7279.549999999999,1.2,5.75
2000-01-08,1526.6666666666667,226623.0,7286.691666666667,1.0,5.75
2000-01-09,1498.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,1452.6666666666667,227711.0,7300.974999999999,1.4,5.75
2000-01-11,1407.3333333333333,228255.0,7308.116666666667,1.5,5.75
