Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,3855.3333333333335,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,3854.6666666666665,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,3854.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,3891.3333333333335,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,3928.6666666666665,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,3966.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,4007.3333333333335,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,4048.6666666666665,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,4090.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,4151.666666666667,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,4213.333333333333,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,4275.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,4305.666666666667,66487.13,4957.6,2.6,5.94
1997-01-02,4336.333333333333,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,4367.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,4399.666666666667,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,4432.333333333333,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,4465.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,4540.666666666667,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,4616.333333333333,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,4692.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,4690.666666666667,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,4689.333333333333,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,4688.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,4666.333333333333,70468.0,4957.7,1.8,7.25
1998-01-02,4644.666666666667,70680.25,4957.583333333333,1.8,7.25
1998-01-03,4623.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,4623.666666666667,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,4624.333333333333,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,4625.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,4616.333333333333,71741.5,4957.0,1.7,7.5
1998-01-08,4607.666666666667,71953.75,4956.883333333333,1.6,7.5
1998-01-09,4599.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,4623.333333333333,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,4647.666666666667,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,4672.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,4721.0,73015.0,4956.3,2.0,6.0
1999-01-02,4770.0,73229.75,4956.491666666667,1.9,5.75
1999-01-03,4819.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,4873.333333333333,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,4927.666666666667,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,4982.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,5031.666666666667,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,5081.333333333333,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,5131.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,5222.0,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,5313.0,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,5404.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,5453.0,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,5502.0,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,5551.0,76173.0,4961.6,1.0,5.75
2000-01-04,5568.333333333333,76463.5,4963.1,0.9,5.75
2000-01-05,5585.666666666667,76754.0,4964.6,1.0,5.75
2000-01-06,5603.0,77044.5,4966.1,1.2,5.75
2000-01-07,5588.666666666667,77335.0,4967.6,1.2,5.75
2000-01-08,5574.333333333333,77625.5,4969.1,1.0,5.75
2000-01-09,5560.0,77916.0,4970.6,1.3,5.75
2000-01-10,5470.333333333333,78206.5,4972.1,1.4,5.75
2000-01-11,5380.666666666667,78497.0,4973.6,1.5,5.75
2000-01-12,5291.0,78787.5,4975.1,1.2,5.75
2001-01-01,5275.0,79078.0,4976.6,1.2,5.75
2001-01-02,5259.0,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,5243.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,5264.666666666667,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,5286.333333333333,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,5308.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,5400.333333333333,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,5492.666666666667,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,5585.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,5727.666666666667,82290.25,4994.225,1.6,4.5
2001-01-11,5870.333333333333,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,6013.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,6130.666666666667,83361.0,5000.1,1.8,4.0
2002-01-02,6248.333333333333,83829.0,5002.283333333334,1.7,4.0
2002-01-03,6366.0,84297.0,5004.466666666667,1.7,4.0
2002-01-04,6464.666666666667,84765.0,5006.650000000001,1.6,4.0
2002-01-05,6563.333333333333,85233.0,5008.833333333334,1.2,4.0
2002-01-06,6662.0,85701.0,5011.016666666667,1.1,4.0
2002-01-07,6730.0,86169.0,5013.200000000001,1.4,4.0
2002-01-08,6798.0,86637.0,5015.383333333333,1.3,4.0
2002-01-09,6866.0,87105.0,5017.566666666667,1.2,4.0
2002-01-10,6886.333333333333,87573.0,5019.75,1.5,4.0
2002-01-11,6906.666666666667,88041.0,5021.933333333333,1.6,4.0
2002-01-12,6927.0,88509.0,5024.116666666667,1.7,4.0
2003-01-01,6908.333333333333,88977.0,5026.3,1.4,3.9166666666666665
2003-01-02,6889.666666666667,89413.83333333333,5029.375,1.6,3.8333333333333335
2003-01-03,6871.0,89850.66666666667,5032.45,1.6,3.75
2003-01-04,6825.666666666667,90287.5,5035.525,1.5,3.75
2003-01-05,6780.333333333333,90724.33333333333,5038.6,1.3,3.75
2003-01-06,6735.0,91161.16666666667,5041.675,1.2,3.75
2003-01-07,6695.0,91598.0,5044.75,1.3,3.6666666666666665
2003-01-08,6655.0,92034.83333333333,5047.825,1.4,3.5833333333333335
2003-01-09,6615.0,92471.66666666667,5050.9,1.3,3.5
2003-01-10,6640.0,92908.5,5053.975,1.3,3.5833333333333335
2003-01-11,6665.0,93345.33333333333,5057.05,1.3,3.6666666666666665
2003-01-12,6690.0,93782.16666666667,5060.125,1.3,3.75
2004-01-01,6736.666666666667,94219.0,5063.2,1.5,3.8333333333333335
2004-01-02,6783.333333333333,94605.16666666667,5066.966666666666,1.4,3.9166666666666665
2004-01-03,6830.0,94991.33333333333,5070.733333333334,1.2,4.0
2004-01-04,6874.666666666667,95377.5,5074.5,1.1,4.083333333333333
2004-01-05,6919.333333333333,95763.66666666667,5078.266666666666,1.4,4.166666666666667
2004-01-06,6964.0,96149.83333333333,5082.033333333333,1.5,4.25
2004-01-07,6934.666666666667,96536.0,5085.799999999999,1.4,4.416666666666667
2004-01-08,6905.333333333333,96922.16666666667,5089.566666666667,1.4,4.583333333333333
2004-01-09,6876.0,97308.33333333333,5093.333333333333,1.2,4.75
2004-01-10,6702.333333333333,97694.5,5097.099999999999,1.3,4.75
2004-01-11,6528.666666666667,98080.66666666667,5100.866666666667,1.5,4.75
2004-01-12,6355.0,98466.83333333333,5104.633333333333,1.8,4.75
2005-01-01,6175.666666666667,98853.0,5108.4,1.7,4.75
2005-01-02,5996.333333333333,99247.0,5110.533333333333,1.7,4.75
2005-01-03,5817.0,99641.0,5112.666666666666,2.0,4.75
2005-01-04,5705.666666666667,100035.0,5114.799999999999,1.9,4.75
