Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,888.3333333333334,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,895.6666666666666,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,903.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,919.6666666666666,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,936.3333333333334,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,953.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,979.6666666666666,76991.5653846154,5249.85,2.7,5.69
1996-01-08,1006.3333333333334,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,1033.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,1072.3333333333333,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,1111.6666666666667,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,1151.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,1169.0,79374.78,5266.9,2.6,5.94
1997-01-02,1187.0,79949.54833333334,5269.825,2.4,5.94
1997-01-03,1205.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,1225.6666666666667,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,1246.3333333333333,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,1267.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,1291.3333333333333,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,1315.6666666666667,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,1340.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,1330.3333333333333,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,1320.6666666666667,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,1311.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,1300.6666666666667,86272.0,5302.0,1.8,7.25
1998-01-02,1290.3333333333333,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,1280.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,1254.3333333333333,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,1228.6666666666667,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,1203.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,1189.0,88164.5,5320.35,1.7,7.5
1998-01-08,1175.0,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,1161.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,1158.0,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,1155.0,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,1152.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,1147.6666666666667,90057.0,5338.7,2.0,6.0
1999-01-02,1143.3333333333333,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,1139.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,1150.0,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,1161.0,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,1172.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,1181.6666666666667,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,1191.3333333333333,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,1201.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,1215.0,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,1229.0,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,1243.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,1262.0,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,1281.0,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,1300.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,1294.6666666666667,96091.25,5381.375,0.9,5.75
2000-01-05,1289.3333333333333,96494.33333333333,5383.5,1.0,5.75
2000-01-06,1284.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,1255.3333333333333,97300.5,5387.75,1.2,5.75
2000-01-08,1226.6666666666667,97703.58333333333,5389.875,1.0,5.75
2000-01-09,1198.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,1179.3333333333333,98509.75,5394.125,1.4,5.75
2000-01-11,1160.6666666666667,98912.83333333333,5396.25,1.5,5.75
2000-01-12,1142.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,1149.6666666666667,99719.0,5400.5,1.2,5.75
2001-01-02,1157.3333333333333,100041.0,5403.183333333333,1.2,5.75
2001-01-03,1165.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,1192.0,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,1219.0,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,1246.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,1306.3333333333333,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,1366.6666666666667,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,1427.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,1449.3333333333333,102617.0,5424.65,1.6,4.5
2001-01-11,1471.6666666666667,102939.0,5427.333333333333,1.2,4.25
2001-01-12,1494.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,1492.3333333333333,103583.0,5432.7,1.8,4.0
2002-01-02,1490.6666666666667,104128.5,5436.15,1.7,4.0
2002-01-03,1489.0,104674.0,5439.6,1.7,4.0
2002-01-04,1485.0,105219.5,5443.05,1.6,4.0
2002-01-05,1481.0,105765.0,5446.5,1.2,4.0
2002-01-06,1477.0,106310.5,5449.95,1.1,4.0
2002-01-07,1438.6666666666667,106856.0,5453.4,1.4,4.0
2002-01-08,1400.3333333333333,107401.5,5456.85,1.3,4.0
2002-01-09,1362.0,107947.0,5460.3,1.2,4.0
2002-01-10,1358.0,108492.5,5463.75,1.5,4.0
2002-01-11,1354.0,109038.0,5467.200000000001,1.6,4.0
2002-01-12,1350.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,1334.6666666666667,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,1319.3333333333333,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,1304.0,110792.33333333333,5479.85,1.6,3.75
2003-01-04,1288.3333333333333,111124.0,5482.725,1.5,3.75
2003-01-05,1272.6666666666667,111455.66666666667,5485.6,1.3,3.75
2003-01-06,1257.0,111787.33333333333,5488.475,1.2,3.75
2003-01-07,1256.0,112119.0,5491.35,1.3,3.6666666666666665
2003-01-08,1255.0,112450.66666666667,5494.225,1.4,3.5833333333333335
2003-01-09,1254.0,112782.33333333333,5497.1,1.3,3.5
2003-01-10,1262.6666666666667,113114.0,5499.975,1.3,3.5833333333333335
2003-01-11,1271.3333333333333,113445.66666666667,5502.85,1.3,3.6666666666666665
2003-01-12,1280.0,113777.33333333333,5505.725,1.3,3.75
2004-01-01,1294.3333333333333,114109.0,5508.6,1.5,3.8333333333333335
2004-01-02,1308.6666666666667,114640.08333333333,5513.108333333334,1.4,3.9166666666666665
2004-01-03,1323.0,115171.16666666667,5517.616666666667,1.2,4.0
2004-01-04,1327.6666666666667,115702.25,5522.125,1.1,4.083333333333333
2004-01-05,1332.3333333333333,116233.33333333333,5526.633333333333,1.4,4.166666666666667
2004-01-06,1337.0,116764.41666666667,5531.141666666666,1.5,4.25
2004-01-07,1332.3333333333333,117295.5,5535.65,1.4,4.416666666666667
2004-01-08,1327.6666666666667,117826.58333333333,5540.158333333334,1.4,4.583333333333333
2004-01-09,1323.0,118357.66666666667,5544.666666666667,1.2,4.75
2004-01-10,1295.3333333333333,118888.75,5549.175,1.3,4.75
2004-01-11,1267.6666666666667,119419.83333333333,5553.683333333333,1.5,4.75
2004-01-12,1240.0,119950.91666666667,5558.191666666667,1.8,4.75
