Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,192.33333333333334,51443.1261538461,4108.1,2.9,6.233333333333333
1996-01-02,191.66666666666666,51717.327307692256,4109.116666666667,3.0,6.086666666666667
1996-01-03,191.0,51991.528461538415,4110.133333333333,3.0,5.94
1996-01-04,196.33333333333334,52265.729615384575,4111.150000000001,2.8,5.856666666666667
1996-01-05,201.66666666666666,52539.930769230734,4112.166666666667,2.8,5.773333333333333
1996-01-06,207.0,52814.13192307689,4113.183333333333,2.8,5.69
1996-01-07,217.66666666666666,53088.33307692305,4114.200000000001,2.7,5.69
1996-01-08,228.33333333333334,53362.534230769204,4115.216666666667,2.7,5.69
1996-01-09,239.0,53636.735384615364,4116.233333333334,2.7,5.69
1996-01-10,244.33333333333334,53910.93653846152,4117.25,3.0,5.773333333333333
1996-01-11,249.66666666666666,54185.13769230768,4118.266666666666,3.1,5.856666666666667
1996-01-12,255.0,54459.33884615384,4119.283333333334,2.8,5.94
1997-01-01,260.6666666666667,54733.54,4120.3,2.6,5.94
1997-01-02,266.3333333333333,55242.16166666667,4121.325,2.4,5.94
1997-01-03,272.0,55750.78333333333,4122.35,2.2,5.94
1997-01-04,284.3333333333333,56259.405,4123.375,2.1,6.043333333333334
1997-01-05,296.6666666666667,56768.026666666665,4124.400000000001,2.1,6.1466666666666665
1997-01-06,309.0,57276.64833333333,4125.425,2.1,6.25
1997-01-07,310.3333333333333,57785.270000000004,4126.450000000001,2.4,6.416666666666667
1997-01-08,311.6666666666667,58293.89166666667,4127.475,2.3,6.583333333333333
1997-01-09,313.0,58802.513333333336,4128.5,2.2,6.75
1997-01-10,318.0,59311.135,4129.525000000001,2.2,6.916666666666667
1997-01-11,323.0,59819.75666666667,4130.55,2.1,7.083333333333333
1997-01-12,328.0,60328.378333333334,4131.575000000001,1.9,7.25
1998-01-01,325.0,60837.0,4132.6,1.8,7.25
1998-01-02,322.0,61002.583333333336,4134.25,1.8,7.25
1998-01-03,319.0,61168.166666666664,4135.900000000001,1.9,7.25
1998-01-04,315.6666666666667,61333.75,4137.55,2.1,7.333333333333333
1998-01-05,312.3333333333333,61499.333333333336,4139.2,2.2,7.416666666666667
1998-01-06,309.0,61664.916666666664,4140.85,1.9,7.5
1998-01-07,324.3333333333333,61830.5,4142.5,1.7,7.5
1998-01-08,339.6666666666667,61996.083333333336,4144.15,1.6,7.5
1998-01-09,355.0,62161.666666666664,4145.8,1.7,7.5
1998-01-10,355.0,62327.25,4147.45,1.6,7.083333333333333
1998-01-11,355.0,62492.833333333336,4149.099999999999,1.7,6.666666666666667
1998-01-12,355.0,62658.416666666664,4150.75,1.9,6.25
1999-01-01,361.3333333333333,62824.0,4152.4,2.0,6.0
1999-01-02,367.6666666666667,63023.5,4153.708333333333,1.9,5.75
1999-01-03,374.0,63223.0,4155.016666666666,2.1,5.5
1999-01-04,378.3333333333333,63422.5,4156.325,2.0,5.333333333333333
1999-01-05,382.6666666666667,63622.0,4157.633333333333,1.7,5.166666666666667
1999-01-06,387.0,63821.5,4158.941666666667,1.8,5.0
1999-01-07,375.3333333333333,64021.0,4160.25,1.7,5.083333333333333
1999-01-08,363.6666666666667,64220.5,4161.558333333333,1.6,5.166666666666667
1999-01-09,352.0,64420.0,4162.866666666667,1.6,5.25
1999-01-10,356.0,64619.5,4164.175,1.5,5.333333333333333
1999-01-11,360.0,64819.0,4165.483333333334,1.5,5.416666666666667
1999-01-12,364.0,65018.5,4166.791666666667,1.5,5.5
2000-01-01,359.6666666666667,65218.0,4168.1,1.2,5.583333333333333
2000-01-02,355.3333333333333,65436.333333333336,4169.891666666667,1.2,5.666666666666667
2000-01-03,351.0,65654.66666666667,4171.683333333333,1.0,5.75
2000-01-04,348.3333333333333,65873.0,4173.475,0.9,5.75
2000-01-05,345.6666666666667,66091.33333333333,4175.266666666667,1.0,5.75
2000-01-06,343.0,66309.66666666667,4177.058333333333,1.2,5.75
2000-01-07,339.3333333333333,66528.0,4178.85,1.2,5.75
2000-01-08,335.6666666666667,66746.33333333333,4180.641666666667,1.0,5.75
2000-01-09,332.0,66964.66666666667,4182.433333333333,1.3,5.75
2000-01-10,325.6666666666667,67183.0,4184.225,1.4,5.75
2000-01-11,319.3333333333333,67401.33333333333,4186.016666666667,1.5,5.75
2000-01-12,313.0,67619.66666666667,4187.808333333333,1.2,5.75
2001-01-01,310.3333333333333,67838.0,4189.6,1.2,5.75
2001-01-02,307.6666666666667,68072.0,4192.283333333334,1.2,5.75
2001-01-03,305.0,68306.0,4194.966666666667,1.3,5.75
2001-01-04,302.6666666666667,68540.0,4197.650000000001,1.5,5.583333333333333
2001-01-05,300.3333333333333,68774.0,4200.333333333334,1.9,5.416666666666667
2001-01-06,298.0,69008.0,4203.016666666667,1.9,5.25
2001-01-07,306.6666666666667,69242.0,4205.700000000001,1.7,5.083333333333333
2001-01-08,315.3333333333333,69476.0,4208.383333333333,2.1,4.916666666666667
2001-01-09,324.0,69710.0,4211.066666666667,1.7,4.75
2001-01-10,332.0,69944.0,4213.75,1.6,4.5
2001-01-11,340.0,70178.0,4216.433333333333,1.2,4.25
2001-01-12,348.0,70412.0,4219.116666666667,1.4,4.0
2002-01-01,366.0,70646.0,4221.8,1.8,4.0
2002-01-02,384.0,70947.33333333333,4224.575,1.7,4.0
2002-01-03,402.0,71248.66666666667,4227.35,1.7,4.0
2002-01-04,407.0,71550.0,4230.125,1.6,4.0
2002-01-05,412.0,71851.33333333333,4232.900000000001,1.2,4.0
2002-01-06,417.0,72152.66666666667,4235.675,1.1,4.0
2002-01-07,409.0,72454.0,4238.450000000001,1.4,4.0
2002-01-08,401.0,72755.33333333333,4241.225,1.3,4.0
2002-01-09,393.0,73056.66666666667,4244.0,1.2,4.0
2002-01-10,389.0,73358.0,4246.775000000001,1.5,4.0
2002-01-11,385.0,73659.33333333333,4249.55,1.6,4.0
2002-01-12,381.0,73960.66666666667,4252.325000000001,1.7,4.0
2003-01-01,366.6666666666667,74262.0,4255.1,1.4,3.9166666666666665
2003-01-02,352.3333333333333,74569.33333333333,4258.133333333333,1.6,3.8333333333333335
2003-01-03,338.0,74876.66666666667,4261.166666666667,1.6,3.75
2003-01-04,331.6666666666667,75184.0,4264.200000000001,1.5,3.75
2003-01-05,325.3333333333333,75491.33333333333,4267.233333333334,1.3,3.75
2003-01-06,319.0,75798.66666666667,4270.266666666666,1.2,3.75
2003-01-07,321.0,76106.0,4273.3,1.3,3.6666666666666665
2003-01-08,323.0,76413.33333333333,4276.333333333334,1.4,3.5833333333333335
2003-01-09,325.0,76720.66666666667,4279.366666666667,1.3,3.5
2003-01-10,333.6666666666667,77028.0,4282.4,1.3,3.5833333333333335
2003-01-11,342.3333333333333,77335.33333333333,4285.433333333333,1.3,3.6666666666666665
2003-01-12,351.0,77642.66666666667,4288.466666666667,1.3,3.75
2004-01-01,351.3333333333333,77950.0,4291.5,1.5,3.8333333333333335
2004-01-02,351.6666666666667,78290.25,4294.633333333333,1.4,3.9166666666666665
2004-01-03,352.0,78630.5,4297.766666666666,1.2,4.0
2004-01-04,357.6666666666667,78970.75,4300.9,1.1,4.083333333333333
2004-01-05,363.3333333333333,79311.0,4304.033333333334,1.4,4.166666666666667
