Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,662.3333333333334,66706.0830769231,5263.0,2.9,6.233333333333333
1996-01-02,670.6666666666666,67035.1994871795,5262.941666666667,3.0,6.086666666666667
1996-01-03,679.0,67364.31589743591,5262.883333333333,3.0,5.94
1996-01-04,672.0,67693.43230769232,5262.825,2.8,5.856666666666667
1996-01-05,665.0,68022.54871794872,5262.766666666666,2.8,5.773333333333333
1996-01-06,658.0,68351.66512820513,5262.708333333333,2.8,5.69
1996-01-07,661.0,68680.78153846154,5262.65,2.7,5.69
1996-01-08,664.0,69009.89794871796,5262.591666666667,2.7,5.69
1996-01-09,667.0,69339.01435897437,5262.533333333334,2.7,5.69
1996-01-10,670.6666666666666,69668.13076923077,5262.475,3.0,5.773333333333333
1996-01-11,674.3333333333334,69997.24717948718,5262.416666666667,3.1,5.856666666666667
1996-01-12,678.0,70326.36358974359,5262.358333333334,2.8,5.94
1997-01-01,683.6666666666666,70655.48,5262.3,2.6,5.94
1997-01-02,689.3333333333334,71343.35666666666,5263.058333333333,2.4,5.94
1997-01-03,695.0,72031.23333333334,5263.816666666667,2.2,5.94
1997-01-04,697.6666666666666,72719.11,5264.575,2.1,6.043333333333334
1997-01-05,700.3333333333334,73406.98666666666,5265.333333333333,2.1,6.1466666666666665
1997-01-06,703.0,74094.86333333333,5266.091666666666,2.1,6.25
1997-01-07,705.0,74782.73999999999,5266.85,2.4,6.416666666666667
1997-01-08,707.0,75470.61666666667,5267.608333333334,2.3,6.583333333333333
1997-01-09,709.0,76158.49333333333,5268.366666666667,2.2,6.75
1997-01-10,711.3333333333334,76846.37,5269.125,2.2,6.916666666666667
1997-01-11,713.6666666666666,77534.24666666667,5269.883333333333,2.1,7.083333333333333
1997-01-12,716.0,78222.12333333334,5270.641666666666,1.9,7.25
1998-01-01,707.6666666666666,78910.0,5271.4,1.8,7.25
1998-01-02,699.3333333333334,79141.08333333333,5271.45,1.8,7.25
1998-01-03,691.0,79372.16666666667,5271.5,1.9,7.25
1998-01-04,691.0,79603.25,5271.549999999999,2.1,7.333333333333333
1998-01-05,691.0,79834.33333333333,5271.599999999999,2.2,7.416666666666667
1998-01-06,691.0,80065.41666666667,5271.65,1.9,7.5
1998-01-07,691.6666666666666,80296.5,5271.7,1.7,7.5
1998-01-08,692.3333333333334,80527.58333333333,5271.75,1.6,7.5
1998-01-09,693.0,80758.66666666667,5271.8,1.7,7.5
1998-01-10,700.0,80989.75,5271.85,1.6,7.083333333333333
1998-01-11,707.0,81220.83333333333,5271.9,1.7,6.666666666666667
1998-01-12,714.0,81451.91666666667,5271.95,1.9,6.25
1999-01-01,723.6666666666666,81683.0,5272.0,2.0,6.0
1999-01-02,733.3333333333334,81894.0,5271.8,1.9,5.75
1999-01-03,743.0,82105.0,5271.6,2.1,5.5
1999-01-04,753.3333333333334,82316.0,5271.4,2.0,5.333333333333333
1999-01-05,763.6666666666666,82527.0,5271.2,1.7,5.166666666666667
1999-01-06,774.0,82738.0,5271.0,1.8,5.0
1999-01-07,788.3333333333334,82949.0,5270.8,1.7,5.083333333333333
1999-01-08,802.6666666666666,83160.0,5270.6,1.6,5.166666666666667
1999-01-09,817.0,83371.0,5270.400000000001,1.6,5.25
1999-01-10,820.0,83582.0,5270.200000000001,1.5,5.333333333333333
1999-01-11,823.0,83793.0,5270.0,1.5,5.416666666666667
1999-01-12,826.0,84004.0,5269.8,1.5,5.5
2000-01-01,830.3333333333334,84215.0,5269.6,1.2,5.583333333333333
2000-01-02,834.6666666666666,84462.33333333333,5270.525000000001,1.2,5.666666666666667
2000-01-03,839.0,84709.66666666667,5271.450000000001,1.0,5.75
