Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1566.6666666666667,66706.0830769231,5263.0,2.9,6.233333333333333
1996-01-02,1559.3333333333333,67035.1994871795,5262.941666666667,3.0,6.086666666666667
1996-01-03,1552.0,67364.31589743591,5262.883333333333,3.0,5.94
1996-01-04,1552.6666666666667,67693.43230769232,5262.825,2.8,5.856666666666667
1996-01-05,1553.3333333333333,68022.54871794872,5262.766666666666,2.8,5.773333333333333
1996-01-06,1554.0,68351.66512820513,5262.708333333333,2.8,5.69
1996-01-07,1583.6666666666667,68680.78153846154,5262.65,2.7,5.69
1996-01-08,1613.3333333333333,69009.89794871796,5262.591666666667,2.7,5.69
1996-01-09,1643.0,69339.01435897437,5262.533333333334,2.7,5.69
1996-01-10,1648.6666666666667,69668.13076923077,5262.475,3.0,5.773333333333333
1996-01-11,1654.3333333333333,69997.24717948718,5262.416666666667,3.1,5.856666666666667
1996-01-12,1660.0,70326.36358974359,5262.358333333334,2.8,5.94
1997-01-01,1676.3333333333333,70655.48,5262.3,2.6,5.94
1997-01-02,1692.6666666666667,71343.35666666666,5263.058333333333,2.4,5.94
1997-01-03,1709.0,72031.23333333334,5263.816666666667,2.2,5.94
1997-01-04,1730.0,72719.11,5264.575,2.1,6.043333333333334
1997-01-05,1751.0,73406.98666666666,5265.333333333333,2.1,6.1466666666666665
1997-01-06,1772.0,74094.86333333333,5266.091666666666,2.1,6.25
1997-01-07,1790.0,74782.73999999999,5266.85,2.4,6.416666666666667
1997-01-08,1808.0,75470.61666666667,5267.608333333334,2.3,6.583333333333333
1997-01-09,1826.0,76158.49333333333,5268.366666666667,2.2,6.75
1997-01-10,1833.0,76846.37,5269.125,2.2,6.916666666666667
1997-01-11,1840.0,77534.24666666667,5269.883333333333,2.1,7.083333333333333
1997-01-12,1847.0,78222.12333333334,5270.641666666666,1.9,7.25
1998-01-01,1829.0,78910.0,5271.4,1.8,7.25
1998-01-02,1811.0,79141.08333333333,5271.45,1.8,7.25
