Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,418.6666666666667,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,424.3333333333333,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,430.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,438.6666666666667,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,447.3333333333333,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,456.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,463.6666666666667,31125.627692307702,2572.3,2.7,5.69
1996-01-08,471.3333333333333,31246.72974358975,2571.6,2.7,5.69
1996-01-09,479.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,487.6666666666667,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,496.3333333333333,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,505.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,501.6666666666667,31852.24,2568.1,2.6,5.94
1997-01-02,498.3333333333333,31917.553333333333,2567.5,2.4,5.94
1997-01-03,495.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,495.6666666666667,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,496.3333333333333,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,497.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,506.3333333333333,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,515.6666666666666,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,525.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,528.3333333333334,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,531.6666666666666,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,535.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,534.3333333333334,32636.0,2560.9,1.8,7.25
1998-01-02,533.6666666666666,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,533.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,548.6666666666666,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,564.3333333333334,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,580.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,583.0,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,586.0,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,589.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,592.3333333333334,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,595.6666666666666,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,599.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,606.6666666666666,33336.0,2550.3,2.0,6.0
1999-01-02,614.3333333333334,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,622.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,617.6666666666666,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,613.3333333333334,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,609.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,603.0,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,597.0,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,591.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,598.0,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,605.0,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,612.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,613.6666666666666,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,615.3333333333334,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,617.0,34649.5,2542.85,1.0,5.75
2000-01-04,618.3333333333334,34774.25,2542.575,0.9,5.75
2000-01-05,619.6666666666666,34899.0,2542.3,1.0,5.75
2000-01-06,621.0,35023.75,2542.025,1.2,5.75
2000-01-07,632.6666666666666,35148.5,2541.75,1.2,5.75
2000-01-08,644.3333333333334,35273.25,2541.475,1.0,5.75
2000-01-09,656.0,35398.0,2541.2,1.3,5.75
2000-01-10,655.0,35522.75,2540.925,1.4,5.75
2000-01-11,654.0,35647.5,2540.65,1.5,5.75
2000-01-12,653.0,35772.25,2540.375,1.2,5.75
2001-01-01,648.0,35897.0,2540.1,1.2,5.75
2001-01-02,643.0,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,638.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,644.6666666666666,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,651.3333333333334,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,658.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,652.0,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,646.0,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,640.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,635.0,37616.0,2540.475,1.6,4.5
2001-01-11,630.0,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,625.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,642.6666666666666,38189.0,2540.6,1.8,4.0
2002-01-02,660.3333333333334,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,678.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,681.6666666666666,38718.5,2540.575,1.6,4.0
2002-01-05,685.3333333333334,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,689.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,714.0,39248.0,2540.55,1.4,4.0
2002-01-08,739.0,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,764.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,798.3333333333334,39777.5,2540.525,1.5,4.0
2002-01-11,832.6666666666666,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,867.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,887.3333333333334,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,907.6666666666666,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,928.0,40838.0,2540.5,1.6,3.75
2003-01-04,963.6666666666666,41103.5,2540.5,1.5,3.75
2003-01-05,999.3333333333334,41369.0,2540.5,1.3,3.75
2003-01-06,1035.0,41634.5,2540.5,1.2,3.75
2003-01-07,1082.3333333333333,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,1129.6666666666667,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,1177.0,42431.0,2540.5,1.3,3.5
2003-01-10,1227.6666666666667,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,1278.3333333333333,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,1329.0,43227.5,2540.5,1.3,3.75
2004-01-01,1337.0,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,1345.0,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,1353.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,1381.0,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,1409.0,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,1437.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,1432.0,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,1427.0,44634.583333333336,2544.35,1.4,4.583333333333333
