Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,44.666666666666664,66706.0830769231,5263.0,2.9,6.233333333333333
1996-01-02,43.333333333333336,67035.1994871795,5262.941666666667,3.0,6.086666666666667
1996-01-03,42.0,67364.31589743591,5262.883333333333,3.0,5.94
1996-01-04,42.0,67693.43230769232,5262.825,2.8,5.856666666666667
1996-01-05,42.0,68022.54871794872,5262.766666666666,2.8,5.773333333333333
1996-01-06,42.0,68351.66512820513,5262.708333333333,2.8,5.69
1996-01-07,43.666666666666664,68680.78153846154,5262.65,2.7,5.69
1996-01-08,45.333333333333336,69009.89794871796,5262.591666666667,2.7,5.69
1996-01-09,47.0,69339.01435897437,5262.533333333334,2.7,5.69
1996-01-10,47.333333333333336,69668.13076923077,5262.475,3.0,5.773333333333333
1996-01-11,47.666666666666664,69997.24717948718,5262.416666666667,3.1,5.856666666666667
1996-01-12,48.0,70326.36358974359,5262.358333333334,2.8,5.94
1997-01-01,50.333333333333336,70655.48,5262.3,2.6,5.94
1997-01-02,52.666666666666664,71343.35666666666,5263.058333333333,2.4,5.94
1997-01-03,55.0,72031.23333333334,5263.816666666667,2.2,5.94
1997-01-04,53.0,72719.11,5264.575,2.1,6.043333333333334
1997-01-05,51.0,73406.98666666666,5265.333333333333,2.1,6.1466666666666665
1997-01-06,49.0,74094.86333333333,5266.091666666666,2.1,6.25
1997-01-07,52.333333333333336,74782.73999999999,5266.85,2.4,6.416666666666667
1997-01-08,55.666666666666664,75470.61666666667,5267.608333333334,2.3,6.583333333333333
1997-01-09,59.0,76158.49333333333,5268.366666666667,2.2,6.75
1997-01-10,62.333333333333336,76846.37,5269.125,2.2,6.916666666666667
1997-01-11,65.66666666666667,77534.24666666667,5269.883333333333,2.1,7.083333333333333
1997-01-12,69.0,78222.12333333334,5270.641666666666,1.9,7.25
1998-01-01,69.0,78910.0,5271.4,1.8,7.25
1998-01-02,69.0,79141.08333333333,5271.45,1.8,7.25
1998-01-03,69.0,79372.16666666667,5271.5,1.9,7.25
1998-01-04,70.0,79603.25,5271.549999999999,2.1,7.333333333333333
1998-01-05,71.0,79834.33333333333,5271.599999999999,2.2,7.416666666666667
1998-01-06,72.0,80065.41666666667,5271.65,1.9,7.5
1998-01-07,73.0,80296.5,5271.7,1.7,7.5
1998-01-08,74.0,80527.58333333333,5271.75,1.6,7.5
1998-01-09,75.0,80758.66666666667,5271.8,1.7,7.5
1998-01-10,73.66666666666667,80989.75,5271.85,1.6,7.083333333333333
1998-01-11,72.33333333333333,81220.83333333333,5271.9,1.7,6.666666666666667
1998-01-12,71.0,81451.91666666667,5271.95,1.9,6.25
1999-01-01,69.33333333333333,81683.0,5272.0,2.0,6.0
1999-01-02,67.66666666666667,81894.0,5271.8,1.9,5.75
1999-01-03,66.0,82105.0,5271.6,2.1,5.5
1999-01-04,63.666666666666664,82316.0,5271.4,2.0,5.333333333333333
1999-01-05,61.333333333333336,82527.0,5271.2,1.7,5.166666666666667
1999-01-06,59.0,82738.0,5271.0,1.8,5.0
1999-01-07,59.333333333333336,82949.0,5270.8,1.7,5.083333333333333
1999-01-08,59.666666666666664,83160.0,5270.6,1.6,5.166666666666667
1999-01-09,60.0,83371.0,5270.400000000001,1.6,5.25
1999-01-10,59.333333333333336,83582.0,5270.200000000001,1.5,5.333333333333333
1999-01-11,58.666666666666664,83793.0,5270.0,1.5,5.416666666666667
1999-01-12,58.0,84004.0,5269.8,1.5,5.5
2000-01-01,62.0,84215.0,5269.6,1.2,5.583333333333333
2000-01-02,66.0,84462.33333333333,5270.525000000001,1.2,5.666666666666667
2000-01-03,70.0,84709.66666666667,5271.450000000001,1.0,5.75
2000-01-04,71.0,84957.0,5272.375,0.9,5.75
2000-01-05,72.0,85204.33333333333,5273.3,1.0,5.75
2000-01-06,73.0,85451.66666666667,5274.225,1.2,5.75
2000-01-07,71.33333333333333,85699.0,5275.15,1.2,5.75
2000-01-08,69.66666666666667,85946.33333333333,5276.075,1.0,5.75
2000-01-09,68.0,86193.66666666667,5277.0,1.3,5.75
2000-01-10,68.33333333333333,86441.0,5277.925,1.4,5.75
2000-01-11,68.66666666666667,86688.33333333333,5278.85,1.5,5.75
2000-01-12,69.0,86935.66666666667,5279.775,1.2,5.75
2001-01-01,65.0,87183.0,5280.7,1.2,5.75
2001-01-02,61.0,87446.58333333333,5282.408333333333,1.2,5.75
2001-01-03,57.0,87710.16666666667,5284.116666666667,1.3,5.75
