Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,218.33333333333334,64410.8307692308,4793.1,2.9,6.233333333333333
1996-01-02,214.66666666666666,64771.45320512824,4795.950000000001,3.0,6.086666666666667
1996-01-03,211.0,65132.075641025665,4798.8,3.0,5.94
1996-01-04,206.33333333333334,65492.6980769231,4801.650000000001,2.8,5.856666666666667
1996-01-05,201.66666666666666,65853.32051282053,4804.5,2.8,5.773333333333333
1996-01-06,197.0,66213.94294871797,4807.35,2.8,5.69
1996-01-07,202.0,66574.5653846154,4810.200000000001,2.7,5.69
1996-01-08,207.0,66935.18782051283,4813.05,2.7,5.69
1996-01-09,212.0,67295.81025641027,4815.900000000001,2.7,5.69
1996-01-10,220.0,67656.4326923077,4818.75,3.0,5.773333333333333
1996-01-11,228.0,68017.05512820513,4821.6,3.1,5.856666666666667
1996-01-12,236.0,68377.67756410257,4824.45,2.8,5.94
1997-01-01,238.66666666666666,68738.3,4827.3,2.6,5.94
1997-01-02,241.33333333333334,69236.10833333334,4829.150000000001,2.4,5.94
1997-01-03,244.0,69733.91666666667,4831.0,2.2,5.94
1997-01-04,255.33333333333334,70231.725,4832.85,2.1,6.043333333333334
1997-01-05,266.6666666666667,70729.53333333334,4834.7,2.1,6.1466666666666665
1997-01-06,278.0,71227.34166666667,4836.55,2.1,6.25
1997-01-07,285.0,71725.15,4838.4,2.4,6.416666666666667
1997-01-08,292.0,72222.95833333333,4840.25,2.3,6.583333333333333
1997-01-09,299.0,72720.76666666666,4842.1,2.2,6.75
1997-01-10,297.6666666666667,73218.575,4843.95,2.2,6.916666666666667
1997-01-11,296.3333333333333,73716.38333333333,4845.8,2.1,7.083333333333333
1997-01-12,295.0,74214.19166666667,4847.65,1.9,7.25
1998-01-01,295.3333333333333,74712.0,4849.5,1.8,7.25
1998-01-02,295.6666666666667,75033.33333333333,4852.125,1.8,7.25
1998-01-03,296.0,75354.66666666667,4854.75,1.9,7.25
1998-01-04,291.3333333333333,75676.0,4857.375,2.1,7.333333333333333
1998-01-05,286.6666666666667,75997.33333333333,4860.0,2.2,7.416666666666667
1998-01-06,282.0,76318.66666666667,4862.625,1.9,7.5
1998-01-07,282.3333333333333,76640.0,4865.25,1.7,7.5
1998-01-08,282.6666666666667,76961.33333333333,4867.875,1.6,7.5
1998-01-09,283.0,77282.66666666667,4870.5,1.7,7.5
1998-01-10,285.6666666666667,77604.0,4873.125,1.6,7.083333333333333
1998-01-11,288.3333333333333,77925.33333333333,4875.75,1.7,6.666666666666667
1998-01-12,291.0,78246.66666666667,4878.375,1.9,6.25
1999-01-01,291.0,78568.0,4881.0,2.0,6.0
1999-01-02,291.0,78876.25,4884.008333333333,1.9,5.75
1999-01-03,291.0,79184.5,4887.016666666666,2.1,5.5
1999-01-04,292.3333333333333,79492.75,4890.025,2.0,5.333333333333333
1999-01-05,293.6666666666667,79801.0,4893.033333333334,1.7,5.166666666666667
1999-01-06,295.0,80109.25,4896.041666666667,1.8,5.0
1999-01-07,295.3333333333333,80417.5,4899.05,1.7,5.083333333333333
1999-01-08,295.6666666666667,80725.75,4902.058333333333,1.6,5.166666666666667
1999-01-09,296.0,81034.0,4905.066666666667,1.6,5.25
