Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,908.6666666666666,51443.1261538461,4108.1,2.9,6.233333333333333
1996-01-02,916.3333333333334,51717.327307692256,4109.116666666667,3.0,6.086666666666667
1996-01-03,924.0,51991.528461538415,4110.133333333333,3.0,5.94
1996-01-04,934.6666666666666,52265.729615384575,4111.150000000001,2.8,5.856666666666667
1996-01-05,945.3333333333334,52539.930769230734,4112.166666666667,2.8,5.773333333333333
1996-01-06,956.0,52814.13192307689,4113.183333333333,2.8,5.69
1996-01-07,971.3333333333334,53088.33307692305,4114.200000000001,2.7,5.69
1996-01-08,986.6666666666666,53362.534230769204,4115.216666666667,2.7,5.69
1996-01-09,1002.0,53636.735384615364,4116.233333333334,2.7,5.69
1996-01-10,1022.3333333333334,53910.93653846152,4117.25,3.0,5.773333333333333
1996-01-11,1042.6666666666667,54185.13769230768,4118.266666666666,3.1,5.856666666666667
1996-01-12,1063.0,54459.33884615384,4119.283333333334,2.8,5.94
1997-01-01,1074.6666666666667,54733.54,4120.3,2.6,5.94
1997-01-02,1086.3333333333333,55242.16166666667,4121.325,2.4,5.94
1997-01-03,1098.0,55750.78333333333,4122.35,2.2,5.94
1997-01-04,1109.3333333333333,56259.405,4123.375,2.1,6.043333333333334
1997-01-05,1120.6666666666667,56768.026666666665,4124.400000000001,2.1,6.1466666666666665
1997-01-06,1132.0,57276.64833333333,4125.425,2.1,6.25
1997-01-07,1151.3333333333333,57785.270000000004,4126.450000000001,2.4,6.416666666666667
1997-01-08,1170.6666666666667,58293.89166666667,4127.475,2.3,6.583333333333333
1997-01-09,1190.0,58802.513333333336,4128.5,2.2,6.75
1997-01-10,1202.0,59311.135,4129.525000000001,2.2,6.916666666666667
1997-01-11,1214.0,59819.75666666667,4130.55,2.1,7.083333333333333
1997-01-12,1226.0,60328.378333333334,4131.575000000001,1.9,7.25
1998-01-01,1219.0,60837.0,4132.6,1.8,7.25
1998-01-02,1212.0,61002.583333333336,4134.25,1.8,7.25
1998-01-03,1205.0,61168.166666666664,4135.900000000001,1.9,7.25
1998-01-04,1204.0,61333.75,4137.55,2.1,7.333333333333333
1998-01-05,1203.0,61499.333333333336,4139.2,2.2,7.416666666666667
1998-01-06,1202.0,61664.916666666664,4140.85,1.9,7.5
1998-01-07,1215.3333333333333,61830.5,4142.5,1.7,7.5
1998-01-08,1228.6666666666667,61996.083333333336,4144.15,1.6,7.5
1998-01-09,1242.0,62161.666666666664,4145.8,1.7,7.5
1998-01-10,1236.3333333333333,62327.25,4147.45,1.6,7.083333333333333
1998-01-11,1230.6666666666667,62492.833333333336,4149.099999999999,1.7,6.666666666666667
1998-01-12,1225.0,62658.416666666664,4150.75,1.9,6.25
1999-01-01,1234.6666666666667,62824.0,4152.4,2.0,6.0
1999-01-02,1244.3333333333333,63023.5,4153.708333333333,1.9,5.75
1999-01-03,1254.0,63223.0,4155.016666666666,2.1,5.5
1999-01-04,1273.3333333333333,63422.5,4156.325,2.0,5.333333333333333
1999-01-05,1292.6666666666667,63622.0,4157.633333333333,1.7,5.166666666666667
1999-01-06,1312.0,63821.5,4158.941666666667,1.8,5.0
1999-01-07,1321.3333333333333,64021.0,4160.25,1.7,5.083333333333333
1999-01-08,1330.6666666666667,64220.5,4161.558333333333,1.6,5.166666666666667
1999-01-09,1340.0,64420.0,4162.866666666667,1.6,5.25
1999-01-10,1369.0,64619.5,4164.175,1.5,5.333333333333333
1999-01-11,1398.0,64819.0,4165.483333333334,1.5,5.416666666666667
1999-01-12,1427.0,65018.5,4166.791666666667,1.5,5.5
2000-01-01,1426.0,65218.0,4168.1,1.2,5.583333333333333
2000-01-02,1425.0,65436.333333333336,4169.891666666667,1.2,5.666666666666667
2000-01-03,1424.0,65654.66666666667,4171.683333333333,1.0,5.75
2000-01-04,1410.0,65873.0,4173.475,0.9,5.75
2000-01-05,1396.0,66091.33333333333,4175.266666666667,1.0,5.75
2000-01-06,1382.0,66309.66666666667,4177.058333333333,1.2,5.75
2000-01-07,1361.3333333333333,66528.0,4178.85,1.2,5.75
2000-01-08,1340.6666666666667,66746.33333333333,4180.641666666667,1.0,5.75
2000-01-09,1320.0,66964.66666666667,4182.433333333333,1.3,5.75
2000-01-10,1294.6666666666667,67183.0,4184.225,1.4,5.75
2000-01-11,1269.3333333333333,67401.33333333333,4186.016666666667,1.5,5.75
2000-01-12,1244.0,67619.66666666667,4187.808333333333,1.2,5.75
2001-01-01,1244.0,67838.0,4189.6,1.2,5.75
2001-01-02,1244.0,68072.0,4192.283333333334,1.2,5.75
2001-01-03,1244.0,68306.0,4194.966666666667,1.3,5.75
2001-01-04,1255.6666666666667,68540.0,4197.650000000001,1.5,5.583333333333333
2001-01-05,1267.3333333333333,68774.0,4200.333333333334,1.9,5.416666666666667
2001-01-06,1279.0,69008.0,4203.016666666667,1.9,5.25
2001-01-07,1312.0,69242.0,4205.700000000001,1.7,5.083333333333333
2001-01-08,1345.0,69476.0,4208.383333333333,2.1,4.916666666666667
2001-01-09,1378.0,69710.0,4211.066666666667,1.7,4.75
2001-01-10,1409.3333333333333,69944.0,4213.75,1.6,4.5
2001-01-11,1440.6666666666667,70178.0,4216.433333333333,1.2,4.25
2001-01-12,1472.0,70412.0,4219.116666666667,1.4,4.0
2002-01-01,1477.6666666666667,70646.0,4221.8,1.8,4.0
2002-01-02,1483.3333333333333,70947.33333333333,4224.575,1.7,4.0
2002-01-03,1489.0,71248.66666666667,4227.35,1.7,4.0
2002-01-04,1503.6666666666667,71550.0,4230.125,1.6,4.0
2002-01-05,1518.3333333333333,71851.33333333333,4232.900000000001,1.2,4.0
2002-01-06,1533.0,72152.66666666667,4235.675,1.1,4.0
2002-01-07,1524.6666666666667,72454.0,4238.450000000001,1.4,4.0
2002-01-08,1516.3333333333333,72755.33333333333,4241.225,1.3,4.0
2002-01-09,1508.0,73056.66666666667,4244.0,1.2,4.0
2002-01-10,1498.3333333333333,73358.0,4246.775000000001,1.5,4.0
2002-01-11,1488.6666666666667,73659.33333333333,4249.55,1.6,4.0
2002-01-12,1479.0,73960.66666666667,4252.325000000001,1.7,4.0
2003-01-01,1461.6666666666667,74262.0,4255.1,1.4,3.9166666666666665
2003-01-02,1444.3333333333333,74569.33333333333,4258.133333333333,1.6,3.8333333333333335
2003-01-03,1427.0,74876.66666666667,4261.166666666667,1.6,3.75
2003-01-04,1392.6666666666667,75184.0,4264.200000000001,1.5,3.75
2003-01-05,1358.3333333333333,75491.33333333333,4267.233333333334,1.3,3.75
2003-01-06,1324.0,75798.66666666667,4270.266666666666,1.2,3.75
2003-01-07,1312.6666666666667,76106.0,4273.3,1.3,3.6666666666666665
2003-01-08,1301.3333333333333,76413.33333333333,4276.333333333334,1.4,3.5833333333333335
2003-01-09,1290.0,76720.66666666667,4279.366666666667,1.3,3.5
2003-01-10,1286.6666666666667,77028.0,4282.4,1.3,3.5833333333333335
2003-01-11,1283.3333333333333,77335.33333333333,4285.433333333333,1.3,3.6666666666666665
2003-01-12,1280.0,77642.66666666667,4288.466666666667,1.3,3.75
2004-01-01,1295.0,77950.0,4291.5,1.5,3.8333333333333335
2004-01-02,1310.0,78290.25,4294.633333333333,1.4,3.9166666666666665
2004-01-03,1325.0,78630.5,4297.766666666666,1.2,4.0
2004-01-04,1363.0,78970.75,4300.9,1.1,4.083333333333333
2004-01-05,1401.0,79311.0,4304.033333333334,1.4,4.166666666666667
2004-01-06,1439.0,79651.25,4307.166666666667,1.5,4.25
2004-01-07,1421.6666666666667,79991.5,4310.3,1.4,4.416666666666667
2004-01-08,1404.3333333333333,80331.75,4313.433333333333,1.4,4.583333333333333
2004-01-09,1387.0,80672.0,4316.566666666667,1.2,4.75
2004-01-10,1351.6666666666667,81012.25,4319.700000000001,1.3,4.75
2004-01-11,1316.3333333333333,81352.5,4322.833333333334,1.5,4.75
2004-01-12,1281.0,81692.75,4325.966666666667,1.8,4.75
2005-01-01,1246.0,82033.0,4329.1,1.7,4.75
2005-01-02,1211.0,82405.0,4332.233333333334,1.7,4.75
2005-01-03,1176.0,82777.0,4335.366666666667,2.0,4.75
2005-01-04,1120.3333333333333,83149.0,4338.5,1.9,4.75
2005-01-05,1064.6666666666667,83521.0,4341.633333333333,1.9,4.75
2005-01-06,1009.0,83893.0,4344.766666666666,2.0,4.75
2005-01-07,993.0,84265.0,4347.9,2.3,4.666666666666667
2005-01-08,977.0,84637.0,4351.033333333334,2.4,4.583333333333333
2005-01-09,961.0,85009.0,4354.166666666667,2.5,4.5
2005-01-10,969.6666666666666,85381.0,4357.3,2.4,4.5
2005-01-11,978.3333333333334,85753.0,4360.433333333333,2.2,4.5
2005-01-12,987.0,86125.0,4363.566666666667,2.1,4.5
2006-01-01,1021.6666666666666,86497.0,4366.7,2.2,4.5
2006-01-02,1056.3333333333333,86806.5,4369.875,2.2,4.5
2006-01-03,1091.0,87116.0,4373.05,2.0,4.5
2006-01-04,1123.0,87425.5,4376.225,2.2,4.5
2006-01-05,1155.0,87735.0,4379.4,2.4,4.5
2006-01-06,1187.0,88044.5,4382.575,2.6,4.5
2006-01-07,1215.6666666666667,88354.0,4385.75,2.5,4.583333333333333
2006-01-08,1244.3333333333333,88663.5,4388.925,2.6,4.666666666666667
2006-01-09,1273.0,88973.0,4392.1,2.5,4.75
2006-01-10,1297.0,89282.5,4395.275,2.5,4.833333333333333
2006-01-11,1321.0,89592.0,4398.45,2.8,4.916666666666667
2006-01-12,1345.0,89901.5,4401.625,2.9,5.0
2007-01-01,1340.6666666666667,90211.0,4404.8,2.7,5.083333333333333
2007-01-02,1336.3333333333333,90477.91666666667,4407.825,2.7,5.166666666666667
2007-01-03,1332.0,90744.83333333333,4410.85,2.9,5.25
2007-01-04,1328.3333333333333,91011.75,4413.875,2.7,5.333333333333333
2007-01-05,1324.6666666666667,91278.66666666667,4416.900000000001,2.5,5.416666666666667
2007-01-06,1321.0,91545.58333333333,4419.925,2.5,5.5
2007-01-07,1310.0,91812.5,4422.950000000001,2.0,5.583333333333333
2007-01-08,1299.0,92079.41666666667,4425.975,2.0,5.666666666666667
2007-01-09,1288.0,92346.33333333333,4429.0,2.0,5.75
2007-01-10,1254.6666666666667,92613.25,4432.025000000001,2.3,5.666666666666667
2007-01-11,1221.3333333333333,92880.16666666667,4435.05,2.2,5.583333333333333
2007-01-12,1188.0,93147.08333333333,4438.075000000001,2.3,5.5
2008-01-01,1154.6666666666667,93414.0,4441.1,2.4,5.416666666666667
2008-01-02,1121.3333333333333,93149.08333333333,4443.650000000001,2.6,5.333333333333333
2008-01-03,1088.0,92884.16666666667,4446.200000000001,2.6,5.25
2008-01-04,1035.0,92619.25,4448.75,3.0,5.166666666666667
2008-01-05,982.0,92354.33333333333,4451.3,3.3,5.083333333333333
2008-01-06,929.0,92089.41666666667,4453.85,3.7,5.0
2008-01-07,864.3333333333334,91824.5,4456.4,4.2,5.0
