Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,4458.0,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,4471.0,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,4484.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,4559.333333333333,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,4634.666666666667,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,4710.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,4856.333333333333,76991.5653846154,5249.85,2.7,5.69
1996-01-08,5002.666666666667,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,5149.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,5347.0,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,5545.0,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,5743.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,5818.333333333333,79374.78,5266.9,2.6,5.94
1997-01-02,5893.666666666667,79949.54833333334,5269.825,2.4,5.94
1997-01-03,5969.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,6046.0,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,6123.0,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,6200.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,6254.666666666667,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,6309.333333333333,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,6364.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,6270.0,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,6176.0,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,6082.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,6042.0,86272.0,5302.0,1.8,7.25
1998-01-02,6002.0,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,5962.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,5885.0,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,5808.0,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,5731.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,5654.0,88164.5,5320.35,1.7,7.5
1998-01-08,5577.0,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,5500.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,5508.0,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,5516.0,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,5524.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,5519.0,90057.0,5338.7,2.0,6.0
1999-01-02,5514.0,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,5509.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,5607.0,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,5705.0,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,5803.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,5968.333333333333,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,6133.666666666667,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,6299.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,6378.666666666667,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,6458.333333333333,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,6538.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,6583.0,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,6628.0,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,6673.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,6583.333333333333,96091.25,5381.375,0.9,5.75
2000-01-05,6493.666666666667,96494.33333333333,5383.5,1.0,5.75
2000-01-06,6404.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,6203.333333333333,97300.5,5387.75,1.2,5.75
2000-01-08,6002.666666666667,97703.58333333333,5389.875,1.0,5.75
2000-01-09,5802.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,5648.333333333333,98509.75,5394.125,1.4,5.75
2000-01-11,5494.666666666667,98912.83333333333,5396.25,1.5,5.75
2000-01-12,5341.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,5309.0,99719.0,5400.5,1.2,5.75
2001-01-02,5277.0,100041.0,5403.183333333333,1.2,5.75
2001-01-03,5245.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,5347.333333333333,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,5449.666666666667,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,5552.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,5729.0,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,5906.0,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,6083.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,6223.666666666667,102617.0,5424.65,1.6,4.5
2001-01-11,6364.333333333333,102939.0,5427.333333333333,1.2,4.25
2001-01-12,6505.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,6575.333333333333,103583.0,5432.7,1.8,4.0
2002-01-02,6645.666666666667,104128.5,5436.15,1.7,4.0
2002-01-03,6716.0,104674.0,5439.6,1.7,4.0
2002-01-04,6771.333333333333,105219.5,5443.05,1.6,4.0
2002-01-05,6826.666666666667,105765.0,5446.5,1.2,4.0
2002-01-06,6882.0,106310.5,5449.95,1.1,4.0
2002-01-07,6880.666666666667,106856.0,5453.4,1.4,4.0
2002-01-08,6879.333333333333,107401.5,5456.85,1.3,4.0
2002-01-09,6878.0,107947.0,5460.3,1.2,4.0
2002-01-10,6858.666666666667,108492.5,5463.75,1.5,4.0
2002-01-11,6839.333333333333,109038.0,5467.200000000001,1.6,4.0
2002-01-12,6820.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,6733.0,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,6646.0,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,6559.0,110792.33333333333,5479.85,1.6,3.75
2003-01-04,6325.0,111124.0,5482.725,1.5,3.75
2003-01-05,6091.0,111455.66666666667,5485.6,1.3,3.75
2003-01-06,5857.0,111787.33333333333,5488.475,1.2,3.75
2003-01-07,5715.0,112119.0,5491.35,1.3,3.6666666666666665
2003-01-08,5573.0,112450.66666666667,5494.225,1.4,3.5833333333333335
2003-01-09,5431.0,112782.33333333333,5497.1,1.3,3.5
2003-01-10,5455.333333333333,113114.0,5499.975,1.3,3.5833333333333335
2003-01-11,5479.666666666667,113445.66666666667,5502.85,1.3,3.6666666666666665
2003-01-12,5504.0,113777.33333333333,5505.725,1.3,3.75
2004-01-01,5593.666666666667,114109.0,5508.6,1.5,3.8333333333333335
2004-01-02,5683.333333333333,114640.08333333333,5513.108333333334,1.4,3.9166666666666665
2004-01-03,5773.0,115171.16666666667,5517.616666666667,1.2,4.0
2004-01-04,5970.0,115702.25,5522.125,1.1,4.083333333333333
2004-01-05,6167.0,116233.33333333333,5526.633333333333,1.4,4.166666666666667
2004-01-06,6364.0,116764.41666666667,5531.141666666666,1.5,4.25
2004-01-07,6414.333333333333,117295.5,5535.65,1.4,4.416666666666667
2004-01-08,6464.666666666667,117826.58333333333,5540.158333333334,1.4,4.583333333333333
2004-01-09,6515.0,118357.66666666667,5544.666666666667,1.2,4.75
2004-01-10,6368.0,118888.75,5549.175,1.3,4.75
2004-01-11,6221.0,119419.83333333333,5553.683333333333,1.5,4.75
