Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,6299.666666666667,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,6306.333333333333,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,6313.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,6319.666666666667,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,6326.333333333333,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,6333.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,6430.333333333333,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,6527.666666666667,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,6625.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,6765.666666666667,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,6906.333333333333,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,7047.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,7107.0,66487.13,4957.6,2.6,5.94
1997-01-02,7167.0,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,7227.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,7310.666666666667,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,7394.333333333333,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,7478.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,7535.0,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,7592.0,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,7649.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,7663.0,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,7677.0,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,7691.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,7674.0,70468.0,4957.7,1.8,7.25
1998-01-02,7657.0,70680.25,4957.583333333333,1.8,7.25
1998-01-03,7640.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,7685.333333333333,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,7730.666666666667,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,7776.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,7767.0,71741.5,4957.0,1.7,7.5
1998-01-08,7758.0,71953.75,4956.883333333333,1.6,7.5
1998-01-09,7749.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,7791.333333333333,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,7833.666666666667,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,7876.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,7922.333333333333,73015.0,4956.3,2.0,6.0
1999-01-02,7968.666666666667,73229.75,4956.491666666667,1.9,5.75
1999-01-03,8015.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,8045.666666666667,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,8076.333333333333,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,8107.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,8234.333333333334,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,8361.666666666666,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,8489.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,8572.666666666666,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,8656.333333333334,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,8740.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,8793.333333333334,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,8846.666666666666,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,8900.0,76173.0,4961.6,1.0,5.75
2000-01-04,8951.666666666666,76463.5,4963.1,0.9,5.75
2000-01-05,9003.333333333334,76754.0,4964.6,1.0,5.75
2000-01-06,9055.0,77044.5,4966.1,1.2,5.75
2000-01-07,9017.333333333334,77335.0,4967.6,1.2,5.75
2000-01-08,8979.666666666666,77625.5,4969.1,1.0,5.75
2000-01-09,8942.0,77916.0,4970.6,1.3,5.75
2000-01-10,8877.666666666666,78206.5,4972.1,1.4,5.75
2000-01-11,8813.333333333334,78497.0,4973.6,1.5,5.75
2000-01-12,8749.0,78787.5,4975.1,1.2,5.75
2001-01-01,8725.0,79078.0,4976.6,1.2,5.75
2001-01-02,8701.0,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,8677.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,8712.666666666666,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,8748.333333333334,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,8784.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,8915.666666666666,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,9047.333333333334,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,9179.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,9308.333333333334,82290.25,4994.225,1.6,4.5
2001-01-11,9437.666666666666,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,9567.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,9723.333333333334,83361.0,5000.1,1.8,4.0
2002-01-02,9879.666666666666,83829.0,5002.283333333334,1.7,4.0
2002-01-03,10036.0,84297.0,5004.466666666667,1.7,4.0
2002-01-04,10125.333333333334,84765.0,5006.650000000001,1.6,4.0
2002-01-05,10214.666666666666,85233.0,5008.833333333334,1.2,4.0
2002-01-06,10304.0,85701.0,5011.016666666667,1.1,4.0
2002-01-07,10274.666666666666,86169.0,5013.200000000001,1.4,4.0
2002-01-08,10245.333333333334,86637.0,5015.383333333333,1.3,4.0
2002-01-09,10216.0,87105.0,5017.566666666667,1.2,4.0
2002-01-10,10194.0,87573.0,5019.75,1.5,4.0
2002-01-11,10172.0,88041.0,5021.933333333333,1.6,4.0
2002-01-12,10150.0,88509.0,5024.116666666667,1.7,4.0
2003-01-01,10102.333333333334,88977.0,5026.3,1.4,3.9166666666666665
2003-01-02,10054.666666666666,89413.83333333333,5029.375,1.6,3.8333333333333335
2003-01-03,10007.0,89850.66666666667,5032.45,1.6,3.75
2003-01-04,9914.333333333334,90287.5,5035.525,1.5,3.75
2003-01-05,9821.666666666666,90724.33333333333,5038.6,1.3,3.75
