Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,30289.333333333332,66706.0830769231,5263.0,2.9,6.233333333333333
1996-01-02,30373.666666666668,67035.1994871795,5262.941666666667,3.0,6.086666666666667
1996-01-03,30458.0,67364.31589743591,5262.883333333333,3.0,5.94
1996-01-04,30760.666666666668,67693.43230769232,5262.825,2.8,5.856666666666667
1996-01-05,31063.333333333332,68022.54871794872,5262.766666666666,2.8,5.773333333333333
1996-01-06,31366.0,68351.66512820513,5262.708333333333,2.8,5.69
1996-01-07,31962.333333333332,68680.78153846154,5262.65,2.7,5.69
1996-01-08,32558.666666666668,69009.89794871796,5262.591666666667,2.7,5.69
1996-01-09,33155.0,69339.01435897437,5262.533333333334,2.7,5.69
1996-01-10,33999.0,69668.13076923077,5262.475,3.0,5.773333333333333
1996-01-11,34843.0,69997.24717948718,5262.416666666667,3.1,5.856666666666667
1996-01-12,35687.0,70326.36358974359,5262.358333333334,2.8,5.94
1997-01-01,36157.666666666664,70655.48,5262.3,2.6,5.94
1997-01-02,36628.333333333336,71343.35666666666,5263.058333333333,2.4,5.94
1997-01-03,37099.0,72031.23333333334,5263.816666666667,2.2,5.94
1997-01-04,37562.0,72719.11,5264.575,2.1,6.043333333333334
1997-01-05,38025.0,73406.98666666666,5265.333333333333,2.1,6.1466666666666665
1997-01-06,38488.0,74094.86333333333,5266.091666666666,2.1,6.25
1997-01-07,38791.666666666664,74782.73999999999,5266.85,2.4,6.416666666666667
1997-01-08,39095.333333333336,75470.61666666667,5267.608333333334,2.3,6.583333333333333
1997-01-09,39399.0,76158.49333333333,5268.366666666667,2.2,6.75
1997-01-10,39399.0,76846.37,5269.125,2.2,6.916666666666667
1997-01-11,39399.0,77534.24666666667,5269.883333333333,2.1,7.083333333333333
1997-01-12,39399.0,78222.12333333334,5270.641666666666,1.9,7.25
1998-01-01,39248.0,78910.0,5271.4,1.8,7.25
1998-01-02,39097.0,79141.08333333333,5271.45,1.8,7.25
1998-01-03,38946.0,79372.16666666667,5271.5,1.9,7.25
1998-01-04,38771.0,79603.25,5271.549999999999,2.1,7.333333333333333
1998-01-05,38596.0,79834.33333333333,5271.599999999999,2.2,7.416666666666667
1998-01-06,38421.0,80065.41666666667,5271.65,1.9,7.5
1998-01-07,38339.666666666664,80296.5,5271.7,1.7,7.5
1998-01-08,38258.333333333336,80527.58333333333,5271.75,1.6,7.5
1998-01-09,38177.0,80758.66666666667,5271.8,1.7,7.5
1998-01-10,38184.666666666664,80989.75,5271.85,1.6,7.083333333333333
1998-01-11,38192.333333333336,81220.83333333333,5271.9,1.7,6.666666666666667
1998-01-12,38200.0,81451.91666666667,5271.95,1.9,6.25
1999-01-01,38344.666666666664,81683.0,5272.0,2.0,6.0
1999-01-02,38489.333333333336,81894.0,5271.8,1.9,5.75
1999-01-03,38634.0,82105.0,5271.6,2.1,5.5
1999-01-04,38907.0,82316.0,5271.4,2.0,5.333333333333333
1999-01-05,39180.0,82527.0,5271.2,1.7,5.166666666666667
1999-01-06,39453.0,82738.0,5271.0,1.8,5.0
1999-01-07,40017.666666666664,82949.0,5270.8,1.7,5.083333333333333
1999-01-08,40582.333333333336,83160.0,5270.6,1.6,5.166666666666667
1999-01-09,41147.0,83371.0,5270.400000000001,1.6,5.25
1999-01-10,41793.333333333336,83582.0,5270.200000000001,1.5,5.333333333333333
1999-01-11,42439.666666666664,83793.0,5270.0,1.5,5.416666666666667
1999-01-12,43086.0,84004.0,5269.8,1.5,5.5
2000-01-01,43620.0,84215.0,5269.6,1.2,5.583333333333333
2000-01-02,44154.0,84462.33333333333,5270.525000000001,1.2,5.666666666666667
2000-01-03,44688.0,84709.66666666667,5271.450000000001,1.0,5.75
2000-01-04,45050.666666666664,84957.0,5272.375,0.9,5.75
2000-01-05,45413.333333333336,85204.33333333333,5273.3,1.0,5.75
2000-01-06,45776.0,85451.66666666667,5274.225,1.2,5.75
2000-01-07,45655.666666666664,85699.0,5275.15,1.2,5.75
2000-01-08,45535.333333333336,85946.33333333333,5276.075,1.0,5.75
2000-01-09,45415.0,86193.66666666667,5277.0,1.3,5.75
2000-01-10,44915.333333333336,86441.0,5277.925,1.4,5.75
2000-01-11,44415.666666666664,86688.33333333333,5278.85,1.5,5.75
2000-01-12,43916.0,86935.66666666667,5279.775,1.2,5.75
2001-01-01,43712.0,87183.0,5280.7,1.2,5.75
2001-01-02,43508.0,87446.58333333333,5282.408333333333,1.2,5.75
2001-01-03,43304.0,87710.16666666667,5284.116666666667,1.3,5.75
2001-01-04,43481.333333333336,87973.75,5285.825,1.5,5.583333333333333
2001-01-05,43658.666666666664,88237.33333333333,5287.533333333333,1.9,5.416666666666667
2001-01-06,43836.0,88500.91666666667,5289.241666666667,1.9,5.25
2001-01-07,44297.0,88764.5,5290.95,1.7,5.083333333333333
2001-01-08,44758.0,89028.08333333333,5292.658333333333,2.1,4.916666666666667
2001-01-09,45219.0,89291.66666666667,5294.366666666667,1.7,4.75
2001-01-10,45942.333333333336,89555.25,5296.075,1.6,4.5
2001-01-11,46665.666666666664,89818.83333333333,5297.783333333333,1.2,4.25
2001-01-12,47389.0,90082.41666666667,5299.491666666667,1.4,4.0
2002-01-01,47926.333333333336,90346.0,5301.2,1.8,4.0
2002-01-02,48463.666666666664,90726.25,5303.224999999999,1.7,4.0
2002-01-03,49001.0,91106.5,5305.25,1.7,4.0
2002-01-04,49446.333333333336,91486.75,5307.275,1.6,4.0
2002-01-05,49891.666666666664,91867.0,5309.3,1.2,4.0
2002-01-06,50337.0,92247.25,5311.325,1.1,4.0
2002-01-07,50755.0,92627.5,5313.35,1.4,4.0
2002-01-08,51173.0,93007.75,5315.375,1.3,4.0
2002-01-09,51591.0,93388.0,5317.4,1.2,4.0
2002-01-10,51750.0,93768.25,5319.425,1.5,4.0
2002-01-11,51909.0,94148.5,5321.45,1.6,4.0
2002-01-12,52068.0,94528.75,5323.475,1.7,4.0
2003-01-01,51833.0,94909.0,5325.5,1.4,3.9166666666666665
2003-01-02,51598.0,95303.33333333333,5327.241666666667,1.6,3.8333333333333335
2003-01-03,51363.0,95697.66666666667,5328.983333333334,1.6,3.75
2003-01-04,50801.666666666664,96092.0,5330.725,1.5,3.75
2003-01-05,50240.333333333336,96486.33333333333,5332.466666666666,1.3,3.75
2003-01-06,49679.0,96880.66666666667,5334.208333333333,1.2,3.75
2003-01-07,49141.666666666664,97275.0,5335.95,1.3,3.6666666666666665
2003-01-08,48604.333333333336,97669.33333333333,5337.691666666667,1.4,3.5833333333333335
2003-01-09,48067.0,98063.66666666667,5339.433333333333,1.3,3.5
2003-01-10,48282.666666666664,98458.0,5341.174999999999,1.3,3.5833333333333335
2003-01-11,48498.333333333336,98852.33333333333,5342.916666666666,1.3,3.6666666666666665
2003-01-12,48714.0,99246.66666666667,5344.658333333333,1.3,3.75
