Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,10497.666666666666,750935.8907692307,51410.4,2.9,6.233333333333333
1996-01-02,10459.333333333334,755253.7257051282,51422.833333333336,3.0,6.086666666666667
1996-01-03,10421.0,759571.5606410255,51435.26666666667,3.0,5.94
1996-01-04,10458.333333333334,763889.395576923,51447.7,2.8,5.856666666666667
1996-01-05,10495.666666666666,768207.2305128204,51460.13333333333,2.8,5.773333333333333
1996-01-06,10533.0,772525.0654487179,51472.566666666666,2.8,5.69
1996-01-07,10680.333333333334,776842.9003846154,51485.0,2.7,5.69
1996-01-08,10827.666666666666,781160.7353205128,51497.433333333334,2.7,5.69
1996-01-09,10975.0,785478.5702564103,51509.86666666667,2.7,5.69
1996-01-10,11303.666666666666,789796.4051923077,51522.3,3.0,5.773333333333333
1996-01-11,11632.333333333334,794114.2401282052,51534.73333333333,3.1,5.856666666666667
1996-01-12,11961.0,798432.0750641025,51547.166666666664,2.8,5.94
1997-01-01,12109.666666666666,802749.91,51559.6,2.6,5.94
1997-01-02,12258.333333333334,809695.7508333334,51572.975,2.4,5.94
1997-01-03,12407.0,816641.5916666667,51586.35,2.2,5.94
1997-01-04,12553.666666666666,823587.4325,51599.725,2.1,6.043333333333334
1997-01-05,12700.333333333334,830533.2733333333,51613.1,2.1,6.1466666666666665
1997-01-06,12847.0,837479.1141666666,51626.475,2.1,6.25
1997-01-07,13007.666666666666,844424.9550000001,51639.85,2.4,6.416666666666667
1997-01-08,13168.333333333334,851370.7958333334,51653.225,2.3,6.583333333333333
1997-01-09,13329.0,858316.6366666667,51666.6,2.2,6.75
1997-01-10,13312.333333333334,865262.4775,51679.975,2.2,6.916666666666667
1997-01-11,13295.666666666666,872208.3183333334,51693.35,2.1,7.083333333333333
1997-01-12,13279.0,879154.1591666667,51706.725,1.9,7.25
1998-01-01,13230.0,886100.0,51720.1,1.8,7.25
1998-01-02,13181.0,889454.6666666666,51737.88333333333,1.8,7.25
1998-01-03,13132.0,892809.3333333334,51755.666666666664,1.9,7.25
1998-01-04,13146.333333333334,896164.0,51773.45,2.1,7.333333333333333
1998-01-05,13160.666666666666,899518.6666666666,51791.23333333333,2.2,7.416666666666667
1998-01-06,13175.0,902873.3333333334,51809.01666666666,1.9,7.5
1998-01-07,13169.666666666666,906228.0,51826.8,1.7,7.5
1998-01-08,13164.333333333334,909582.6666666666,51844.583333333336,1.6,7.5
1998-01-09,13159.0,912937.3333333334,51862.36666666667,1.7,7.5
1998-01-10,13127.666666666666,916292.0,51880.15,1.6,7.083333333333333
1998-01-11,13096.333333333334,919646.6666666666,51897.933333333334,1.7,6.666666666666667
1998-01-12,13065.0,923001.3333333334,51915.71666666667,1.9,6.25
1999-01-01,13103.0,926356.0,51933.5,2.0,6.0
1999-01-02,13141.0,930159.9166666666,51950.725,1.9,5.75
1999-01-03,13179.0,933963.8333333334,51967.95,2.1,5.5
1999-01-04,13329.666666666666,937767.75,51985.175,2.0,5.333333333333333
1999-01-05,13480.333333333334,941571.6666666666,52002.4,1.7,5.166666666666667
1999-01-06,13631.0,945375.5833333334,52019.625,1.8,5.0
1999-01-07,13790.666666666666,949179.5,52036.85,1.7,5.083333333333333
1999-01-08,13950.333333333334,952983.4166666666,52054.075,1.6,5.166666666666667
1999-01-09,14110.0,956787.3333333334,52071.299999999996,1.6,5.25
1999-01-10,14321.333333333334,960591.25,52088.524999999994,1.5,5.333333333333333
1999-01-11,14532.666666666666,964395.1666666666,52105.75,1.5,5.416666666666667
1999-01-12,14744.0,968199.0833333334,52122.975,1.5,5.5
2000-01-01,14860.666666666666,972003.0,52140.2,1.2,5.583333333333333
2000-01-02,14977.333333333334,975320.75,52158.51666666666,1.2,5.666666666666667
2000-01-03,15094.0,978638.5,52176.83333333333,1.0,5.75
2000-01-04,15093.0,981956.25,52195.149999999994,0.9,5.75
2000-01-05,15092.0,985274.0,52213.46666666667,1.0,5.75
2000-01-06,15091.0,988591.75,52231.78333333333,1.2,5.75
2000-01-07,14975.0,991909.5,52250.1,1.2,5.75
2000-01-08,14859.0,995227.25,52268.416666666664,1.0,5.75
2000-01-09,14743.0,998545.0,52286.73333333333,1.3,5.75
2000-01-10,14611.333333333334,1001862.75,52305.05,1.4,5.75
2000-01-11,14479.666666666666,1005180.5,52323.36666666667,1.5,5.75
2000-01-12,14348.0,1008498.25,52341.683333333334,1.2,5.75
2001-01-01,14326.333333333334,1011816.0,52360.0,1.2,5.75
2001-01-02,14304.666666666666,1015418.25,52380.175,1.2,5.75
2001-01-03,14283.0,1019020.5,52400.35,1.3,5.75
2001-01-04,14378.333333333334,1022622.75,52420.525,1.5,5.583333333333333
2001-01-05,14473.666666666666,1026225.0,52440.7,1.9,5.416666666666667
2001-01-06,14569.0,1029827.25,52460.875,1.9,5.25
2001-01-07,14817.333333333334,1033429.5,52481.05,1.7,5.083333333333333
2001-01-08,15065.666666666666,1037031.75,52501.225,2.1,4.916666666666667
2001-01-09,15314.0,1040634.0,52521.4,1.7,4.75
2001-01-10,15567.0,1044236.25,52541.575,1.6,4.5
2001-01-11,15820.0,1047838.5,52561.75,1.2,4.25
2001-01-12,16073.0,1051440.75,52581.924999999996,1.4,4.0
2002-01-01,16281.666666666666,1055043.0,52602.1,1.8,4.0
2002-01-02,16490.333333333332,1059963.5833333333,52623.85833333333,1.7,4.0
2002-01-03,16699.0,1064884.1666666667,52645.61666666667,1.7,4.0
2002-01-04,16838.666666666668,1069804.75,52667.375,1.6,4.0
2002-01-05,16978.333333333332,1074725.3333333333,52689.13333333333,1.2,4.0
2002-01-06,17118.0,1079645.9166666667,52710.89166666666,1.1,4.0
2002-01-07,17231.666666666668,1084566.5,52732.649999999994,1.4,4.0
2002-01-08,17345.333333333332,1089487.0833333333,52754.40833333333,1.3,4.0
2002-01-09,17459.0,1094407.6666666667,52776.166666666664,1.2,4.0
2002-01-10,17456.0,1099328.25,52797.924999999996,1.5,4.0
2002-01-11,17453.0,1104248.8333333333,52819.683333333334,1.6,4.0
2002-01-12,17450.0,1109169.4166666667,52841.441666666666,1.7,4.0
2003-01-01,17343.333333333332,1114090.0,52863.2,1.4,3.9166666666666665
2003-01-02,17236.666666666668,1118701.25,52887.26666666666,1.6,3.8333333333333335
2003-01-03,17130.0,1123312.5,52911.33333333333,1.6,3.75
2003-01-04,16934.666666666668,1127923.75,52935.399999999994,1.5,3.75
2003-01-05,16739.333333333332,1132535.0,52959.46666666667,1.3,3.75
2003-01-06,16544.0,1137146.25,52983.53333333333,1.2,3.75
2003-01-07,16394.333333333332,1141757.5,53007.6,1.3,3.6666666666666665
2003-01-08,16244.666666666666,1146368.75,53031.666666666664,1.4,3.5833333333333335
2003-01-09,16095.0,1150980.0,53055.73333333333,1.3,3.5
2003-01-10,16116.666666666666,1155591.25,53079.8,1.3,3.5833333333333335
2003-01-11,16138.333333333334,1160202.5,53103.86666666667,1.3,3.6666666666666665
2003-01-12,16160.0,1164813.75,53127.933333333334,1.3,3.75
2004-01-01,16285.666666666666,1169425.0,53152.0,1.5,3.8333333333333335
2004-01-02,16411.333333333332,1174828.25,53187.275,1.4,3.9166666666666665
2004-01-03,16537.0,1180231.5,53222.55,1.2,4.0
2004-01-04,16790.666666666668,1185634.75,53257.825,1.1,4.083333333333333
2004-01-05,17044.333333333332,1191038.0,53293.1,1.4,4.166666666666667
2004-01-06,17298.0,1196441.25,53328.375,1.5,4.25
2004-01-07,17245.0,1201844.5,53363.65,1.4,4.416666666666667
2004-01-08,17192.0,1207247.75,53398.925,1.4,4.583333333333333
2004-01-09,17139.0,1212651.0,53434.200000000004,1.2,4.75
2004-01-10,16820.333333333332,1218054.25,53469.475000000006,1.3,4.75
2004-01-11,16501.666666666668,1223457.5,53504.75,1.5,4.75
2004-01-12,16183.0,1228860.75,53540.025,1.8,4.75
2005-01-01,15774.0,1234264.0,53575.3,1.7,4.75
2005-01-02,15365.0,1239498.1666666667,53606.600000000006,1.7,4.75
2005-01-03,14956.0,1244732.3333333333,53637.9,2.0,4.75
2005-01-04,14554.0,1249966.5,53669.200000000004,1.9,4.75
2005-01-05,14152.0,1255200.6666666667,53700.5,1.9,4.75
2005-01-06,13750.0,1260434.8333333333,53731.8,2.0,4.75
2005-01-07,13658.333333333334,1265669.0,53763.100000000006,2.3,4.666666666666667
2005-01-08,13566.666666666666,1270903.1666666667,53794.4,2.4,4.583333333333333
2005-01-09,13475.0,1276137.3333333333,53825.700000000004,2.5,4.5
2005-01-10,13585.666666666666,1281371.5,53857.0,2.4,4.5
2005-01-11,13696.333333333334,1286605.6666666667,53888.3,2.2,4.5
2005-01-12,13807.0,1291839.8333333333,53919.6,2.1,4.5
2006-01-01,14122.333333333334,1297074.0,53950.9,2.2,4.5
2006-01-02,14437.666666666666,1302651.25,53987.275,2.2,4.5
2006-01-03,14753.0,1308228.5,54023.65,2.0,4.5
2006-01-04,15055.666666666666,1313805.75,54060.025,2.2,4.5
2006-01-05,15358.333333333334,1319383.0,54096.4,2.4,4.5
2006-01-06,15661.0,1324960.25,54132.775,2.6,4.5
2006-01-07,15982.0,1330537.5,54169.15,2.5,4.583333333333333
2006-01-08,16303.0,1336114.75,54205.525,2.6,4.666666666666667
2006-01-09,16624.0,1341692.0,54241.9,2.5,4.75
2006-01-10,17002.0,1347269.25,54278.275,2.5,4.833333333333333
2006-01-11,17380.0,1352846.5,54314.65,2.8,4.916666666666667
2006-01-12,17758.0,1358423.75,54351.025,2.9,5.0
2007-01-01,17968.666666666668,1364001.0,54387.4,2.7,5.083333333333333
2007-01-02,18179.333333333332,1367284.75,54425.25833333333,2.7,5.166666666666667
2007-01-03,18390.0,1370568.5,54463.11666666667,2.9,5.25
2007-01-04,18406.0,1373852.25,54500.975,2.7,5.333333333333333
2007-01-05,18422.0,1377136.0,54538.833333333336,2.5,5.416666666666667
2007-01-06,18438.0,1380419.75,54576.691666666666,2.5,5.5
2007-01-07,18259.666666666668,1383703.5,54614.55,2.0,5.583333333333333
2007-01-08,18081.333333333332,1386987.25,54652.40833333333,2.0,5.666666666666667
2007-01-09,17903.0,1390271.0,54690.26666666666,2.0,5.75
2007-01-10,17508.666666666668,1393554.75,54728.125,2.3,5.666666666666667
2007-01-11,17114.333333333332,1396838.5,54765.98333333333,2.2,5.583333333333333
2007-01-12,16720.0,1400122.25,54803.84166666667,2.3,5.5
2008-01-01,16170.333333333334,1403406.0,54841.7,2.4,5.416666666666667
2008-01-02,15620.666666666666,1400581.0,54874.5,2.6,5.333333333333333
2008-01-03,15071.0,1397756.0,54907.299999999996,2.6,5.25
2008-01-04,14415.333333333334,1394931.0,54940.1,3.0,5.166666666666667
