Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,87500.0,718499.606153846,48519.1,2.9,6.233333333333333
1996-01-02,87500.0,722660.2356410255,48531.24166666667,3.0,6.086666666666667
1996-01-03,87500.0,726820.865128205,48543.38333333333,3.0,5.94
1996-01-04,87666.66666666667,730981.4946153845,48555.525,2.8,5.856666666666667
1996-01-05,87833.33333333333,735142.1241025641,48567.666666666664,2.8,5.773333333333333
1996-01-06,88000.0,739302.7535897435,48579.808333333334,2.8,5.69
1996-01-07,88333.33333333333,743463.383076923,48591.95,2.7,5.69
1996-01-08,88666.66666666667,747624.0125641025,48604.09166666667,2.7,5.69
1996-01-09,89000.0,751784.642051282,48616.23333333334,2.7,5.69
1996-01-10,89333.33333333333,755945.2715384616,48628.375,3.0,5.773333333333333
1996-01-11,89666.66666666667,760105.901025641,48640.51666666667,3.1,5.856666666666667
1996-01-12,90000.0,764266.5305128206,48652.65833333333,2.8,5.94
1997-01-01,90333.33333333333,768427.16,48664.8,2.6,5.94
1997-01-02,90666.66666666667,775145.0633333334,48677.78333333333,2.4,5.94
1997-01-03,91000.0,781862.9666666667,48690.76666666667,2.2,5.94
1997-01-04,91666.66666666667,788580.87,48703.75,2.1,6.043333333333334
1997-01-05,92333.33333333333,795298.7733333333,48716.73333333334,2.1,6.1466666666666665
1997-01-06,93000.0,802016.6766666666,48729.71666666667,2.1,6.25
1997-01-07,93666.66666666667,808734.5800000001,48742.7,2.4,6.416666666666667
1997-01-08,94333.33333333333,815452.4833333334,48755.683333333334,2.3,6.583333333333333
1997-01-09,95000.0,822170.3866666667,48768.666666666664,2.2,6.75
1997-01-10,95666.66666666667,828888.29,48781.65,2.2,6.916666666666667
1997-01-11,96333.33333333333,835606.1933333334,48794.63333333333,2.1,7.083333333333333
1997-01-12,97000.0,842324.0966666667,48807.61666666667,1.9,7.25
1998-01-01,97666.66666666667,849042.0,48820.6,1.8,7.25
1998-01-02,98333.33333333333,852313.25,48838.291666666664,1.8,7.25
1998-01-03,99000.0,855584.5,48855.98333333333,1.9,7.25
1998-01-04,99333.33333333333,858855.75,48873.675,2.1,7.333333333333333
1998-01-05,99666.66666666667,862127.0,48891.36666666667,2.2,7.416666666666667
1998-01-06,100000.0,865398.25,48909.058333333334,1.9,7.5
1998-01-07,101333.33333333333,868669.5,48926.75,1.7,7.5
1998-01-08,102666.66666666667,871940.75,48944.441666666666,1.6,7.5
1998-01-09,104000.0,875212.0,48962.13333333333,1.7,7.5
1998-01-10,104333.33333333333,878483.25,48979.825,1.6,7.083333333333333
1998-01-11,104666.66666666667,881754.5,48997.51666666667,1.7,6.666666666666667
1998-01-12,105000.0,885025.75,49015.208333333336,1.9,6.25
1999-01-01,105666.66666666667,888297.0,49032.9,2.0,6.0
1999-01-02,106333.33333333333,891954.5,49049.6,1.9,5.75
1999-01-03,107000.0,895612.0,49066.3,2.1,5.5
1999-01-04,108000.0,899269.5,49083.0,2.0,5.333333333333333
1999-01-05,109000.0,902927.0,49099.700000000004,1.7,5.166666666666667
1999-01-06,110000.0,906584.5,49116.4,1.8,5.0
1999-01-07,111000.0,910242.0,49133.100000000006,1.7,5.083333333333333
1999-01-08,112000.0,913899.5,49149.8,1.6,5.166666666666667
1999-01-09,113000.0,917557.0,49166.5,1.6,5.25
1999-01-10,114166.66666666667,921214.5,49183.200000000004,1.5,5.333333333333333
1999-01-11,115333.33333333333,924872.0,49199.9,1.5,5.416666666666667
1999-01-12,116500.0,928529.5,49216.600000000006,1.5,5.5
2000-01-01,117500.0,932187.0,49233.3,1.2,5.583333333333333
2000-01-02,118500.0,935399.25,49251.333333333336,1.2,5.666666666666667
2000-01-03,119500.0,938611.5,49269.36666666667,1.0,5.75
2000-01-04,120650.0,941823.75,49287.4,0.9,5.75
2000-01-05,121800.0,945036.0,49305.433333333334,1.0,5.75
2000-01-06,122950.0,948248.25,49323.46666666667,1.2,5.75
2000-01-07,123950.0,951460.5,49341.5,1.2,5.75
2000-01-08,124950.0,954672.75,49359.53333333333,1.0,5.75
2000-01-09,125950.0,957885.0,49377.566666666666,1.3,5.75
2000-01-10,127298.33333333333,961097.25,49395.6,1.4,5.75
2000-01-11,128646.66666666667,964309.5,49413.63333333333,1.5,5.75
2000-01-12,129995.0,967521.75,49431.666666666664,1.2,5.75
2001-01-01,130980.0,970734.0,49449.7,1.2,5.75
2001-01-02,131965.0,974186.9166666666,49468.83333333333,1.2,5.75
2001-01-03,132950.0,977639.8333333334,49487.96666666667,1.3,5.75
2001-01-04,134133.33333333334,981092.75,49507.1,1.5,5.583333333333333
2001-01-05,135316.66666666666,984545.6666666666,49526.23333333333,1.9,5.416666666666667
2001-01-06,136500.0,987998.5833333334,49545.36666666667,1.9,5.25
2001-01-07,138000.0,991451.5,49564.5,1.7,5.083333333333333
2001-01-08,139500.0,994904.4166666666,49583.63333333333,2.1,4.916666666666667
2001-01-09,141000.0,998357.3333333334,49602.76666666667,1.7,4.75
2001-01-10,142333.33333333334,1001810.25,49621.9,1.6,4.5
2001-01-11,143666.66666666666,1005263.1666666666,49641.03333333333,1.2,4.25
2001-01-12,145000.0,1008716.0833333334,49660.16666666667,1.4,4.0
2002-01-01,146316.66666666666,1012169.0,49679.3,1.8,4.0
2002-01-02,147633.33333333334,1016857.9166666666,49699.816666666666,1.7,4.0
2002-01-03,148950.0,1021546.8333333334,49720.333333333336,1.7,4.0
2002-01-04,150966.66666666666,1026235.75,49740.850000000006,1.6,4.0
2002-01-05,152983.33333333334,1030924.6666666666,49761.36666666667,1.2,4.0
2002-01-06,155000.0,1035613.5833333334,49781.88333333333,1.1,4.0
2002-01-07,158316.66666666666,1040302.5,49802.4,1.4,4.0
2002-01-08,161633.33333333334,1044991.4166666666,49822.91666666667,1.3,4.0
2002-01-09,164950.0,1049680.3333333333,49843.433333333334,1.2,4.0
2002-01-10,167966.66666666666,1054369.25,49863.95,1.5,4.0
2002-01-11,170983.33333333334,1059058.1666666667,49884.46666666667,1.6,4.0
2002-01-12,174000.0,1063747.0833333333,49904.98333333334,1.7,4.0
