Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,53000.0,750935.8907692307,51410.4,2.9,6.233333333333333
1996-01-02,53000.0,755253.7257051282,51422.833333333336,3.0,6.086666666666667
1996-01-03,53000.0,759571.5606410255,51435.26666666667,3.0,5.94
1996-01-04,53000.0,763889.395576923,51447.7,2.8,5.856666666666667
1996-01-05,53000.0,768207.2305128204,51460.13333333333,2.8,5.773333333333333
1996-01-06,53000.0,772525.0654487179,51472.566666666666,2.8,5.69
1996-01-07,53316.666666666664,776842.9003846154,51485.0,2.7,5.69
1996-01-08,53633.333333333336,781160.7353205128,51497.433333333334,2.7,5.69
1996-01-09,53950.0,785478.5702564103,51509.86666666667,2.7,5.69
1996-01-10,54133.333333333336,789796.4051923077,51522.3,3.0,5.773333333333333
1996-01-11,54316.666666666664,794114.2401282052,51534.73333333333,3.1,5.856666666666667
1996-01-12,54500.0,798432.0750641025,51547.166666666664,2.8,5.94
1997-01-01,54666.666666666664,802749.91,51559.6,2.6,5.94
1997-01-02,54833.333333333336,809695.7508333334,51572.975,2.4,5.94
1997-01-03,55000.0,816641.5916666667,51586.35,2.2,5.94
1997-01-04,55331.666666666664,823587.4325,51599.725,2.1,6.043333333333334
1997-01-05,55663.333333333336,830533.2733333333,51613.1,2.1,6.1466666666666665
1997-01-06,55995.0,837479.1141666666,51626.475,2.1,6.25
1997-01-07,56330.0,844424.9550000001,51639.85,2.4,6.416666666666667
1997-01-08,56665.0,851370.7958333334,51653.225,2.3,6.583333333333333
1997-01-09,57000.0,858316.6366666667,51666.6,2.2,6.75
1997-01-10,57331.666666666664,865262.4775,51679.975,2.2,6.916666666666667
1997-01-11,57663.333333333336,872208.3183333334,51693.35,2.1,7.083333333333333
1997-01-12,57995.0,879154.1591666667,51706.725,1.9,7.25
1998-01-01,58163.333333333336,886100.0,51720.1,1.8,7.25
1998-01-02,58331.666666666664,889454.6666666666,51737.88333333333,1.8,7.25
1998-01-03,58500.0,892809.3333333334,51755.666666666664,1.9,7.25
1998-01-04,58666.666666666664,896164.0,51773.45,2.1,7.333333333333333
1998-01-05,58833.333333333336,899518.6666666666,51791.23333333333,2.2,7.416666666666667
1998-01-06,59000.0,902873.3333333334,51809.01666666666,1.9,7.5
1998-01-07,59316.666666666664,906228.0,51826.8,1.7,7.5
1998-01-08,59633.333333333336,909582.6666666666,51844.583333333336,1.6,7.5
1998-01-09,59950.0,912937.3333333334,51862.36666666667,1.7,7.5
1998-01-10,59965.0,916292.0,51880.15,1.6,7.083333333333333
1998-01-11,59980.0,919646.6666666666,51897.933333333334,1.7,6.666666666666667
1998-01-12,59995.0,923001.3333333334,51915.71666666667,1.9,6.25
1999-01-01,59996.666666666664,926356.0,51933.5,2.0,6.0
1999-01-02,59998.333333333336,930159.9166666666,51950.725,1.9,5.75
1999-01-03,60000.0,933963.8333333334,51967.95,2.1,5.5
1999-01-04,60666.666666666664,937767.75,51985.175,2.0,5.333333333333333
1999-01-05,61333.333333333336,941571.6666666666,52002.4,1.7,5.166666666666667
1999-01-06,62000.0,945375.5833333334,52019.625,1.8,5.0
1999-01-07,62666.666666666664,949179.5,52036.85,1.7,5.083333333333333
1999-01-08,63333.333333333336,952983.4166666666,52054.075,1.6,5.166666666666667
1999-01-09,64000.0,956787.3333333334,52071.299999999996,1.6,5.25
1999-01-10,64650.0,960591.25,52088.524999999994,1.5,5.333333333333333
1999-01-11,65300.0,964395.1666666666,52105.75,1.5,5.416666666666667
1999-01-12,65950.0,968199.0833333334,52122.975,1.5,5.5
2000-01-01,66300.0,972003.0,52140.2,1.2,5.583333333333333
2000-01-02,66650.0,975320.75,52158.51666666666,1.2,5.666666666666667
2000-01-03,67000.0,978638.5,52176.83333333333,1.0,5.75
2000-01-04,67665.0,981956.25,52195.149999999994,0.9,5.75
2000-01-05,68330.0,985274.0,52213.46666666667,1.0,5.75
2000-01-06,68995.0,988591.75,52231.78333333333,1.2,5.75
2000-01-07,69330.0,991909.5,52250.1,1.2,5.75
