Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,35000.0,32436.2846153846,2891.3,2.9,6.233333333333333
1996-01-02,35000.0,32593.49006410255,2891.6000000000004,3.0,6.086666666666667
1996-01-03,35000.0,32750.6955128205,2891.9,3.0,5.94
1996-01-04,35000.0,32907.90096153845,2892.2000000000003,2.8,5.856666666666667
1996-01-05,35000.0,33065.1064102564,2892.5,2.8,5.773333333333333
1996-01-06,35000.0,33222.31185897435,2892.8,2.8,5.69
1996-01-07,35000.0,33379.5173076923,2893.1000000000004,2.7,5.69
1996-01-08,35000.0,33536.72275641025,2893.4,2.7,5.69
1996-01-09,35000.0,33693.9282051282,2893.7000000000003,2.7,5.69
1996-01-10,35000.0,33851.13365384615,2894.0,3.0,5.773333333333333
1996-01-11,35000.0,34008.3391025641,2894.3,3.1,5.856666666666667
1996-01-12,35000.0,34165.54455128205,2894.6,2.8,5.94
1997-01-01,35331.666666666664,34322.75,2894.9,2.6,5.94
1997-01-02,35663.333333333336,34550.6875,2895.2833333333333,2.4,5.94
1997-01-03,35995.0,34778.625,2895.666666666667,2.2,5.94
1997-01-04,35996.666666666664,35006.5625,2896.05,2.1,6.043333333333334
1997-01-05,35998.333333333336,35234.5,2896.4333333333334,2.1,6.1466666666666665
1997-01-06,36000.0,35462.4375,2896.8166666666666,2.1,6.25
1997-01-07,36166.666666666664,35690.375,2897.2,2.4,6.416666666666667
1997-01-08,36333.333333333336,35918.3125,2897.5833333333335,2.3,6.583333333333333
1997-01-09,36500.0,36146.25,2897.9666666666667,2.2,6.75
1997-01-10,36650.0,36374.1875,2898.35,2.2,6.916666666666667
1997-01-11,36800.0,36602.125,2898.7333333333336,2.1,7.083333333333333
1997-01-12,36950.0,36830.0625,2899.116666666667,1.9,7.25
1998-01-01,36965.0,37058.0,2899.5,1.8,7.25
1998-01-02,36980.0,37141.416666666664,2899.5916666666667,1.8,7.25
1998-01-03,36995.0,37224.833333333336,2899.6833333333334,1.9,7.25
1998-01-04,36980.0,37308.25,2899.775,2.1,7.333333333333333
1998-01-05,36965.0,37391.666666666664,2899.866666666667,2.2,7.416666666666667
1998-01-06,36950.0,37475.083333333336,2899.9583333333335,1.9,7.5
1998-01-07,36966.666666666664,37558.5,2900.05,1.7,7.5
1998-01-08,36983.333333333336,37641.916666666664,2900.1416666666664,1.6,7.5
1998-01-09,37000.0,37725.333333333336,2900.233333333333,1.7,7.5
1998-01-10,37000.0,37808.75,2900.325,1.6,7.083333333333333
1998-01-11,37000.0,37892.166666666664,2900.4166666666665,1.7,6.666666666666667
1998-01-12,37000.0,37975.583333333336,2900.508333333333,1.9,6.25
1999-01-01,37000.0,38059.0,2900.6,2.0,6.0
1999-01-02,37000.0,38205.416666666664,2901.125,1.9,5.75
1999-01-03,37000.0,38351.833333333336,2901.65,2.1,5.5
1999-01-04,37166.666666666664,38498.25,2902.175,2.0,5.333333333333333
1999-01-05,37333.333333333336,38644.666666666664,2902.7,1.7,5.166666666666667
1999-01-06,37500.0,38791.083333333336,2903.225,1.8,5.0
1999-01-07,37666.666666666664,38937.5,2903.75,1.7,5.083333333333333
1999-01-08,37833.333333333336,39083.916666666664,2904.275,1.6,5.166666666666667
1999-01-09,38000.0,39230.333333333336,2904.8,1.6,5.25
1999-01-10,38166.666666666664,39376.75,2905.325,1.5,5.333333333333333
1999-01-11,38333.333333333336,39523.166666666664,2905.85,1.5,5.416666666666667
1999-01-12,38500.0,39669.583333333336,2906.375,1.5,5.5
2000-01-01,38666.666666666664,39816.0,2906.9,1.2,5.583333333333333
2000-01-02,38833.333333333336,39921.5,2907.175,1.2,5.666666666666667
2000-01-03,39000.0,40027.0,2907.45,1.0,5.75
2000-01-04,39166.666666666664,40132.5,2907.725,0.9,5.75
2000-01-05,39333.333333333336,40238.0,2908.0,1.0,5.75
2000-01-06,39500.0,40343.5,2908.275,1.2,5.75
2000-01-07,39650.0,40449.0,2908.55,1.2,5.75
2000-01-08,39800.0,40554.5,2908.825,1.0,5.75
2000-01-09,39950.0,40660.0,2909.1,1.3,5.75
2000-01-10,39966.666666666664,40765.5,2909.375,1.4,5.75
2000-01-11,39983.333333333336,40871.0,2909.6499999999996,1.5,5.75
2000-01-12,40000.0,40976.5,2909.9249999999997,1.2,5.75
2001-01-01,40166.666666666664,41082.0,2910.2,1.2,5.75
2001-01-02,40333.333333333336,41231.333333333336,2911.258333333333,1.2,5.75
2001-01-03,40500.0,41380.666666666664,2912.3166666666666,1.3,5.75
2001-01-04,40833.333333333336,41530.0,2913.375,1.5,5.583333333333333
2001-01-05,41166.666666666664,41679.333333333336,2914.4333333333334,1.9,5.416666666666667
2001-01-06,41500.0,41828.666666666664,2915.491666666667,1.9,5.25
2001-01-07,41983.333333333336,41978.0,2916.55,1.7,5.083333333333333
2001-01-08,42466.666666666664,42127.333333333336,2917.608333333333,2.1,4.916666666666667
2001-01-09,42950.0,42276.666666666664,2918.6666666666665,1.7,4.75
2001-01-10,43133.333333333336,42426.0,2919.725,1.6,4.5
2001-01-11,43316.666666666664,42575.333333333336,2920.7833333333333,1.2,4.25
2001-01-12,43500.0,42724.666666666664,2921.8416666666667,1.4,4.0
2002-01-01,43833.333333333336,42874.0,2922.9,1.8,4.0
2002-01-02,44166.666666666664,43105.666666666664,2924.133333333333,1.7,4.0
2002-01-03,44500.0,43337.333333333336,2925.366666666667,1.7,4.0
2002-01-04,44833.333333333336,43569.0,2926.6,1.6,4.0
2002-01-05,45166.666666666664,43800.666666666664,2927.8333333333335,1.2,4.0
2002-01-06,45500.0,44032.333333333336,2929.0666666666666,1.1,4.0
2002-01-07,46000.0,44264.0,2930.3,1.4,4.0
2002-01-08,46500.0,44495.666666666664,2931.5333333333333,1.3,4.0
2002-01-09,47000.0,44727.333333333336,2932.7666666666664,1.2,4.0
2002-01-10,47983.333333333336,44959.0,2934.0,1.5,4.0
2002-01-11,48966.666666666664,45190.666666666664,2935.233333333333,1.6,4.0
2002-01-12,49950.0,45422.333333333336,2936.4666666666667,1.7,4.0
2003-01-01,50633.333333333336,45654.0,2937.7,1.4,3.9166666666666665
2003-01-02,51316.666666666664,45881.75,2939.3416666666667,1.6,3.8333333333333335
2003-01-03,52000.0,46109.5,2940.983333333333,1.6,3.75
2003-01-04,53000.0,46337.25,2942.625,1.5,3.75
2003-01-05,54000.0,46565.0,2944.2666666666664,1.3,3.75
2003-01-06,55000.0,46792.75,2945.9083333333333,1.2,3.75
2003-01-07,56333.333333333336,47020.5,2947.55,1.3,3.6666666666666665
2003-01-08,57666.666666666664,47248.25,2949.1916666666666,1.4,3.5833333333333335
2003-01-09,59000.0,47476.0,2950.8333333333335,1.3,3.5
2003-01-10,60333.333333333336,47703.75,2952.475,1.3,3.5833333333333335
2003-01-11,61666.666666666664,47931.5,2954.116666666667,1.3,3.6666666666666665
2003-01-12,63000.0,48159.25,2955.758333333333,1.3,3.75
2004-01-01,64333.333333333336,48387.0,2957.4,1.5,3.8333333333333335
2004-01-02,65666.66666666667,48576.916666666664,2958.391666666667,1.4,3.9166666666666665
2004-01-03,67000.0,48766.833333333336,2959.383333333333,1.2,4.0
2004-01-04,68833.33333333333,48956.75,2960.375,1.1,4.083333333333333
2004-01-05,70666.66666666667,49146.666666666664,2961.366666666667,1.4,4.166666666666667
2004-01-06,72500.0,49336.583333333336,2962.3583333333336,1.5,4.25
2004-01-07,74333.33333333333,49526.5,2963.3500000000004,1.4,4.416666666666667
2004-01-08,76166.66666666667,49716.416666666664,2964.3416666666667,1.4,4.583333333333333
2004-01-09,78000.0,49906.333333333336,2965.3333333333335,1.2,4.75
2004-01-10,79666.66666666667,50096.25,2966.3250000000003,1.3,4.75
2004-01-11,81333.33333333333,50286.166666666664,2967.3166666666666,1.5,4.75
2004-01-12,83000.0,50476.083333333336,2968.3083333333334,1.8,4.75
2005-01-01,83833.33333333333,50666.0,2969.3,1.7,4.75
2005-01-02,84666.66666666667,50888.833333333336,2970.666666666667,1.7,4.75
2005-01-03,85500.0,51111.666666666664,2972.0333333333333,2.0,4.75
2005-01-04,86944.33333333333,51334.5,2973.4,1.9,4.75
2005-01-05,88388.66666666667,51557.333333333336,2974.766666666667,1.9,4.75
2005-01-06,89833.0,51780.166666666664,2976.133333333333,2.0,4.75
2005-01-07,90222.0,52003.0,2977.5,2.3,4.666666666666667
2005-01-08,90611.0,52225.833333333336,2978.866666666667,2.4,4.583333333333333
2005-01-09,91000.0,52448.666666666664,2980.233333333333,2.5,4.5
2005-01-10,92000.0,52671.5,2981.6,2.4,4.5
2005-01-11,93000.0,52894.333333333336,2982.9666666666667,2.2,4.5
2005-01-12,94000.0,53117.166666666664,2984.333333333333,2.1,4.5
2006-01-01,94333.33333333333,53340.0,2985.7,2.2,4.5
2006-01-02,94666.66666666667,53514.583333333336,2987.4166666666665,2.2,4.5
2006-01-03,95000.0,53689.166666666664,2989.133333333333,2.0,4.5
2006-01-04,96000.0,53863.75,2990.85,2.2,4.5
2006-01-05,97000.0,54038.333333333336,2992.5666666666666,2.4,4.5
2006-01-06,98000.0,54212.916666666664,2994.2833333333333,2.6,4.5
2006-01-07,98666.66666666667,54387.5,2996.0,2.5,4.583333333333333
2006-01-08,99333.33333333333,54562.083333333336,2997.7166666666667,2.6,4.666666666666667
2006-01-09,100000.0,54736.666666666664,2999.4333333333334,2.5,4.75
2006-01-10,101333.33333333333,54911.25,3001.15,2.5,4.833333333333333
2006-01-11,102666.66666666667,55085.833333333336,3002.866666666667,2.8,4.916666666666667
2006-01-12,104000.0,55260.416666666664,3004.5833333333335,2.9,5.0
2007-01-01,104333.33333333333,55435.0,3006.3,2.7,5.083333333333333
2007-01-02,104666.66666666667,55474.666666666664,3007.9333333333334,2.7,5.166666666666667
2007-01-03,105000.0,55514.333333333336,3009.5666666666666,2.9,5.25
2007-01-04,106000.0,55554.0,3011.2000000000003,2.7,5.333333333333333
2007-01-05,107000.0,55593.666666666664,3012.8333333333335,2.5,5.416666666666667
2007-01-06,108000.0,55633.333333333336,3014.4666666666667,2.5,5.5
2007-01-07,108666.66666666667,55673.0,3016.1000000000004,2.0,5.583333333333333
2007-01-08,109333.33333333333,55712.666666666664,3017.7333333333336,2.0,5.666666666666667
2007-01-09,110000.0,55752.333333333336,3019.366666666667,2.0,5.75
2007-01-10,110000.0,55792.0,3021.0,2.3,5.666666666666667
2007-01-11,110000.0,55831.666666666664,3022.633333333333,2.2,5.583333333333333
2007-01-12,110000.0,55871.333333333336,3024.266666666667,2.3,5.5
2008-01-01,110666.66666666667,55911.0,3025.9,2.4,5.416666666666667
2008-01-02,111333.33333333333,55813.583333333336,3026.9833333333336,2.6,5.333333333333333
2008-01-03,112000.0,55716.166666666664,3028.0666666666666,2.6,5.25
2008-01-04,111666.66666666667,55618.75,3029.15,3.0,5.166666666666667
2008-01-05,111333.33333333333,55521.333333333336,3030.2333333333336,3.3,5.083333333333333
2008-01-06,111000.0,55423.916666666664,3031.3166666666666,3.7,5.0
2008-01-07,110650.0,55326.5,3032.4,4.2,5.0
2008-01-08,110300.0,55229.083333333336,3033.4833333333336,4.4,5.0
2008-01-09,109950.0,55131.666666666664,3034.5666666666666,4.8,5.0
2008-01-10,108300.0,55034.25,3035.65,4.2,4.0
2008-01-11,106650.0,54936.833333333336,3036.7333333333336,3.8,3.0
2008-01-12,105000.0,54839.416666666664,3037.8166666666666,3.0,2.0
2009-01-01,104333.33333333333,54742.0,3038.9,2.9,1.5
2009-01-02,103666.66666666667,54908.416666666664,3039.8250000000003,3.1,1.0
2009-01-03,103000.0,55074.833333333336,3040.75,2.8,0.5
2009-01-04,102000.0,55241.25,3041.675,2.3,0.5
2009-01-05,101000.0,55407.666666666664,3042.6,2.1,0.5
2009-01-06,100000.0,55574.083333333336,3043.525,1.7,0.5
2009-01-07,99333.33333333333,55740.5,3044.45,1.6,0.5
2009-01-08,98666.66666666667,55906.916666666664,3045.375,1.4,0.5
2009-01-09,98000.0,56073.333333333336,3046.3,1.0,0.5
2009-01-10,98666.66666666667,56239.75,3047.225,1.2,0.5
2009-01-11,99333.33333333333,56406.166666666664,3048.15,1.5,0.5
2009-01-12,100000.0,56572.583333333336,3049.075,2.1,0.5
2010-01-01,99998.33333333333,56739.0,3050.0,2.6,0.5
2010-01-02,99996.66666666667,56961.083333333336,3051.15,2.1,0.5
2010-01-03,99995.0,57183.166666666664,3052.3,2.4,0.5
2010-01-04,99996.66666666667,57405.25,3053.45,2.7,0.5
2010-01-05,99998.33333333333,57627.333333333336,3054.6,2.5,0.5
2010-01-06,100000.0,57849.416666666664,3055.75,2.4,0.5
2010-01-07,100000.0,58071.5,3056.9,2.3,0.5
2010-01-08,100000.0,58293.583333333336,3058.05,2.4,0.5
2010-01-09,100000.0,58515.666666666664,3059.2000000000003,2.4,0.5
2010-01-10,100000.0,58737.75,3060.3500000000004,2.5,0.5
2010-01-11,100000.0,58959.833333333336,3061.5,2.6,0.5
2010-01-12,100000.0,59181.916666666664,3062.65,3.1,0.5
2011-01-01,100000.0,59404.0,3063.8,3.4,0.5
2011-01-02,100000.0,59563.583333333336,3064.6583333333333,3.7,0.5
2011-01-03,100000.0,59723.166666666664,3065.516666666667,3.5,0.5
2011-01-04,100000.0,59882.75,3066.375,3.8,0.5
2011-01-05,100000.0,60042.333333333336,3067.2333333333336,3.8,0.5
2011-01-06,100000.0,60201.916666666664,3068.0916666666667,3.6,0.5
2011-01-07,99983.33333333333,60361.5,3068.95,3.8,0.5
2011-01-08,99966.66666666667,60521.083333333336,3069.8083333333334,3.9,0.5
2011-01-09,99950.0,60680.666666666664,3070.6666666666665,4.5,0.5
2011-01-10,99966.66666666667,60840.25,3071.525,4.3,0.5
2011-01-11,99983.33333333333,60999.833333333336,3072.383333333333,4.1,0.5
2011-01-12,100000.0,61159.416666666664,3073.241666666667,3.7,0.5
2012-01-01,100000.0,61319.0,3074.1,3.2,0.5
2012-01-02,100000.0,61512.916666666664,3070.389672861014,3.1,0.5
2012-01-03,100000.0,61706.833333333336,3066.6793457220283,3.1,0.5
2012-01-04,100000.0,61900.75,3062.9690185830423,2.8,0.5
2012-01-05,100000.0,62094.666666666664,3059.2586914440567,2.5,0.5
2012-01-06,100000.0,62288.583333333336,3055.5483643050707,2.3,0.5
2012-01-07,100000.0,62482.5,3051.838037166085,2.4,0.5
2012-01-08,100000.0,62676.416666666664,3048.127710027099,2.3,0.5
2012-01-09,100000.0,62870.333333333336,3044.417382888113,2.1,0.5
2012-01-10,100000.0,63064.25,3040.7070557491274,2.4,0.5
2012-01-11,100000.0,63258.166666666664,3036.9967286101414,2.4,0.5
2012-01-12,100000.0,63452.083333333336,3033.286401471156,2.4,0.5
2013-01-01,100000.0,63646.0,3029.57607433217,2.4,0.5
2013-01-02,100000.0,63792.333333333336,3030.157561515812,2.5,0.5
2013-01-03,100000.0,63938.666666666664,3030.739048699455,2.5,0.5
2013-01-04,100000.0,64085.0,3031.3205358830974,2.2,0.5
2013-01-05,100000.0,64231.333333333336,3031.9020230667397,2.4,0.5
2013-01-06,100000.0,64377.666666666664,3032.4835102503826,2.6,0.5
2013-01-07,100000.0,64524.0,3033.064997434025,2.5,0.5
2013-01-08,100000.0,64670.333333333336,3033.6464846176673,2.4,0.5
2013-01-09,100000.0,64816.666666666664,3034.22797180131,2.4,0.5
2013-01-10,100000.0,64963.0,3034.8094589849525,2.0,0.5
2013-01-11,100000.0,65109.333333333336,3035.390946168595,1.9,0.5
2013-01-12,100000.0,65255.666666666664,3035.9724333522377,1.9,0.5
2014-01-01,100666.66666666667,65402.0,3036.55392053588,1.8,0.5
2014-01-02,101333.33333333333,65564.33333333333,3037.1354077195224,1.6,0.5
2014-01-03,102000.0,65726.66666666667,3037.7168949031648,1.5,0.5
2014-01-04,102666.66666666667,65889.0,3038.2983820868076,1.7,0.5
2014-01-05,103333.33333333333,66051.33333333333,3038.87986927045,1.5,0.5
2014-01-06,104000.0,66213.66666666667,3039.4613564540923,1.8,0.5
2014-01-07,104333.33333333333,66376.0,3040.042843637735,1.6,0.5
2014-01-08,104666.66666666667,66538.33333333333,3040.6243308213775,1.5,0.5
2014-01-09,105000.0,66700.66666666667,3041.20581800502,1.3,0.5
2014-01-10,105333.33333333333,66863.0,3041.7873051886622,1.3,0.5
2014-01-11,105666.66666666667,67025.33333333333,3042.3687923723046,1.1,0.5
2014-01-12,106000.0,67187.66666666667,3042.9502795559474,0.7,0.5
2015-01-01,106333.33333333333,67350.0,3043.53176673959,0.5,0.5
2015-01-02,106666.66666666667,67582.08333333333,3044.113253923232,0.4,0.5
2015-01-03,107000.0,67814.16666666667,3044.694741106875,0.3,0.5
2015-01-04,107166.66666666667,68046.25,3045.2762282905173,0.3,0.5
2015-01-05,107333.33333333333,68278.33333333333,3045.8577154741597,0.4,0.5
2015-01-06,107500.0,68510.41666666667,3046.4392026578025,0.3,0.5
2015-01-07,107666.66666666667,68742.5,3047.020689841445,0.5,0.5
2015-01-08,107833.33333333333,68974.58333333333,3047.6021770250873,0.4,0.5
2015-01-09,108000.0,69206.66666666667,3048.18366420873,0.2,0.5
2015-01-10,108333.33333333333,69438.75,3048.7651513923724,0.2,0.5
2015-01-11,108666.66666666667,69670.83333333333,3049.346638576015,0.4,0.5
2015-01-12,109000.0,69902.91666666667,3049.9281257596576,0.5,0.5
2016-01-01,109333.33333333333,70135.0,3050.5096129433,0.6,0.5
2016-01-02,109666.66666666667,70339.58333333333,3051.0911001269433,0.6,0.5
2016-01-03,110000.0,70544.16666666667,3051.6725873105866,0.8,0.5
2016-01-04,110000.0,70748.75,3052.25407449423,0.7,0.5
2016-01-05,110000.0,70953.33333333333,3052.8355616778736,0.7,0.5
2016-01-06,110000.0,71157.91666666667,3053.417048861517,0.8,0.5
2016-01-07,110000.0,71362.5,3053.99853604516,0.9,0.4166666666666667
2016-01-08,110000.0,71567.08333333333,3054.5800232288034,1.0,0.33333333333333337
2016-01-09,110000.0,71771.66666666667,3055.1615104124467,1.3,0.25
