Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,71000.0,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,71000.0,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,71000.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,71000.0,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,71000.0,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,71000.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,71166.66666666667,161594.5223076925,6994.6,2.7,5.69
1996-01-08,71333.33333333333,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,71500.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,71833.33333333333,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,72166.66666666667,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,72500.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,73000.0,168929.54,7014.8,2.6,5.94
1997-01-02,73500.0,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,74000.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,74333.33333333333,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,74666.66666666667,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,75000.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,75833.33333333333,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,76666.66666666667,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,77500.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,78300.0,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,79100.0,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,79900.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,80266.66666666667,195741.0,7065.5,1.8,7.25
1998-01-02,80633.33333333333,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,81000.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,82166.66666666667,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,83333.33333333333,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,84500.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,85166.66666666667,201209.0,7109.7,1.7,7.5
1998-01-08,85833.33333333333,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,86500.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,87333.33333333333,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,88166.66666666667,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,89000.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,89666.66666666667,206677.0,7153.9,2.0,6.0
1999-01-02,90333.33333333333,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,91000.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,92000.0,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,93000.0,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,94000.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,95333.33333333333,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,96666.66666666667,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,98000.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,100316.66666666667,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,102633.33333333333,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,104950.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,106466.66666666667,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,107983.33333333333,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,109500.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,111333.33333333333,224447.0,7258.125,0.9,5.75
2000-01-05,113166.66666666667,224991.0,7265.266666666666,1.0,5.75
2000-01-06,115000.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,116666.66666666667,226079.0,7279.549999999999,1.2,5.75
2000-01-08,118333.33333333333,226623.0,7286.691666666667,1.0,5.75
2000-01-09,120000.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,121650.0,227711.0,7300.974999999999,1.4,5.75
2000-01-11,123300.0,228255.0,7308.116666666667,1.5,5.75
2000-01-12,124950.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,125966.66666666667,229343.0,7322.4,1.2,5.75
2001-01-02,126983.33333333333,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,128000.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,129000.0,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,130000.0,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,131000.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,132666.66666666666,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,134333.33333333334,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,136000.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,137333.33333333334,235689.5,7363.125,1.6,4.5
2001-01-11,138666.66666666666,236394.66666666666,7367.65,1.2,4.25
2001-01-12,140000.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,141650.0,237805.0,7376.7,1.8,4.0
2002-01-02,143300.0,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,144950.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,146633.33333333334,241213.25,7381.225,1.6,4.0
2002-01-05,148316.66666666666,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,150000.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,153000.0,244621.5,7385.75,1.4,4.0
2002-01-08,156000.0,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,159000.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,161650.0,248029.75,7390.275,1.5,4.0
2002-01-11,164300.0,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,166950.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,169633.33333333334,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,172316.66666666666,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,175000.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,177000.0,254584.5,7404.275,1.5,3.75
2003-01-05,179000.0,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,181000.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,183000.0,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,185000.0,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,187000.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,188333.33333333334,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,189666.66666666666,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,191000.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,192333.33333333334,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,193666.66666666666,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,195000.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,196666.66666666666,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,198333.33333333334,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,200000.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,201666.66666666666,274139.5,7475.85,1.4,4.416666666666667
