Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,173066.66666666666,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,174033.33333333334,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,175000.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,176666.66666666666,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,178333.33333333334,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,180000.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,183333.33333333334,161594.5223076925,6994.6,2.7,5.69
1996-01-08,186666.66666666666,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,190000.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,191666.66666666666,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,193333.33333333334,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,195000.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,196666.66666666666,168929.54,7014.8,2.6,5.94
1997-01-02,198333.33333333334,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,200000.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,203333.33333333334,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,206666.66666666666,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,210000.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,212583.33333333334,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,215166.66666666666,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,217750.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,220166.66666666666,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,222583.33333333334,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,225000.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,226666.66666666666,195741.0,7065.5,1.8,7.25
1998-01-02,228333.33333333334,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,230000.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,233333.33333333334,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,236666.66666666666,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,240000.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,240333.33333333334,201209.0,7109.7,1.7,7.5
1998-01-08,240666.66666666666,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,241000.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,242333.33333333334,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,243666.66666666666,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,245000.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,246666.66666666666,206677.0,7153.9,2.0,6.0
1999-01-02,248333.33333333334,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,250000.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,250000.0,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,250000.0,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,250000.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,256666.66666666666,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,263333.3333333333,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,270000.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,275000.0,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,280000.0,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,285000.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,288333.3333333333,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,291666.6666666667,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,295000.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,301666.6666666667,224447.0,7258.125,0.9,5.75
2000-01-05,308333.3333333333,224991.0,7265.266666666666,1.0,5.75
2000-01-06,315000.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,320000.0,226079.0,7279.549999999999,1.2,5.75
2000-01-08,325000.0,226623.0,7286.691666666667,1.0,5.75
2000-01-09,330000.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,334333.3333333333,227711.0,7300.974999999999,1.4,5.75
2000-01-11,338666.6666666667,228255.0,7308.116666666667,1.5,5.75
2000-01-12,343000.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,345333.3333333333,229343.0,7322.4,1.2,5.75
2001-01-02,347666.6666666667,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,350000.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,350000.0,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,350000.0,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,350000.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,354991.6666666667,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,359983.3333333333,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,364975.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,364316.6666666667,235689.5,7363.125,1.6,4.5
2001-01-11,363658.3333333333,236394.66666666666,7367.65,1.2,4.25
2001-01-12,363000.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,363666.6666666667,237805.0,7376.7,1.8,4.0
2002-01-02,364333.3333333333,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,365000.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,369325.0,241213.25,7381.225,1.6,4.0
2002-01-05,373650.0,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,377975.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,381983.3333333333,244621.5,7385.75,1.4,4.0
2002-01-08,385991.6666666667,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,390000.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,392666.6666666667,248029.75,7390.275,1.5,4.0
2002-01-11,395333.3333333333,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,398000.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,400333.3333333333,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,402666.6666666667,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,405000.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,403333.3333333333,254584.5,7404.275,1.5,3.75
2003-01-05,401666.6666666667,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,400000.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,398333.3333333333,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,396666.6666666667,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,395000.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,397166.6666666667,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,399333.3333333333,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,401500.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,404250.0,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,407000.0,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,409750.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,416500.0,269081.75,7454.275,1.1,4.083333333333333
