Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,78333.33333333333,127488.816923077,7800.4,2.9,6.233333333333333
1996-01-02,78666.66666666667,128195.57634615392,7804.791666666666,3.0,6.086666666666667
1996-01-03,79000.0,128902.33576923083,7809.183333333333,3.0,5.94
1996-01-04,78833.33333333333,129609.09519230775,7813.575,2.8,5.856666666666667
1996-01-05,78666.66666666667,130315.85461538467,7817.966666666666,2.8,5.773333333333333
1996-01-06,78500.0,131022.61403846159,7822.358333333334,2.8,5.69
1996-01-07,79666.66666666667,131729.3734615385,7826.75,2.7,5.69
1996-01-08,80833.33333333333,132436.13288461542,7831.141666666666,2.7,5.69
1996-01-09,82000.0,133142.89230769232,7835.533333333334,2.7,5.69
1996-01-10,82666.66666666667,133849.65173076926,7839.925,3.0,5.773333333333333
1996-01-11,83333.33333333333,134556.41115384616,7844.316666666667,3.1,5.856666666666667
1996-01-12,84000.0,135263.1705769231,7848.708333333334,2.8,5.94
1997-01-01,84166.66666666667,135969.93,7853.1,2.6,5.94
1997-01-02,84333.33333333333,137153.93583333332,7856.075000000001,2.4,5.94
1997-01-03,84500.0,138337.94166666665,7859.05,2.2,5.94
1997-01-04,84666.66666666667,139521.9475,7862.025000000001,2.1,6.043333333333334
1997-01-05,84833.33333333333,140705.95333333334,7865.0,2.1,6.1466666666666665
1997-01-06,85000.0,141889.95916666667,7867.975,2.1,6.25
1997-01-07,85833.33333333333,143073.965,7870.950000000001,2.4,6.416666666666667
1997-01-08,86666.66666666667,144257.97083333333,7873.925,2.3,6.583333333333333
1997-01-09,87500.0,145441.97666666665,7876.900000000001,2.2,6.75
1997-01-10,87875.0,146625.98249999998,7879.875,2.2,6.916666666666667
1997-01-11,88250.0,147809.98833333334,7882.85,2.1,7.083333333333333
1997-01-12,88625.0,148993.99416666667,7885.825,1.9,7.25
1998-01-01,89066.66666666667,150178.0,7888.8,1.8,7.25
1998-01-02,89508.33333333333,150815.25,7894.325,1.8,7.25
1998-01-03,89950.0,151452.5,7899.85,1.9,7.25
1998-01-04,90800.0,152089.75,7905.375,2.1,7.333333333333333
1998-01-05,91650.0,152727.0,7910.900000000001,2.2,7.416666666666667
1998-01-06,92500.0,153364.25,7916.425,1.9,7.5
1998-01-07,94000.0,154001.5,7921.950000000001,1.7,7.5
1998-01-08,95500.0,154638.75,7927.475,1.6,7.5
1998-01-09,97000.0,155276.0,7933.0,1.7,7.5
1998-01-10,97500.0,155913.25,7938.525000000001,1.6,7.083333333333333
1998-01-11,98000.0,156550.5,7944.05,1.7,6.666666666666667
1998-01-12,98500.0,157187.75,7949.575000000001,1.9,6.25
1999-01-01,100333.33333333333,157825.0,7955.1,2.0,6.0
1999-01-02,102166.66666666667,158477.0,7958.058333333333,1.9,5.75
1999-01-03,104000.0,159129.0,7961.016666666667,2.1,5.5
1999-01-04,104666.66666666667,159781.0,7963.975,2.0,5.333333333333333
1999-01-05,105333.33333333333,160433.0,7966.933333333333,1.7,5.166666666666667
