Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,91333.33333333333,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,91416.66666666667,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,91500.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,91665.83333333333,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,91831.66666666667,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,91997.5,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,92331.66666666667,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,92665.83333333333,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,93000.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,93333.33333333333,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,93666.66666666667,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,94000.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,94324.16666666667,66487.13,4957.6,2.6,5.94
1997-01-02,94648.33333333333,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,94972.5,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,94981.66666666667,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,94990.83333333333,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,95000.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,94908.33333333333,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,94816.66666666667,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,94725.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,94316.66666666667,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,93908.33333333333,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,93500.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,93666.66666666667,70468.0,4957.7,1.8,7.25
1998-01-02,93833.33333333333,70680.25,4957.583333333333,1.8,7.25
1998-01-03,94000.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,94000.0,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,94000.0,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,94000.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,94333.33333333333,71741.5,4957.0,1.7,7.5
1998-01-08,94666.66666666667,71953.75,4956.883333333333,1.6,7.5
1998-01-09,95000.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,95150.0,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,95300.0,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,95450.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,95633.33333333333,73015.0,4956.3,2.0,6.0
1999-01-02,95816.66666666667,73229.75,4956.491666666667,1.9,5.75
1999-01-03,96000.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,96000.0,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,96000.0,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,96000.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,96833.33333333333,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,97666.66666666667,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,98500.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,99000.0,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,99500.0,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,100000.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,100000.0,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,100000.0,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,100000.0,76173.0,4961.6,1.0,5.75
2000-01-04,101333.33333333333,76463.5,4963.1,0.9,5.75
2000-01-05,102666.66666666667,76754.0,4964.6,1.0,5.75
2000-01-06,104000.0,77044.5,4966.1,1.2,5.75
2000-01-07,104332.5,77335.0,4967.6,1.2,5.75
2000-01-08,104665.0,77625.5,4969.1,1.0,5.75
2000-01-09,104997.5,77916.0,4970.6,1.3,5.75
