Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,221650.0,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,223325.0,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,225000.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,225000.0,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,225000.0,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,225000.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,231833.33333333334,161594.5223076925,6994.6,2.7,5.69
1996-01-08,238666.66666666666,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,245500.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,244333.33333333334,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,243166.66666666666,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,242000.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,242583.33333333334,168929.54,7014.8,2.6,5.94
1997-01-02,243166.66666666666,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,243750.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,250333.33333333334,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,256916.66666666666,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,263500.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,269000.0,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,274500.0,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,280000.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,284583.3333333333,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,289166.6666666667,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,293750.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,300833.3333333333,195741.0,7065.5,1.8,7.25
1998-01-02,307916.6666666667,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,315000.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,316166.6666666667,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,317333.3333333333,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,318500.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,320666.6666666667,201209.0,7109.7,1.7,7.5
1998-01-08,322833.3333333333,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,325000.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,329833.3333333333,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,334666.6666666667,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,339500.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,343000.0,206677.0,7153.9,2.0,6.0
1999-01-02,346500.0,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,350000.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,355000.0,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,360000.0,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,365000.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,363666.6666666667,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,362333.3333333333,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,361000.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,365666.6666666667,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,370333.3333333333,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,375000.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,381666.6666666667,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,388333.3333333333,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,395000.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,396666.6666666667,224447.0,7258.125,0.9,5.75
2000-01-05,398333.3333333333,224991.0,7265.266666666666,1.0,5.75
2000-01-06,400000.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,412825.0,226079.0,7279.549999999999,1.2,5.75
2000-01-08,425650.0,226623.0,7286.691666666667,1.0,5.75
2000-01-09,438475.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,445650.0,227711.0,7300.974999999999,1.4,5.75
2000-01-11,452825.0,228255.0,7308.116666666667,1.5,5.75
2000-01-12,460000.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,455000.0,229343.0,7322.4,1.2,5.75
2001-01-02,450000.0,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,445000.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,446500.0,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,448000.0,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,449500.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,461333.3333333333,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,473166.6666666667,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,485000.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,489999.8333333333,235689.5,7363.125,1.6,4.5
2001-01-11,494999.6666666667,236394.66666666666,7367.65,1.2,4.25
2001-01-12,499999.5,237099.83333333334,7372.175,1.4,4.0
2002-01-01,513333.0,237805.0,7376.7,1.8,4.0
2002-01-02,526666.5,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,540000.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,539545.6666666666,241213.25,7381.225,1.6,4.0
2002-01-05,539091.3333333334,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,538637.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,525757.8333333334,244621.5,7385.75,1.4,4.0
2002-01-08,512878.6666666667,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,499999.5,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,499999.6666666667,248029.75,7390.275,1.5,4.0
2002-01-11,499999.8333333333,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,500000.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,506666.6666666667,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,513333.3333333333,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,520000.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,537500.0,254584.5,7404.275,1.5,3.75
2003-01-05,555000.0,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,572500.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,574166.6666666666,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,575833.3333333334,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,577500.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,588333.3333333334,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,599166.6666666666,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,610000.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,616666.6666666666,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,623333.3333333334,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,630000.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,636666.6666666666,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,643333.3333333334,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,650000.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,666666.6666666666,274139.5,7475.85,1.4,4.416666666666667
2004-01-08,683333.3333333334,275825.4166666667,7483.041666666667,1.4,4.583333333333333
2004-01-09,700000.0,277511.3333333333,7490.233333333334,1.2,4.75
2004-01-10,703333.3333333334,279197.25,7497.425,1.3,4.75
2004-01-11,706666.6666666666,280883.1666666667,7504.616666666667,1.5,4.75
2004-01-12,710000.0,282569.0833333333,7511.808333333333,1.8,4.75
2005-01-01,711666.6666666666,284255.0,7519.0,1.7,4.75
2005-01-02,713333.3333333334,285704.5833333333,7525.566666666667,1.7,4.75
2005-01-03,715000.0,287154.1666666667,7532.133333333333,2.0,4.75
2005-01-04,718333.3333333334,288603.75,7538.7,1.9,4.75
2005-01-05,721666.6666666666,290053.3333333333,7545.266666666666,1.9,4.75
2005-01-06,725000.0,291502.9166666667,7551.833333333333,2.0,4.75
2005-01-07,731291.6666666666,292952.5,7558.4,2.3,4.666666666666667
2005-01-08,737583.3333333334,294402.0833333333,7564.966666666667,2.4,4.583333333333333
2005-01-09,743875.0,295851.6666666667,7571.533333333334,2.5,4.5
2005-01-10,739250.0,297301.25,7578.1,2.4,4.5
2005-01-11,734625.0,298750.8333333333,7584.666666666667,2.2,4.5
2005-01-12,730000.0,300200.4166666667,7591.233333333334,2.1,4.5
2006-01-01,740833.3333333334,301650.0,7597.8,2.2,4.5
2006-01-02,751666.6666666666,303794.25,7605.775000000001,2.2,4.5
2006-01-03,762500.0,305938.5,7613.75,2.0,4.5
2006-01-04,758333.3333333334,308082.75,7621.725,2.2,4.5
2006-01-05,754166.6666666666,310227.0,7629.7,2.4,4.5
2006-01-06,750000.0,312371.25,7637.675,2.6,4.5
2006-01-07,750000.0,314515.5,7645.65,2.5,4.583333333333333
2006-01-08,750000.0,316659.75,7653.625,2.6,4.666666666666667
2006-01-09,750000.0,318804.0,7661.6,2.5,4.75
2006-01-10,750000.0,320948.25,7669.575,2.5,4.833333333333333
2006-01-11,750000.0,323092.5,7677.55,2.8,4.916666666666667
2006-01-12,750000.0,325236.75,7685.525,2.9,5.0
2007-01-01,759166.6666666666,327381.0,7693.5,2.7,5.083333333333333
2007-01-02,768333.3333333334,327982.75,7703.391666666666,2.7,5.166666666666667
2007-01-03,777500.0,328584.5,7713.283333333333,2.9,5.25
2007-01-04,801670.0,329186.25,7723.175,2.7,5.333333333333333
2007-01-05,825840.0,329788.0,7733.066666666667,2.5,5.416666666666667
2007-01-06,850010.0,330389.75,7742.958333333333,2.5,5.5
2007-01-07,869840.0,330991.5,7752.85,2.0,5.583333333333333
2007-01-08,889670.0,331593.25,7762.741666666667,2.0,5.666666666666667
2007-01-09,909500.0,332195.0,7772.633333333333,2.0,5.75
2007-01-10,927166.6666666666,332796.75,7782.525,2.3,5.666666666666667
2007-01-11,944833.3333333334,333398.5,7792.416666666666,2.2,5.583333333333333
2007-01-12,962500.0,334000.25,7802.308333333333,2.3,5.5
2008-01-01,965000.0,334602.0,7812.2,2.4,5.416666666666667
2008-01-02,967500.0,334006.4166666667,7823.066666666667,2.6,5.333333333333333
2008-01-03,970000.0,333410.8333333333,7833.933333333333,2.6,5.25
2008-01-04,963333.3333333334,332815.25,7844.8,3.0,5.166666666666667
2008-01-05,956666.6666666666,332219.6666666667,7855.666666666667,3.3,5.083333333333333
2008-01-06,950000.0,331624.0833333333,7866.533333333334,3.7,5.0
2008-01-07,960833.3333333334,331028.5,7877.4,4.2,5.0
2008-01-08,971666.6666666666,330432.9166666667,7888.266666666666,4.4,5.0
2008-01-09,982500.0,329837.3333333333,7899.133333333333,4.8,5.0
2008-01-10,996666.6666666666,329241.75,7910.0,4.2,4.0
2008-01-11,1010833.3333333334,328646.1666666667,7920.866666666667,3.8,3.0
2008-01-12,1025000.0,328050.5833333333,7931.733333333334,3.0,2.0
2009-01-01,1017833.3333333334,327455.0,7942.6,2.9,1.5
2009-01-02,1010666.6666666666,328800.4166666667,7952.508333333333,3.1,1.0
2009-01-03,1003500.0,330145.8333333333,7962.416666666667,2.8,0.5
2009-01-04,996500.0,331491.25,7972.325000000001,2.3,0.5
2009-01-05,989500.0,332836.6666666667,7982.233333333334,2.1,0.5
