Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,73000.0,51443.1261538461,4108.1,2.9,6.233333333333333
1996-01-02,73000.0,51717.327307692256,4109.116666666667,3.0,6.086666666666667
1996-01-03,73000.0,51991.528461538415,4110.133333333333,3.0,5.94
1996-01-04,73658.33333333333,52265.729615384575,4111.150000000001,2.8,5.856666666666667
1996-01-05,74316.66666666667,52539.930769230734,4112.166666666667,2.8,5.773333333333333
1996-01-06,74975.0,52814.13192307689,4113.183333333333,2.8,5.69
1996-01-07,74983.33333333333,53088.33307692305,4114.200000000001,2.7,5.69
1996-01-08,74991.66666666667,53362.534230769204,4115.216666666667,2.7,5.69
1996-01-09,75000.0,53636.735384615364,4116.233333333334,2.7,5.69
1996-01-10,75000.0,53910.93653846152,4117.25,3.0,5.773333333333333
1996-01-11,75000.0,54185.13769230768,4118.266666666666,3.1,5.856666666666667
1996-01-12,75000.0,54459.33884615384,4119.283333333334,2.8,5.94
1997-01-01,75333.33333333333,54733.54,4120.3,2.6,5.94
1997-01-02,75666.66666666667,55242.16166666667,4121.325,2.4,5.94
1997-01-03,76000.0,55750.78333333333,4122.35,2.2,5.94
1997-01-04,76166.66666666667,56259.405,4123.375,2.1,6.043333333333334
1997-01-05,76333.33333333333,56768.026666666665,4124.400000000001,2.1,6.1466666666666665
1997-01-06,76500.0,57276.64833333333,4125.425,2.1,6.25
1997-01-07,76666.66666666667,57785.270000000004,4126.450000000001,2.4,6.416666666666667
1997-01-08,76833.33333333333,58293.89166666667,4127.475,2.3,6.583333333333333
1997-01-09,77000.0,58802.513333333336,4128.5,2.2,6.75
1997-01-10,77333.33333333333,59311.135,4129.525000000001,2.2,6.916666666666667
1997-01-11,77666.66666666667,59819.75666666667,4130.55,2.1,7.083333333333333
1997-01-12,78000.0,60328.378333333334,4131.575000000001,1.9,7.25
1998-01-01,78316.66666666667,60837.0,4132.6,1.8,7.25
1998-01-02,78633.33333333333,61002.583333333336,4134.25,1.8,7.25
1998-01-03,78950.0,61168.166666666664,4135.900000000001,1.9,7.25
1998-01-04,79283.33333333333,61333.75,4137.55,2.1,7.333333333333333
1998-01-05,79616.66666666667,61499.333333333336,4139.2,2.2,7.416666666666667
1998-01-06,79950.0,61664.916666666664,4140.85,1.9,7.5
1998-01-07,80633.33333333333,61830.5,4142.5,1.7,7.5
1998-01-08,81316.66666666667,61996.083333333336,4144.15,1.6,7.5
1998-01-09,82000.0,62161.666666666664,4145.8,1.7,7.5
1998-01-10,82500.0,62327.25,4147.45,1.6,7.083333333333333
1998-01-11,83000.0,62492.833333333336,4149.099999999999,1.7,6.666666666666667
1998-01-12,83500.0,62658.416666666664,4150.75,1.9,6.25
1999-01-01,83666.66666666667,62824.0,4152.4,2.0,6.0
1999-01-02,83833.33333333333,63023.5,4153.708333333333,1.9,5.75
1999-01-03,84000.0,63223.0,4155.016666666666,2.1,5.5
1999-01-04,84650.0,63422.5,4156.325,2.0,5.333333333333333
1999-01-05,85300.0,63622.0,4157.633333333333,1.7,5.166666666666667
1999-01-06,85950.0,63821.5,4158.941666666667,1.8,5.0
1999-01-07,86466.66666666667,64021.0,4160.25,1.7,5.083333333333333
1999-01-08,86983.33333333333,64220.5,4161.558333333333,1.6,5.166666666666667
1999-01-09,87500.0,64420.0,4162.866666666667,1.6,5.25
1999-01-10,87650.0,64619.5,4164.175,1.5,5.333333333333333
1999-01-11,87800.0,64819.0,4165.483333333334,1.5,5.416666666666667
1999-01-12,87950.0,65018.5,4166.791666666667,1.5,5.5
2000-01-01,88616.66666666667,65218.0,4168.1,1.2,5.583333333333333
2000-01-02,89283.33333333333,65436.333333333336,4169.891666666667,1.2,5.666666666666667
2000-01-03,89950.0,65654.66666666667,4171.683333333333,1.0,5.75
2000-01-04,90300.0,65873.0,4173.475,0.9,5.75
2000-01-05,90650.0,66091.33333333333,4175.266666666667,1.0,5.75
2000-01-06,91000.0,66309.66666666667,4177.058333333333,1.2,5.75
2000-01-07,91666.66666666667,66528.0,4178.85,1.2,5.75
2000-01-08,92333.33333333333,66746.33333333333,4180.641666666667,1.0,5.75
2000-01-09,93000.0,66964.66666666667,4182.433333333333,1.3,5.75
2000-01-10,94000.0,67183.0,4184.225,1.4,5.75
2000-01-11,95000.0,67401.33333333333,4186.016666666667,1.5,5.75
2000-01-12,96000.0,67619.66666666667,4187.808333333333,1.2,5.75
2001-01-01,96000.0,67838.0,4189.6,1.2,5.75
2001-01-02,96000.0,68072.0,4192.283333333334,1.2,5.75
2001-01-03,96000.0,68306.0,4194.966666666667,1.3,5.75
2001-01-04,97150.0,68540.0,4197.650000000001,1.5,5.583333333333333
2001-01-05,98300.0,68774.0,4200.333333333334,1.9,5.416666666666667
2001-01-06,99450.0,69008.0,4203.016666666667,1.9,5.25
2001-01-07,100301.66666666667,69242.0,4205.700000000001,1.7,5.083333333333333
2001-01-08,101153.33333333333,69476.0,4208.383333333333,2.1,4.916666666666667
2001-01-09,102005.0,69710.0,4211.066666666667,1.7,4.75
2001-01-10,103640.83333333333,69944.0,4213.75,1.6,4.5
2001-01-11,105276.66666666667,70178.0,4216.433333333333,1.2,4.25
2001-01-12,106912.5,70412.0,4219.116666666667,1.4,4.0
2002-01-01,107941.66666666667,70646.0,4221.8,1.8,4.0
2002-01-02,108970.83333333333,70947.33333333333,4224.575,1.7,4.0
2002-01-03,110000.0,71248.66666666667,4227.35,1.7,4.0
2002-01-04,111666.66666666667,71550.0,4230.125,1.6,4.0
2002-01-05,113333.33333333333,71851.33333333333,4232.900000000001,1.2,4.0
2002-01-06,115000.0,72152.66666666667,4235.675,1.1,4.0
2002-01-07,117315.83333333333,72454.0,4238.450000000001,1.4,4.0
2002-01-08,119631.66666666667,72755.33333333333,4241.225,1.3,4.0
2002-01-09,121947.5,73056.66666666667,4244.0,1.2,4.0
2002-01-10,124206.66666666667,73358.0,4246.775000000001,1.5,4.0
2002-01-11,126465.83333333333,73659.33333333333,4249.55,1.6,4.0
2002-01-12,128725.0,73960.66666666667,4252.325000000001,1.7,4.0
2003-01-01,130816.66666666667,74262.0,4255.1,1.4,3.9166666666666665
2003-01-02,132908.33333333334,74569.33333333333,4258.133333333333,1.6,3.8333333333333335
2003-01-03,135000.0,74876.66666666667,4261.166666666667,1.6,3.75
2003-01-04,138333.33333333334,75184.0,4264.200000000001,1.5,3.75
2003-01-05,141666.66666666666,75491.33333333333,4267.233333333334,1.3,3.75
2003-01-06,145000.0,75798.66666666667,4270.266666666666,1.2,3.75
2003-01-07,147666.66666666666,76106.0,4273.3,1.3,3.6666666666666665
2003-01-08,150333.33333333334,76413.33333333333,4276.333333333334,1.4,3.5833333333333335
2003-01-09,153000.0,76720.66666666667,4279.366666666667,1.3,3.5
2003-01-10,155916.66666666666,77028.0,4282.4,1.3,3.5833333333333335
2003-01-11,158833.33333333334,77335.33333333333,4285.433333333333,1.3,3.6666666666666665
2003-01-12,161750.0,77642.66666666667,4288.466666666667,1.3,3.75
2004-01-01,162500.0,77950.0,4291.5,1.5,3.8333333333333335
2004-01-02,163250.0,78290.25,4294.633333333333,1.4,3.9166666666666665
2004-01-03,164000.0,78630.5,4297.766666666666,1.2,4.0
2004-01-04,165983.33333333334,78970.75,4300.9,1.1,4.083333333333333
2004-01-05,167966.66666666666,79311.0,4304.033333333334,1.4,4.166666666666667
2004-01-06,169950.0,79651.25,4307.166666666667,1.5,4.25
2004-01-07,171633.33333333334,79991.5,4310.3,1.4,4.416666666666667
2004-01-08,173316.66666666666,80331.75,4313.433333333333,1.4,4.583333333333333
2004-01-09,175000.0,80672.0,4316.566666666667,1.2,4.75
2004-01-10,177500.0,81012.25,4319.700000000001,1.3,4.75
2004-01-11,180000.0,81352.5,4322.833333333334,1.5,4.75
2004-01-12,182500.0,81692.75,4325.966666666667,1.8,4.75
2005-01-01,184833.33333333334,82033.0,4329.1,1.7,4.75
2005-01-02,187166.66666666666,82405.0,4332.233333333334,1.7,4.75
2005-01-03,189500.0,82777.0,4335.366666666667,2.0,4.75
2005-01-04,190650.0,83149.0,4338.5,1.9,4.75
2005-01-05,191800.0,83521.0,4341.633333333333,1.9,4.75
2005-01-06,192950.0,83893.0,4344.766666666666,2.0,4.75
2005-01-07,193300.0,84265.0,4347.9,2.3,4.666666666666667
2005-01-08,193650.0,84637.0,4351.033333333334,2.4,4.583333333333333
2005-01-09,194000.0,85009.0,4354.166666666667,2.5,4.5
2005-01-10,194333.33333333334,85381.0,4357.3,2.4,4.5
2005-01-11,194666.66666666666,85753.0,4360.433333333333,2.2,4.5
2005-01-12,195000.0,86125.0,4363.566666666667,2.1,4.5
2006-01-01,194666.66666666666,86497.0,4366.7,2.2,4.5
2006-01-02,194333.33333333334,86806.5,4369.875,2.2,4.5
2006-01-03,194000.0,87116.0,4373.05,2.0,4.5
2006-01-04,196000.0,87425.5,4376.225,2.2,4.5
2006-01-05,198000.0,87735.0,4379.4,2.4,4.5
2006-01-06,200000.0,88044.5,4382.575,2.6,4.5
2006-01-07,202333.33333333334,88354.0,4385.75,2.5,4.583333333333333
2006-01-08,204666.66666666666,88663.5,4388.925,2.6,4.666666666666667
2006-01-09,207000.0,88973.0,4392.1,2.5,4.75
