Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,50333.333333333336,64410.8307692308,4793.1,2.9,6.233333333333333
1996-01-02,50666.666666666664,64771.45320512824,4795.950000000001,3.0,6.086666666666667
1996-01-03,51000.0,65132.075641025665,4798.8,3.0,5.94
1996-01-04,51125.0,65492.6980769231,4801.650000000001,2.8,5.856666666666667
1996-01-05,51250.0,65853.32051282053,4804.5,2.8,5.773333333333333
1996-01-06,51375.0,66213.94294871797,4807.35,2.8,5.69
1996-01-07,51916.666666666664,66574.5653846154,4810.200000000001,2.7,5.69
1996-01-08,52458.333333333336,66935.18782051283,4813.05,2.7,5.69
1996-01-09,53000.0,67295.81025641027,4815.900000000001,2.7,5.69
1996-01-10,52833.333333333336,67656.4326923077,4818.75,3.0,5.773333333333333
1996-01-11,52666.666666666664,68017.05512820513,4821.6,3.1,5.856666666666667
1996-01-12,52500.0,68377.67756410257,4824.45,2.8,5.94
1997-01-01,52333.333333333336,68738.3,4827.3,2.6,5.94
1997-01-02,52166.666666666664,69236.10833333334,4829.150000000001,2.4,5.94
1997-01-03,52000.0,69733.91666666667,4831.0,2.2,5.94
1997-01-04,52241.666666666664,70231.725,4832.85,2.1,6.043333333333334
1997-01-05,52483.333333333336,70729.53333333334,4834.7,2.1,6.1466666666666665
1997-01-06,52725.0,71227.34166666667,4836.55,2.1,6.25
1997-01-07,53466.666666666664,71725.15,4838.4,2.4,6.416666666666667
1997-01-08,54208.333333333336,72222.95833333333,4840.25,2.3,6.583333333333333
1997-01-09,54950.0,72720.76666666666,4842.1,2.2,6.75
1997-01-10,55466.666666666664,73218.575,4843.95,2.2,6.916666666666667
1997-01-11,55983.333333333336,73716.38333333333,4845.8,2.1,7.083333333333333
1997-01-12,56500.0,74214.19166666667,4847.65,1.9,7.25
1998-01-01,57000.0,74712.0,4849.5,1.8,7.25
1998-01-02,57500.0,75033.33333333333,4852.125,1.8,7.25
1998-01-03,58000.0,75354.66666666667,4854.75,1.9,7.25
1998-01-04,58217.166666666664,75676.0,4857.375,2.1,7.333333333333333
1998-01-05,58434.333333333336,75997.33333333333,4860.0,2.2,7.416666666666667
1998-01-06,58651.5,76318.66666666667,4862.625,1.9,7.5
1998-01-07,58767.666666666664,76640.0,4865.25,1.7,7.5
1998-01-08,58883.833333333336,76961.33333333333,4867.875,1.6,7.5
1998-01-09,59000.0,77282.66666666667,4870.5,1.7,7.5
1998-01-10,58916.666666666664,77604.0,4873.125,1.6,7.083333333333333
1998-01-11,58833.333333333336,77925.33333333333,4875.75,1.7,6.666666666666667
1998-01-12,58750.0,78246.66666666667,4878.375,1.9,6.25
1999-01-01,58833.333333333336,78568.0,4881.0,2.0,6.0
1999-01-02,58916.666666666664,78876.25,4884.008333333333,1.9,5.75
1999-01-03,59000.0,79184.5,4887.016666666666,2.1,5.5
1999-01-04,59000.0,79492.75,4890.025,2.0,5.333333333333333
1999-01-05,59000.0,79801.0,4893.033333333334,1.7,5.166666666666667
1999-01-06,59000.0,80109.25,4896.041666666667,1.8,5.0
1999-01-07,59333.333333333336,80417.5,4899.05,1.7,5.083333333333333
1999-01-08,59666.666666666664,80725.75,4902.058333333333,1.6,5.166666666666667
1999-01-09,60000.0,81034.0,4905.066666666667,1.6,5.25
1999-01-10,61333.333333333336,81342.25,4908.075000000001,1.5,5.333333333333333
1999-01-11,62666.666666666664,81650.5,4911.083333333334,1.5,5.416666666666667
1999-01-12,64000.0,81958.75,4914.091666666667,1.5,5.5
2000-01-01,64666.666666666664,82267.0,4917.1,1.2,5.583333333333333
2000-01-02,65333.333333333336,82621.33333333333,4919.291666666667,1.2,5.666666666666667
2000-01-03,66000.0,82975.66666666667,4921.483333333334,1.0,5.75
2000-01-04,67333.33333333333,83330.0,4923.675,0.9,5.75
2000-01-05,68666.66666666667,83684.33333333333,4925.866666666667,1.0,5.75
2000-01-06,70000.0,84038.66666666667,4928.058333333333,1.2,5.75
2000-01-07,71666.66666666667,84393.0,4930.25,1.2,5.75
2000-01-08,73333.33333333333,84747.33333333333,4932.441666666667,1.0,5.75
2000-01-09,75000.0,85101.66666666667,4934.633333333333,1.3,5.75
2000-01-10,76000.0,85456.0,4936.825,1.4,5.75
2000-01-11,77000.0,85810.33333333333,4939.016666666666,1.5,5.75
2000-01-12,78000.0,86164.66666666667,4941.208333333333,1.2,5.75
2001-01-01,78333.33333333333,86519.0,4943.4,1.2,5.75
2001-01-02,78666.66666666667,86838.83333333333,4946.125,1.2,5.75
2001-01-03,79000.0,87158.66666666667,4948.849999999999,1.3,5.75
2001-01-04,79316.66666666667,87478.5,4951.575,1.5,5.583333333333333
2001-01-05,79633.33333333333,87798.33333333333,4954.3,1.9,5.416666666666667
2001-01-06,79950.0,88118.16666666667,4957.025,1.9,5.25
2001-01-07,80950.0,88438.0,4959.75,1.7,5.083333333333333
2001-01-08,81950.0,88757.83333333333,4962.475,2.1,4.916666666666667
2001-01-09,82950.0,89077.66666666667,4965.2,1.7,4.75
2001-01-10,83966.66666666667,89397.5,4967.925,1.6,4.5
2001-01-11,84983.33333333333,89717.33333333333,4970.650000000001,1.2,4.25
2001-01-12,86000.0,90037.16666666667,4973.375,1.4,4.0
2002-01-01,86908.33333333333,90357.0,4976.1,1.8,4.0
2002-01-02,87816.66666666667,90767.75,4978.650000000001,1.7,4.0
2002-01-03,88725.0,91178.5,4981.200000000001,1.7,4.0
2002-01-04,89983.33333333333,91589.25,4983.75,1.6,4.0
2002-01-05,91241.66666666667,92000.0,4986.3,1.2,4.0
2002-01-06,92500.0,92410.75,4988.85,1.1,4.0
2002-01-07,94833.33333333333,92821.5,4991.4,1.4,4.0
2002-01-08,97166.66666666667,93232.25,4993.95,1.3,4.0
2002-01-09,99500.0,93643.0,4996.5,1.2,4.0
2002-01-10,102833.33333333333,94053.75,4999.05,1.5,4.0
2002-01-11,106166.66666666667,94464.5,5001.6,1.6,4.0
2002-01-12,109500.0,94875.25,5004.15,1.7,4.0
2003-01-01,113000.0,95286.0,5006.7,1.4,3.9166666666666665
2003-01-02,116500.0,95735.41666666667,5009.333333333333,1.6,3.8333333333333335
2003-01-03,120000.0,96184.83333333333,5011.966666666666,1.6,3.75
2003-01-04,121650.0,96634.25,5014.6,1.5,3.75
2003-01-05,123300.0,97083.66666666667,5017.233333333334,1.3,3.75
2003-01-06,124950.0,97533.08333333333,5019.866666666667,1.2,3.75
2003-01-07,126616.66666666667,97982.5,5022.5,1.3,3.6666666666666665
2003-01-08,128283.33333333333,98431.91666666667,5025.133333333333,1.4,3.5833333333333335
2003-01-09,129950.0,98881.33333333333,5027.766666666666,1.3,3.5
2003-01-10,131633.33333333334,99330.75,5030.4,1.3,3.5833333333333335
2003-01-11,133316.66666666666,99780.16666666667,5033.033333333334,1.3,3.6666666666666665
2003-01-12,135000.0,100229.58333333333,5035.666666666667,1.3,3.75
2004-01-01,135575.0,100679.0,5038.3,1.5,3.8333333333333335
2004-01-02,136150.0,101070.25,5042.283333333334,1.4,3.9166666666666665
2004-01-03,136725.0,101461.5,5046.266666666666,1.2,4.0
2004-01-04,138816.66666666666,101852.75,5050.25,1.1,4.083333333333333
2004-01-05,140908.33333333334,102244.0,5054.233333333334,1.4,4.166666666666667
2004-01-06,143000.0,102635.25,5058.216666666667,1.5,4.25
2004-01-07,147000.0,103026.5,5062.200000000001,1.4,4.416666666666667
2004-01-08,151000.0,103417.75,5066.183333333333,1.4,4.583333333333333
2004-01-09,155000.0,103809.0,5070.166666666667,1.2,4.75
2004-01-10,156666.66666666666,104200.25,5074.150000000001,1.3,4.75
2004-01-11,158333.33333333334,104591.5,5078.133333333333,1.5,4.75
2004-01-12,160000.0,104982.75,5082.116666666667,1.8,4.75
2005-01-01,161291.66666666666,105374.0,5086.1,1.7,4.75
2005-01-02,162583.33333333334,105788.83333333333,5088.908333333334,1.7,4.75
2005-01-03,163875.0,106203.66666666667,5091.716666666667,2.0,4.75
2005-01-04,164241.66666666666,106618.5,5094.525000000001,1.9,4.75
2005-01-05,164608.33333333334,107033.33333333333,5097.333333333334,1.9,4.75
2005-01-06,164975.0,107448.16666666667,5100.141666666667,2.0,4.75
2005-01-07,164983.33333333334,107863.0,5102.950000000001,2.3,4.666666666666667
2005-01-08,164991.66666666666,108277.83333333333,5105.758333333333,2.4,4.583333333333333
2005-01-09,165000.0,108692.66666666667,5108.566666666667,2.5,4.5
2005-01-10,164408.33333333334,109107.5,5111.375,2.4,4.5
2005-01-11,163816.66666666666,109522.33333333333,5114.183333333333,2.2,4.5
2005-01-12,163225.0,109937.16666666667,5116.991666666667,2.1,4.5
2006-01-01,163150.0,110352.0,5119.8,2.2,4.5
2006-01-02,163075.0,110737.75,5124.025000000001,2.2,4.5
2006-01-03,163000.0,111123.5,5128.25,2.0,4.5
2006-01-04,163333.33333333334,111509.25,5132.475,2.2,4.5
2006-01-05,163666.66666666666,111895.0,5136.7,2.4,4.5
2006-01-06,164000.0,112280.75,5140.925,2.6,4.5
2006-01-07,164333.33333333334,112666.5,5145.15,2.5,4.583333333333333
2006-01-08,164666.66666666666,113052.25,5149.375,2.6,4.666666666666667
2006-01-09,165000.0,113438.0,5153.6,2.5,4.75
2006-01-10,166666.66666666666,113823.75,5157.825,2.5,4.833333333333333
2006-01-11,168333.33333333334,114209.5,5162.05,2.8,4.916666666666667
2006-01-12,170000.0,114595.25,5166.275,2.9,5.0
2007-01-01,171650.0,114981.0,5170.5,2.7,5.083333333333333
2007-01-02,173300.0,115383.0,5173.375,2.7,5.166666666666667
2007-01-03,174950.0,115785.0,5176.25,2.9,5.25
2007-01-04,175966.66666666666,116187.0,5179.125,2.7,5.333333333333333
2007-01-05,176983.33333333334,116589.0,5182.0,2.5,5.416666666666667
2007-01-06,178000.0,116991.0,5184.875,2.5,5.5
2007-01-07,180333.33333333334,117393.0,5187.75,2.0,5.583333333333333
2007-01-08,182666.66666666666,117795.0,5190.625,2.0,5.666666666666667
2007-01-09,185000.0,118197.0,5193.5,2.0,5.75
2007-01-10,186333.33333333334,118599.0,5196.375,2.3,5.666666666666667
2007-01-11,187666.66666666666,119001.0,5199.25,2.2,5.583333333333333
2007-01-12,189000.0,119403.0,5202.125,2.3,5.5
2008-01-01,189000.0,119805.0,5205.0,2.4,5.416666666666667
2008-01-02,189000.0,119592.66666666667,5206.816666666667,2.6,5.333333333333333
2008-01-03,189000.0,119380.33333333333,5208.633333333333,2.6,5.25
2008-01-04,189316.66666666666,119168.0,5210.45,3.0,5.166666666666667
2008-01-05,189633.33333333334,118955.66666666667,5212.266666666666,3.3,5.083333333333333
2008-01-06,189950.0,118743.33333333333,5214.083333333333,3.7,5.0
2008-01-07,188300.0,118531.0,5215.9,4.2,5.0
2008-01-08,186650.0,118318.66666666667,5217.716666666667,4.4,5.0
2008-01-09,185000.0,118106.33333333333,5219.533333333334,4.8,5.0
2008-01-10,181666.66666666666,117894.0,5221.35,4.2,4.0
2008-01-11,178333.33333333334,117681.66666666667,5223.166666666667,3.8,3.0
