Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,48666.666666666664,30399.0153846154,2576.5,2.9,6.233333333333333
1996-01-02,48833.333333333336,30520.11743589745,2575.8,3.0,6.086666666666667
1996-01-03,49000.0,30641.2194871795,2575.1,3.0,5.94
1996-01-04,49333.333333333336,30762.32153846155,2574.4,2.8,5.856666666666667
1996-01-05,49666.666666666664,30883.4235897436,2573.7,2.8,5.773333333333333
1996-01-06,50000.0,31004.52564102565,2573.0,2.8,5.69
1996-01-07,50000.0,31125.627692307702,2572.3,2.7,5.69
1996-01-08,50000.0,31246.72974358975,2571.6,2.7,5.69
1996-01-09,50000.0,31367.8317948718,2570.9,2.7,5.69
1996-01-10,50333.333333333336,31488.93384615385,2570.2,3.0,5.773333333333333
1996-01-11,50666.666666666664,31610.0358974359,2569.5,3.1,5.856666666666667
1996-01-12,51000.0,31731.13794871795,2568.7999999999997,2.8,5.94
1997-01-01,51250.0,31852.24,2568.1,2.6,5.94
1997-01-02,51500.0,31917.553333333333,2567.5,2.4,5.94
1997-01-03,51750.0,31982.86666666667,2566.9,2.2,5.94
1997-01-04,52000.0,32048.18,2566.3,2.1,6.043333333333334
1997-01-05,52250.0,32113.493333333336,2565.7,2.1,6.1466666666666665
1997-01-06,52500.0,32178.806666666667,2565.1,2.1,6.25
1997-01-07,52833.333333333336,32244.120000000003,2564.5,2.4,6.416666666666667
1997-01-08,53166.666666666664,32309.433333333334,2563.9,2.3,6.583333333333333
1997-01-09,53500.0,32374.746666666666,2563.3,2.2,6.75
1997-01-10,53583.333333333336,32440.06,2562.7,2.2,6.916666666666667
1997-01-11,53666.666666666664,32505.373333333333,2562.1,2.1,7.083333333333333
1997-01-12,53750.0,32570.68666666667,2561.5,1.9,7.25
1998-01-01,54000.0,32636.0,2560.9,1.8,7.25
1998-01-02,54250.0,32694.333333333332,2560.016666666667,1.8,7.25
1998-01-03,54500.0,32752.666666666668,2559.133333333333,1.9,7.25
1998-01-04,54333.333333333336,32811.0,2558.25,2.1,7.333333333333333
1998-01-05,54166.666666666664,32869.333333333336,2557.366666666667,2.2,7.416666666666667
1998-01-06,54000.0,32927.666666666664,2556.4833333333336,1.9,7.5
1998-01-07,54316.666666666664,32986.0,2555.6000000000004,1.7,7.5
1998-01-08,54633.333333333336,33044.333333333336,2554.7166666666667,1.6,7.5
1998-01-09,54950.0,33102.666666666664,2553.8333333333335,1.7,7.5
1998-01-10,54950.0,33161.0,2552.9500000000003,1.6,7.083333333333333
1998-01-11,54950.0,33219.333333333336,2552.0666666666666,1.7,6.666666666666667
1998-01-12,54950.0,33277.666666666664,2551.1833333333334,1.9,6.25
1999-01-01,54800.0,33336.0,2550.3,2.0,6.0
1999-01-02,54650.0,33424.666666666664,2549.7250000000004,1.9,5.75
1999-01-03,54500.0,33513.333333333336,2549.15,2.1,5.5
1999-01-04,54666.666666666664,33602.0,2548.5750000000003,2.0,5.333333333333333
1999-01-05,54833.333333333336,33690.666666666664,2548.0,1.7,5.166666666666667
1999-01-06,55000.0,33779.333333333336,2547.425,1.8,5.0
1999-01-07,55250.0,33868.0,2546.8500000000004,1.7,5.083333333333333
1999-01-08,55500.0,33956.666666666664,2546.275,1.6,5.166666666666667
1999-01-09,55750.0,34045.333333333336,2545.7000000000003,1.6,5.25
1999-01-10,56333.333333333336,34134.0,2545.125,1.5,5.333333333333333
1999-01-11,56916.666666666664,34222.666666666664,2544.55,1.5,5.416666666666667
1999-01-12,57500.0,34311.333333333336,2543.975,1.5,5.5
2000-01-01,57666.666666666664,34400.0,2543.4,1.2,5.583333333333333
2000-01-02,57833.333333333336,34524.75,2543.125,1.2,5.666666666666667
2000-01-03,58000.0,34649.5,2542.85,1.0,5.75
2000-01-04,58500.0,34774.25,2542.575,0.9,5.75
2000-01-05,59000.0,34899.0,2542.3,1.0,5.75
2000-01-06,59500.0,35023.75,2542.025,1.2,5.75
2000-01-07,59575.0,35148.5,2541.75,1.2,5.75
2000-01-08,59650.0,35273.25,2541.475,1.0,5.75
2000-01-09,59725.0,35398.0,2541.2,1.3,5.75
2000-01-10,59815.833333333336,35522.75,2540.925,1.4,5.75
2000-01-11,59906.666666666664,35647.5,2540.65,1.5,5.75
2000-01-12,59997.5,35772.25,2540.375,1.2,5.75
2001-01-01,59998.333333333336,35897.0,2540.1,1.2,5.75
2001-01-02,59999.166666666664,36088.0,2540.1416666666664,1.2,5.75
2001-01-03,60000.0,36279.0,2540.1833333333334,1.3,5.75
2001-01-04,61000.0,36470.0,2540.225,1.5,5.583333333333333
2001-01-05,62000.0,36661.0,2540.2666666666664,1.9,5.416666666666667
2001-01-06,63000.0,36852.0,2540.3083333333334,1.9,5.25
2001-01-07,63666.666666666664,37043.0,2540.35,1.7,5.083333333333333
2001-01-08,64333.333333333336,37234.0,2540.3916666666664,2.1,4.916666666666667
2001-01-09,65000.0,37425.0,2540.4333333333334,1.7,4.75
2001-01-10,65666.66666666667,37616.0,2540.475,1.6,4.5
2001-01-11,66333.33333333333,37807.0,2540.5166666666664,1.2,4.25
2001-01-12,67000.0,37998.0,2540.5583333333334,1.4,4.0
2002-01-01,67666.66666666667,38189.0,2540.6,1.8,4.0
2002-01-02,68333.33333333333,38365.5,2540.5916666666667,1.7,4.0
2002-01-03,69000.0,38542.0,2540.583333333333,1.7,4.0
2002-01-04,69666.66666666667,38718.5,2540.575,1.6,4.0
2002-01-05,70333.33333333333,38895.0,2540.5666666666666,1.2,4.0
2002-01-06,71000.0,39071.5,2540.5583333333334,1.1,4.0
2002-01-07,72666.66666666667,39248.0,2540.55,1.4,4.0
2002-01-08,74333.33333333333,39424.5,2540.5416666666665,1.3,4.0
2002-01-09,76000.0,39601.0,2540.5333333333333,1.2,4.0
2002-01-10,77666.66666666667,39777.5,2540.525,1.5,4.0
2002-01-11,79333.33333333333,39954.0,2540.5166666666664,1.6,4.0
2002-01-12,81000.0,40130.5,2540.508333333333,1.7,4.0
2003-01-01,82666.66666666667,40307.0,2540.5,1.4,3.9166666666666665
2003-01-02,84333.33333333333,40572.5,2540.5,1.6,3.8333333333333335
2003-01-03,86000.0,40838.0,2540.5,1.6,3.75
2003-01-04,87866.66666666667,41103.5,2540.5,1.5,3.75
2003-01-05,89733.33333333333,41369.0,2540.5,1.3,3.75
2003-01-06,91600.0,41634.5,2540.5,1.2,3.75
2003-01-07,93066.66666666667,41900.0,2540.5,1.3,3.6666666666666665
2003-01-08,94533.33333333333,42165.5,2540.5,1.4,3.5833333333333335
2003-01-09,96000.0,42431.0,2540.5,1.3,3.5
2003-01-10,99000.0,42696.5,2540.5,1.3,3.5833333333333335
2003-01-11,102000.0,42962.0,2540.5,1.3,3.6666666666666665
2003-01-12,105000.0,43227.5,2540.5,1.3,3.75
2004-01-01,108650.0,43493.0,2540.5,1.5,3.8333333333333335
2004-01-02,112300.0,43656.083333333336,2541.05,1.4,3.9166666666666665
2004-01-03,115950.0,43819.166666666664,2541.6,1.2,4.0
2004-01-04,118300.0,43982.25,2542.15,1.1,4.083333333333333
2004-01-05,120650.0,44145.333333333336,2542.7,1.4,4.166666666666667
2004-01-06,123000.0,44308.416666666664,2543.25,1.5,4.25
2004-01-07,125333.33333333333,44471.5,2543.8,1.4,4.416666666666667
2004-01-08,127666.66666666667,44634.583333333336,2544.35,1.4,4.583333333333333
2004-01-09,130000.0,44797.666666666664,2544.9,1.2,4.75
2004-01-10,131650.0,44960.75,2545.45,1.3,4.75
2004-01-11,133300.0,45123.833333333336,2546.0,1.5,4.75
2004-01-12,134950.0,45286.916666666664,2546.5499999999997,1.8,4.75
2005-01-01,134958.33333333334,45450.0,2547.1,1.7,4.75
2005-01-02,134966.66666666666,45640.833333333336,2547.5583333333334,1.7,4.75
2005-01-03,134975.0,45831.666666666664,2548.0166666666664,2.0,4.75
2005-01-04,134983.33333333334,46022.5,2548.475,1.9,4.75
2005-01-05,134991.66666666666,46213.333333333336,2548.9333333333334,1.9,4.75
2005-01-06,135000.0,46404.166666666664,2549.3916666666664,2.0,4.75
2005-01-07,135000.0,46595.0,2549.85,2.3,4.666666666666667
2005-01-08,135000.0,46785.833333333336,2550.3083333333334,2.4,4.583333333333333
2005-01-09,135000.0,46976.666666666664,2550.7666666666664,2.5,4.5
2005-01-10,136000.0,47167.5,2551.225,2.4,4.5
2005-01-11,137000.0,47358.333333333336,2551.6833333333334,2.2,4.5
2005-01-12,138000.0,47549.166666666664,2552.1416666666664,2.1,4.5
2006-01-01,138833.33333333334,47740.0,2552.6,2.2,4.5
2006-01-02,139666.66666666666,47843.083333333336,2553.383333333333,2.2,4.5
2006-01-03,140500.0,47946.166666666664,2554.1666666666665,2.0,4.5
2006-01-04,142000.0,48049.25,2554.95,2.2,4.5
2006-01-05,143500.0,48152.333333333336,2555.733333333333,2.4,4.5
2006-01-06,145000.0,48255.416666666664,2556.5166666666664,2.6,4.5
2006-01-07,145666.66666666666,48358.5,2557.3,2.5,4.583333333333333
2006-01-08,146333.33333333334,48461.583333333336,2558.0833333333335,2.6,4.666666666666667
2006-01-09,147000.0,48564.666666666664,2558.866666666667,2.5,4.75
2006-01-10,147983.33333333334,48667.75,2559.65,2.5,4.833333333333333
2006-01-11,148966.66666666666,48770.833333333336,2560.4333333333334,2.8,4.916666666666667
2006-01-12,149950.0,48873.916666666664,2561.2166666666667,2.9,5.0
2007-01-01,149550.0,48977.0,2562.0,2.7,5.083333333333333
2007-01-02,149150.0,49071.833333333336,2562.6083333333336,2.7,5.166666666666667
2007-01-03,148750.0,49166.666666666664,2563.2166666666667,2.9,5.25
2007-01-04,148500.0,49261.5,2563.825,2.7,5.333333333333333
2007-01-05,148250.0,49356.333333333336,2564.4333333333334,2.5,5.416666666666667
2007-01-06,148000.0,49451.166666666664,2565.041666666667,2.5,5.5
2007-01-07,147666.66666666666,49546.0,2565.65,2.0,5.583333333333333
2007-01-08,147333.33333333334,49640.833333333336,2566.258333333333,2.0,5.666666666666667
2007-01-09,147000.0,49735.666666666664,2566.866666666667,2.0,5.75
2007-01-10,147033.66666666666,49830.5,2567.4750000000004,2.3,5.666666666666667
2007-01-11,147067.33333333334,49925.333333333336,2568.0833333333335,2.2,5.583333333333333
2007-01-12,147101.0,50020.166666666664,2568.6916666666666,2.3,5.5
2008-01-01,146817.33333333334,50115.0,2569.3,2.4,5.416666666666667
2008-01-02,146533.66666666666,50054.0,2569.8083333333334,2.6,5.333333333333333
2008-01-03,146250.0,49993.0,2570.3166666666666,2.6,5.25
2008-01-04,146000.0,49932.0,2570.8250000000003,3.0,5.166666666666667
2008-01-05,145750.0,49871.0,2571.3333333333335,3.3,5.083333333333333
2008-01-06,145500.0,49810.0,2571.8416666666667,3.7,5.0
2008-01-07,145666.66666666666,49749.0,2572.3500000000004,4.2,5.0
2008-01-08,145833.33333333334,49688.0,2572.8583333333336,4.4,5.0
2008-01-09,146000.0,49627.0,2573.366666666667,4.8,5.0
2008-01-10,144966.66666666666,49566.0,2573.875,4.2,4.0
2008-01-11,143933.33333333334,49505.0,2574.383333333333,3.8,3.0
2008-01-12,142900.0,49444.0,2574.891666666667,3.0,2.0
2009-01-01,141933.33333333334,49383.0,2575.4,2.9,1.5
2009-01-02,140966.66666666666,49486.666666666664,2576.3583333333336,3.1,1.0
2009-01-03,140000.0,49590.333333333336,2577.3166666666666,2.8,0.5
2009-01-04,139000.0,49694.0,2578.275,2.3,0.5
2009-01-05,138000.0,49797.666666666664,2579.2333333333336,2.1,0.5
2009-01-06,137000.0,49901.333333333336,2580.1916666666666,1.7,0.5
