Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,72833.33333333333,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,72666.66666666667,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,72500.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,72000.0,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,71500.0,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,71000.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,71333.33333333333,76991.5653846154,5249.85,2.7,5.69
1996-01-08,71666.66666666667,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,72000.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,72333.33333333333,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,72666.66666666667,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,73000.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,73333.33333333333,79374.78,5266.9,2.6,5.94
1997-01-02,73666.66666666667,79949.54833333334,5269.825,2.4,5.94
1997-01-03,74000.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,74333.33333333333,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,74666.66666666667,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,75000.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,75666.66666666667,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,76333.33333333333,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,77000.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,77983.33333333333,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,78966.66666666667,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,79950.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,80800.0,86272.0,5302.0,1.8,7.25
1998-01-02,81650.0,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,82500.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,83650.0,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,84800.0,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,85950.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,87300.0,88164.5,5320.35,1.7,7.5
1998-01-08,88650.0,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,90000.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,91000.0,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,92000.0,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,93000.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,94166.66666666667,90057.0,5338.7,2.0,6.0
1999-01-02,95333.33333333333,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,96500.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,97000.0,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,97500.0,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,98000.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,98666.66666666667,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,99333.33333333333,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,100000.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,101916.66666666667,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,103833.33333333333,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,105750.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,106833.33333333333,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,107916.66666666667,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,109000.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,111582.5,96091.25,5381.375,0.9,5.75
2000-01-05,114165.0,96494.33333333333,5383.5,1.0,5.75
2000-01-06,116747.5,96897.41666666667,5385.625,1.2,5.75
2000-01-07,118831.66666666667,97300.5,5387.75,1.2,5.75
2000-01-08,120915.83333333333,97703.58333333333,5389.875,1.0,5.75
2000-01-09,123000.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,124833.33333333333,98509.75,5394.125,1.4,5.75
2000-01-11,126666.66666666667,98912.83333333333,5396.25,1.5,5.75
2000-01-12,128500.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,129107.5,99719.0,5400.5,1.2,5.75
2001-01-02,129715.0,100041.0,5403.183333333333,1.2,5.75
2001-01-03,130322.5,100363.0,5405.866666666667,1.3,5.75
2001-01-04,131548.33333333334,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,132774.16666666666,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,134000.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,135166.66666666666,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,136333.33333333334,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,137500.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,138000.0,102617.0,5424.65,1.6,4.5
2001-01-11,138500.0,102939.0,5427.333333333333,1.2,4.25
2001-01-12,139000.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,139333.33333333334,103583.0,5432.7,1.8,4.0
2002-01-02,139666.66666666666,104128.5,5436.15,1.7,4.0
2002-01-03,140000.0,104674.0,5439.6,1.7,4.0
2002-01-04,142333.33333333334,105219.5,5443.05,1.6,4.0
2002-01-05,144666.66666666666,105765.0,5446.5,1.2,4.0
2002-01-06,147000.0,106310.5,5449.95,1.1,4.0
2002-01-07,148666.66666666666,106856.0,5453.4,1.4,4.0
2002-01-08,150333.33333333334,107401.5,5456.85,1.3,4.0
2002-01-09,152000.0,107947.0,5460.3,1.2,4.0
2002-01-10,154650.0,108492.5,5463.75,1.5,4.0
2002-01-11,157300.0,109038.0,5467.200000000001,1.6,4.0
2002-01-12,159950.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,161966.66666666666,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,163983.33333333334,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,166000.0,110792.33333333333,5479.85,1.6,3.75
2003-01-04,169333.33333333334,111124.0,5482.725,1.5,3.75
2003-01-05,172666.66666666666,111455.66666666667,5485.6,1.3,3.75
2003-01-06,176000.0,111787.33333333333,5488.475,1.2,3.75
2003-01-07,179666.66666666666,112119.0,5491.35,1.3,3.6666666666666665
2003-01-08,183333.33333333334,112450.66666666667,5494.225,1.4,3.5833333333333335
2003-01-09,187000.0,112782.33333333333,5497.1,1.3,3.5
2003-01-10,187990.83333333334,113114.0,5499.975,1.3,3.5833333333333335
2003-01-11,188981.66666666666,113445.66666666667,5502.85,1.3,3.6666666666666665
2003-01-12,189972.5,113777.33333333333,5505.725,1.3,3.75
2004-01-01,190648.33333333334,114109.0,5508.6,1.5,3.8333333333333335
2004-01-02,191324.16666666666,114640.08333333333,5513.108333333334,1.4,3.9166666666666665
2004-01-03,192000.0,115171.16666666667,5517.616666666667,1.2,4.0
2004-01-04,193000.0,115702.25,5522.125,1.1,4.083333333333333
2004-01-05,194000.0,116233.33333333333,5526.633333333333,1.4,4.166666666666667
2004-01-06,195000.0,116764.41666666667,5531.141666666666,1.5,4.25
2004-01-07,195000.0,117295.5,5535.65,1.4,4.416666666666667
2004-01-08,195000.0,117826.58333333333,5540.158333333334,1.4,4.583333333333333
2004-01-09,195000.0,118357.66666666667,5544.666666666667,1.2,4.75
2004-01-10,196666.66666666666,118888.75,5549.175,1.3,4.75
2004-01-11,198333.33333333334,119419.83333333333,5553.683333333333,1.5,4.75
2004-01-12,200000.0,119950.91666666667,5558.191666666667,1.8,4.75
2005-01-01,201500.0,120482.0,5562.7,1.7,4.75
2005-01-02,203000.0,120976.0,5566.333333333333,1.7,4.75
2005-01-03,204500.0,121470.0,5569.966666666666,2.0,4.75
2005-01-04,207000.0,121964.0,5573.6,1.9,4.75
2005-01-05,209500.0,122458.0,5577.233333333334,1.9,4.75
2005-01-06,212000.0,122952.0,5580.866666666667,2.0,4.75
2005-01-07,214665.0,123446.0,5584.5,2.3,4.666666666666667
2005-01-08,217330.0,123940.0,5588.133333333333,2.4,4.583333333333333
2005-01-09,219995.0,124434.0,5591.766666666666,2.5,4.5
2005-01-10,219996.66666666666,124928.0,5595.4,2.4,4.5
2005-01-11,219998.33333333334,125422.0,5599.033333333334,2.2,4.5
2005-01-12,220000.0,125916.0,5602.666666666667,2.1,4.5
2006-01-01,220000.0,126410.0,5606.3,2.2,4.5
2006-01-02,220000.0,126820.83333333333,5610.233333333334,2.2,4.5
2006-01-03,220000.0,127231.66666666667,5614.166666666667,2.0,4.5
2006-01-04,221250.0,127642.5,5618.1,2.2,4.5
2006-01-05,222500.0,128053.33333333333,5622.033333333334,2.4,4.5
2006-01-06,223750.0,128464.16666666667,5625.966666666667,2.6,4.5
2006-01-07,224166.66666666666,128875.0,5629.9,2.5,4.583333333333333
2006-01-08,224583.33333333334,129285.83333333333,5633.833333333333,2.6,4.666666666666667
2006-01-09,225000.0,129696.66666666667,5637.766666666666,2.5,4.75
2006-01-10,226666.66666666666,130107.5,5641.7,2.5,4.833333333333333
2006-01-11,228333.33333333334,130518.33333333333,5645.633333333333,2.8,4.916666666666667
2006-01-12,230000.0,130929.16666666667,5649.566666666667,2.9,5.0
2007-01-01,231000.0,131340.0,5653.5,2.7,5.083333333333333
2007-01-02,232000.0,131707.5,5658.075,2.7,5.166666666666667
2007-01-03,233000.0,132075.0,5662.65,2.9,5.25
2007-01-04,234833.33333333334,132442.5,5667.225,2.7,5.333333333333333
2007-01-05,236666.66666666666,132810.0,5671.8,2.5,5.416666666666667
2007-01-06,238500.0,133177.5,5676.375,2.5,5.5
2007-01-07,240666.66666666666,133545.0,5680.95,2.0,5.583333333333333
2007-01-08,242833.33333333334,133912.5,5685.525,2.0,5.666666666666667
2007-01-09,245000.0,134280.0,5690.099999999999,2.0,5.75
2007-01-10,245666.66666666666,134647.5,5694.674999999999,2.3,5.666666666666667
2007-01-11,246333.33333333334,135015.0,5699.25,2.2,5.583333333333333
2007-01-12,247000.0,135382.5,5703.825,2.3,5.5
2008-01-01,247333.33333333334,135750.0,5708.4,2.4,5.416666666666667
2008-01-02,247666.66666666666,135382.08333333334,5711.983333333333,2.6,5.333333333333333
2008-01-03,248000.0,135014.16666666666,5715.566666666667,2.6,5.25
2008-01-04,248650.0,134646.25,5719.15,3.0,5.166666666666667
2008-01-05,249300.0,134278.33333333334,5722.733333333333,3.3,5.083333333333333
2008-01-06,249950.0,133910.41666666666,5726.316666666667,3.7,5.0
2008-01-07,248800.0,133542.5,5729.9,4.2,5.0
2008-01-08,247650.0,133174.58333333334,5733.483333333333,4.4,5.0
2008-01-09,246500.0,132806.66666666666,5737.066666666667,4.8,5.0
2008-01-10,245583.33333333334,132438.75,5740.65,4.2,4.0
2008-01-11,244666.66666666666,132070.83333333334,5744.233333333333,3.8,3.0
2008-01-12,243750.0,131702.91666666666,5747.816666666667,3.0,2.0
2009-01-01,242500.0,131335.0,5751.4,2.9,1.5
2009-01-02,241250.0,131622.83333333334,5756.066666666667,3.1,1.0
2009-01-03,240000.0,131910.66666666666,5760.733333333333,2.8,0.5
2009-01-04,235000.0,132198.5,5765.4,2.3,0.5
2009-01-05,230000.0,132486.33333333334,5770.066666666667,2.1,0.5
2009-01-06,225000.0,132774.16666666666,5774.733333333333,1.7,0.5
2009-01-07,224165.0,133062.0,5779.4,1.6,0.5
2009-01-08,223330.0,133349.83333333334,5784.066666666667,1.4,0.5
2009-01-09,222495.0,133637.66666666666,5788.733333333333,1.0,0.5
2009-01-10,224330.0,133925.5,5793.4,1.2,0.5
2009-01-11,226165.0,134213.33333333334,5798.066666666667,1.5,0.5
2009-01-12,228000.0,134501.16666666666,5802.733333333333,2.1,0.5
2010-01-01,228666.66666666666,134789.0,5807.4,2.6,0.5
