Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,28000.0,51443.1261538461,4108.1,2.9,6.233333333333333
1996-01-02,28000.0,51717.327307692256,4109.116666666667,3.0,6.086666666666667
1996-01-03,28000.0,51991.528461538415,4110.133333333333,3.0,5.94
1996-01-04,28000.0,52265.729615384575,4111.150000000001,2.8,5.856666666666667
1996-01-05,28000.0,52539.930769230734,4112.166666666667,2.8,5.773333333333333
1996-01-06,28000.0,52814.13192307689,4113.183333333333,2.8,5.69
1996-01-07,28000.0,53088.33307692305,4114.200000000001,2.7,5.69
1996-01-08,28000.0,53362.534230769204,4115.216666666667,2.7,5.69
1996-01-09,28000.0,53636.735384615364,4116.233333333334,2.7,5.69
1996-01-10,27833.333333333332,53910.93653846152,4117.25,3.0,5.773333333333333
1996-01-11,27666.666666666668,54185.13769230768,4118.266666666666,3.1,5.856666666666667
1996-01-12,27500.0,54459.33884615384,4119.283333333334,2.8,5.94
1997-01-01,27333.333333333332,54733.54,4120.3,2.6,5.94
1997-01-02,27166.666666666668,55242.16166666667,4121.325,2.4,5.94
1997-01-03,27000.0,55750.78333333333,4122.35,2.2,5.94
1997-01-04,27000.0,56259.405,4123.375,2.1,6.043333333333334
1997-01-05,27000.0,56768.026666666665,4124.400000000001,2.1,6.1466666666666665
1997-01-06,27000.0,57276.64833333333,4125.425,2.1,6.25
1997-01-07,27166.666666666668,57785.270000000004,4126.450000000001,2.4,6.416666666666667
1997-01-08,27333.333333333332,58293.89166666667,4127.475,2.3,6.583333333333333
1997-01-09,27500.0,58802.513333333336,4128.5,2.2,6.75
1997-01-10,27666.666666666668,59311.135,4129.525000000001,2.2,6.916666666666667
1997-01-11,27833.333333333332,59819.75666666667,4130.55,2.1,7.083333333333333
1997-01-12,28000.0,60328.378333333334,4131.575000000001,1.9,7.25
1998-01-01,28500.0,60837.0,4132.6,1.8,7.25
1998-01-02,29000.0,61002.583333333336,4134.25,1.8,7.25
1998-01-03,29500.0,61168.166666666664,4135.900000000001,1.9,7.25
1998-01-04,29500.0,61333.75,4137.55,2.1,7.333333333333333
1998-01-05,29500.0,61499.333333333336,4139.2,2.2,7.416666666666667
1998-01-06,29500.0,61664.916666666664,4140.85,1.9,7.5
1998-01-07,29666.666666666668,61830.5,4142.5,1.7,7.5
1998-01-08,29833.333333333332,61996.083333333336,4144.15,1.6,7.5
1998-01-09,30000.0,62161.666666666664,4145.8,1.7,7.5
1998-01-10,30000.0,62327.25,4147.45,1.6,7.083333333333333
1998-01-11,30000.0,62492.833333333336,4149.099999999999,1.7,6.666666666666667
1998-01-12,30000.0,62658.416666666664,4150.75,1.9,6.25
1999-01-01,29666.666666666668,62824.0,4152.4,2.0,6.0
1999-01-02,29333.333333333332,63023.5,4153.708333333333,1.9,5.75
1999-01-03,29000.0,63223.0,4155.016666666666,2.1,5.5
1999-01-04,29316.666666666668,63422.5,4156.325,2.0,5.333333333333333
1999-01-05,29633.333333333332,63622.0,4157.633333333333,1.7,5.166666666666667
1999-01-06,29950.0,63821.5,4158.941666666667,1.8,5.0
1999-01-07,29966.666666666668,64021.0,4160.25,1.7,5.083333333333333
1999-01-08,29983.333333333332,64220.5,4161.558333333333,1.6,5.166666666666667
1999-01-09,30000.0,64420.0,4162.866666666667,1.6,5.25
1999-01-10,30316.666666666668,64619.5,4164.175,1.5,5.333333333333333
1999-01-11,30633.333333333332,64819.0,4165.483333333334,1.5,5.416666666666667
1999-01-12,30950.0,65018.5,4166.791666666667,1.5,5.5
2000-01-01,30966.666666666668,65218.0,4168.1,1.2,5.583333333333333
2000-01-02,30983.333333333332,65436.333333333336,4169.891666666667,1.2,5.666666666666667
2000-01-03,31000.0,65654.66666666667,4171.683333333333,1.0,5.75
2000-01-04,31325.0,65873.0,4173.475,0.9,5.75
2000-01-05,31650.0,66091.33333333333,4175.266666666667,1.0,5.75
2000-01-06,31975.0,66309.66666666667,4177.058333333333,1.2,5.75
2000-01-07,32191.666666666668,66528.0,4178.85,1.2,5.75
2000-01-08,32408.333333333332,66746.33333333333,4180.641666666667,1.0,5.75
2000-01-09,32625.0,66964.66666666667,4182.433333333333,1.3,5.75
2000-01-10,33083.333333333336,67183.0,4184.225,1.4,5.75
2000-01-11,33541.666666666664,67401.33333333333,4186.016666666667,1.5,5.75
2000-01-12,34000.0,67619.66666666667,4187.808333333333,1.2,5.75
2001-01-01,34316.666666666664,67838.0,4189.6,1.2,5.75
2001-01-02,34633.333333333336,68072.0,4192.283333333334,1.2,5.75
2001-01-03,34950.0,68306.0,4194.966666666667,1.3,5.75
2001-01-04,35625.0,68540.0,4197.650000000001,1.5,5.583333333333333
2001-01-05,36300.0,68774.0,4200.333333333334,1.9,5.416666666666667
2001-01-06,36975.0,69008.0,4203.016666666667,1.9,5.25
2001-01-07,36983.333333333336,69242.0,4205.700000000001,1.7,5.083333333333333
2001-01-08,36991.666666666664,69476.0,4208.383333333333,2.1,4.916666666666667
2001-01-09,37000.0,69710.0,4211.066666666667,1.7,4.75
2001-01-10,37316.666666666664,69944.0,4213.75,1.6,4.5
2001-01-11,37633.333333333336,70178.0,4216.433333333333,1.2,4.25
2001-01-12,37950.0,70412.0,4219.116666666667,1.4,4.0
2002-01-01,38633.333333333336,70646.0,4221.8,1.8,4.0
2002-01-02,39316.666666666664,70947.33333333333,4224.575,1.7,4.0
2002-01-03,40000.0,71248.66666666667,4227.35,1.7,4.0
2002-01-04,40916.666666666664,71550.0,4230.125,1.6,4.0
2002-01-05,41833.333333333336,71851.33333333333,4232.900000000001,1.2,4.0
2002-01-06,42750.0,72152.66666666667,4235.675,1.1,4.0
2002-01-07,43816.666666666664,72454.0,4238.450000000001,1.4,4.0
2002-01-08,44883.333333333336,72755.33333333333,4241.225,1.3,4.0
2002-01-09,45950.0,73056.66666666667,4244.0,1.2,4.0
2002-01-10,46966.666666666664,73358.0,4246.775000000001,1.5,4.0
2002-01-11,47983.333333333336,73659.33333333333,4249.55,1.6,4.0
2002-01-12,49000.0,73960.66666666667,4252.325000000001,1.7,4.0
2003-01-01,50450.0,74262.0,4255.1,1.4,3.9166666666666665
2003-01-02,51900.0,74569.33333333333,4258.133333333333,1.6,3.8333333333333335
2003-01-03,53350.0,74876.66666666667,4261.166666666667,1.6,3.75
2003-01-04,54566.666666666664,75184.0,4264.200000000001,1.5,3.75
2003-01-05,55783.333333333336,75491.33333333333,4267.233333333334,1.3,3.75
2003-01-06,57000.0,75798.66666666667,4270.266666666666,1.2,3.75
2003-01-07,59000.0,76106.0,4273.3,1.3,3.6666666666666665
2003-01-08,61000.0,76413.33333333333,4276.333333333334,1.4,3.5833333333333335
2003-01-09,63000.0,76720.66666666667,4279.366666666667,1.3,3.5
2003-01-10,64500.0,77028.0,4282.4,1.3,3.5833333333333335
2003-01-11,66000.0,77335.33333333333,4285.433333333333,1.3,3.6666666666666665
2003-01-12,67500.0,77642.66666666667,4288.466666666667,1.3,3.75
2004-01-01,68000.0,77950.0,4291.5,1.5,3.8333333333333335
2004-01-02,68500.0,78290.25,4294.633333333333,1.4,3.9166666666666665
2004-01-03,69000.0,78630.5,4297.766666666666,1.2,4.0
2004-01-04,70166.66666666667,78970.75,4300.9,1.1,4.083333333333333
2004-01-05,71333.33333333333,79311.0,4304.033333333334,1.4,4.166666666666667
2004-01-06,72500.0,79651.25,4307.166666666667,1.5,4.25
2004-01-07,74000.0,79991.5,4310.3,1.4,4.416666666666667
2004-01-08,75500.0,80331.75,4313.433333333333,1.4,4.583333333333333
2004-01-09,77000.0,80672.0,4316.566666666667,1.2,4.75
2004-01-10,78666.66666666667,81012.25,4319.700000000001,1.3,4.75
2004-01-11,80333.33333333333,81352.5,4322.833333333334,1.5,4.75
2004-01-12,82000.0,81692.75,4325.966666666667,1.8,4.75
2005-01-01,83333.33333333333,82033.0,4329.1,1.7,4.75
2005-01-02,84666.66666666667,82405.0,4332.233333333334,1.7,4.75
2005-01-03,86000.0,82777.0,4335.366666666667,2.0,4.75
2005-01-04,86666.66666666667,83149.0,4338.5,1.9,4.75
2005-01-05,87333.33333333333,83521.0,4341.633333333333,1.9,4.75
2005-01-06,88000.0,83893.0,4344.766666666666,2.0,4.75
2005-01-07,88000.0,84265.0,4347.9,2.3,4.666666666666667
2005-01-08,88000.0,84637.0,4351.033333333334,2.4,4.583333333333333
2005-01-09,88000.0,85009.0,4354.166666666667,2.5,4.5
2005-01-10,88166.66666666667,85381.0,4357.3,2.4,4.5
2005-01-11,88333.33333333333,85753.0,4360.433333333333,2.2,4.5
2005-01-12,88500.0,86125.0,4363.566666666667,2.1,4.5
2006-01-01,89000.0,86497.0,4366.7,2.2,4.5
2006-01-02,89500.0,86806.5,4369.875,2.2,4.5
2006-01-03,90000.0,87116.0,4373.05,2.0,4.5
2006-01-04,90666.66666666667,87425.5,4376.225,2.2,4.5
2006-01-05,91333.33333333333,87735.0,4379.4,2.4,4.5
2006-01-06,92000.0,88044.5,4382.575,2.6,4.5
2006-01-07,92333.33333333333,88354.0,4385.75,2.5,4.583333333333333
2006-01-08,92666.66666666667,88663.5,4388.925,2.6,4.666666666666667
2006-01-09,93000.0,88973.0,4392.1,2.5,4.75
2006-01-10,93666.66666666667,89282.5,4395.275,2.5,4.833333333333333
2006-01-11,94333.33333333333,89592.0,4398.45,2.8,4.916666666666667
2006-01-12,95000.0,89901.5,4401.625,2.9,5.0
2007-01-01,95000.0,90211.0,4404.8,2.7,5.083333333333333
2007-01-02,95000.0,90477.91666666667,4407.825,2.7,5.166666666666667
2007-01-03,95000.0,90744.83333333333,4410.85,2.9,5.25
2007-01-04,96000.0,91011.75,4413.875,2.7,5.333333333333333
2007-01-05,97000.0,91278.66666666667,4416.900000000001,2.5,5.416666666666667
2007-01-06,98000.0,91545.58333333333,4419.925,2.5,5.5
2007-01-07,99666.66666666667,91812.5,4422.950000000001,2.0,5.583333333333333
2007-01-08,101333.33333333333,92079.41666666667,4425.975,2.0,5.666666666666667
2007-01-09,103000.0,92346.33333333333,4429.0,2.0,5.75
2007-01-10,103666.66666666667,92613.25,4432.025000000001,2.3,5.666666666666667
2007-01-11,104333.33333333333,92880.16666666667,4435.05,2.2,5.583333333333333
2007-01-12,105000.0,93147.08333333333,4438.075000000001,2.3,5.5
2008-01-01,105000.0,93414.0,4441.1,2.4,5.416666666666667
2008-01-02,105000.0,93149.08333333333,4443.650000000001,2.6,5.333333333333333
2008-01-03,105000.0,92884.16666666667,4446.200000000001,2.6,5.25
2008-01-04,105333.33333333333,92619.25,4448.75,3.0,5.166666666666667
2008-01-05,105666.66666666667,92354.33333333333,4451.3,3.3,5.083333333333333
2008-01-06,106000.0,92089.41666666667,4453.85,3.7,5.0
2008-01-07,105650.0,91824.5,4456.4,4.2,5.0
2008-01-08,105300.0,91559.58333333333,4458.95,4.4,5.0
2008-01-09,104950.0,91294.66666666667,4461.5,4.8,5.0
2008-01-10,104633.33333333333,91029.75,4464.05,4.2,4.0
2008-01-11,104316.66666666667,90764.83333333333,4466.6,3.8,3.0
2008-01-12,104000.0,90499.91666666667,4469.15,3.0,2.0
2009-01-01,102666.66666666667,90235.0,4471.7,2.9,1.5
2009-01-02,101333.33333333333,90588.16666666667,4474.65,3.1,1.0
2009-01-03,100000.0,90941.33333333333,4477.6,2.8,0.5
2009-01-04,99991.66666666667,91294.5,4480.55,2.3,0.5
2009-01-05,99983.33333333333,91647.66666666667,4483.5,2.1,0.5
2009-01-06,99975.0,92000.83333333333,4486.45,1.7,0.5
2009-01-07,96816.66666666667,92354.0,4489.4,1.6,0.5
2009-01-08,93658.33333333333,92707.16666666667,4492.35,1.4,0.5
2009-01-09,90500.0,93060.33333333333,4495.3,1.0,0.5
2009-01-10,90333.33333333333,93413.5,4498.25,1.2,0.5
