Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,76500.0,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,76000.0,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,75500.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,75666.66666666667,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,75833.33333333333,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,76000.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,76500.0,161594.5223076925,6994.6,2.7,5.69
1996-01-08,77000.0,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,77500.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,78333.33333333333,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,79166.66666666667,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,80000.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,80375.0,168929.54,7014.8,2.6,5.94
1997-01-02,80750.0,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,81125.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,82416.66666666667,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,83708.33333333333,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,85000.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,86650.0,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,88300.0,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,89950.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,90800.0,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,91650.0,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,92500.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,94000.0,195741.0,7065.5,1.8,7.25
1998-01-02,95500.0,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,97000.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,99183.33333333333,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,101366.66666666667,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,103550.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,104700.0,201209.0,7109.7,1.7,7.5
1998-01-08,105850.0,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,107000.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,109633.33333333333,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,112266.66666666667,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,114900.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,117433.33333333333,206677.0,7153.9,2.0,6.0
1999-01-02,119966.66666666667,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,122500.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,124666.66666666667,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,126833.33333333333,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,129000.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,131000.0,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,133000.0,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,135000.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,137766.66666666666,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,140533.33333333334,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,143300.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,145533.33333333334,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,147766.66666666666,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,150000.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,154333.33333333334,224447.0,7258.125,0.9,5.75
2000-01-05,158666.66666666666,224991.0,7265.266666666666,1.0,5.75
2000-01-06,163000.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,166333.33333333334,226079.0,7279.549999999999,1.2,5.75
2000-01-08,169666.66666666666,226623.0,7286.691666666667,1.0,5.75
2000-01-09,173000.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,174000.0,227711.0,7300.974999999999,1.4,5.75
2000-01-11,175000.0,228255.0,7308.116666666667,1.5,5.75
2000-01-12,176000.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,179000.0,229343.0,7322.4,1.2,5.75
2001-01-02,182000.0,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,185000.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,185666.66666666666,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,186333.33333333334,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,187000.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,189666.66666666666,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,192333.33333333334,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,195000.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,198333.33333333334,235689.5,7363.125,1.6,4.5
2001-01-11,201666.66666666666,236394.66666666666,7367.65,1.2,4.25
2001-01-12,205000.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,206666.66666666666,237805.0,7376.7,1.8,4.0
2002-01-02,208333.33333333334,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,210000.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,213333.33333333334,241213.25,7381.225,1.6,4.0
2002-01-05,216666.66666666666,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,220000.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,223083.33333333334,244621.5,7385.75,1.4,4.0
2002-01-08,226166.66666666666,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,229250.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,230666.66666666666,248029.75,7390.275,1.5,4.0
2002-01-11,232083.33333333334,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,233500.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,234750.0,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,236000.0,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,237250.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,239833.33333333334,254584.5,7404.275,1.5,3.75
2003-01-05,242416.66666666666,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,245000.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,246333.33333333334,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,247666.66666666666,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,249000.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,249323.33333333334,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,249646.66666666666,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,249970.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,249963.33333333334,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,249956.66666666666,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,249950.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,249966.66666666666,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,249983.33333333334,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,250000.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,256665.0,274139.5,7475.85,1.4,4.416666666666667
2004-01-08,263330.0,275825.4166666667,7483.041666666667,1.4,4.583333333333333
2004-01-09,269995.0,277511.3333333333,7490.233333333334,1.2,4.75
2004-01-10,271663.3333333333,279197.25,7497.425,1.3,4.75
2004-01-11,273331.6666666667,280883.1666666667,7504.616666666667,1.5,4.75
2004-01-12,275000.0,282569.0833333333,7511.808333333333,1.8,4.75
2005-01-01,276666.6666666667,284255.0,7519.0,1.7,4.75
2005-01-02,278333.3333333333,285704.5833333333,7525.566666666667,1.7,4.75
2005-01-03,280000.0,287154.1666666667,7532.133333333333,2.0,4.75
2005-01-04,280833.3333333333,288603.75,7538.7,1.9,4.75
2005-01-05,281666.6666666667,290053.3333333333,7545.266666666666,1.9,4.75
2005-01-06,282500.0,291502.9166666667,7551.833333333333,2.0,4.75
2005-01-07,283333.3333333333,292952.5,7558.4,2.3,4.666666666666667
2005-01-08,284166.6666666667,294402.0833333333,7564.966666666667,2.4,4.583333333333333
2005-01-09,285000.0,295851.6666666667,7571.533333333334,2.5,4.5
2005-01-10,285000.0,297301.25,7578.1,2.4,4.5
2005-01-11,285000.0,298750.8333333333,7584.666666666667,2.2,4.5
2005-01-12,285000.0,300200.4166666667,7591.233333333334,2.1,4.5
2006-01-01,286026.6666666667,301650.0,7597.8,2.2,4.5
2006-01-02,287053.3333333333,303794.25,7605.775000000001,2.2,4.5
2006-01-03,288080.0,305938.5,7613.75,2.0,4.5
2006-01-04,289553.3333333333,308082.75,7621.725,2.2,4.5
2006-01-05,291026.6666666667,310227.0,7629.7,2.4,4.5
2006-01-06,292500.0,312371.25,7637.675,2.6,4.5
2006-01-07,295000.0,314515.5,7645.65,2.5,4.583333333333333
2006-01-08,297500.0,316659.75,7653.625,2.6,4.666666666666667
2006-01-09,300000.0,318804.0,7661.6,2.5,4.75
2006-01-10,306666.6666666667,320948.25,7669.575,2.5,4.833333333333333
2006-01-11,313333.3333333333,323092.5,7677.55,2.8,4.916666666666667
2006-01-12,320000.0,325236.75,7685.525,2.9,5.0
2007-01-01,324666.6666666667,327381.0,7693.5,2.7,5.083333333333333
2007-01-02,329333.3333333333,327982.75,7703.391666666666,2.7,5.166666666666667
2007-01-03,334000.0,328584.5,7713.283333333333,2.9,5.25
2007-01-04,339316.6666666667,329186.25,7723.175,2.7,5.333333333333333
2007-01-05,344633.3333333333,329788.0,7733.066666666667,2.5,5.416666666666667
2007-01-06,349950.0,330389.75,7742.958333333333,2.5,5.5
2007-01-07,356633.3333333333,330991.5,7752.85,2.0,5.583333333333333
2007-01-08,363316.6666666667,331593.25,7762.741666666667,2.0,5.666666666666667
2007-01-09,370000.0,332195.0,7772.633333333333,2.0,5.75
2007-01-10,375000.0,332796.75,7782.525,2.3,5.666666666666667
2007-01-11,380000.0,333398.5,7792.416666666666,2.2,5.583333333333333
2007-01-12,385000.0,334000.25,7802.308333333333,2.3,5.5
2008-01-01,388316.6666666667,334602.0,7812.2,2.4,5.416666666666667
2008-01-02,391633.3333333333,334006.4166666667,7823.066666666667,2.6,5.333333333333333
2008-01-03,394950.0,333410.8333333333,7833.933333333333,2.6,5.25
2008-01-04,396633.3333333333,332815.25,7844.8,3.0,5.166666666666667
2008-01-05,398316.6666666667,332219.6666666667,7855.666666666667,3.3,5.083333333333333
2008-01-06,400000.0,331624.0833333333,7866.533333333334,3.7,5.0
2008-01-07,396666.6666666667,331028.5,7877.4,4.2,5.0
2008-01-08,393333.3333333333,330432.9166666667,7888.266666666666,4.4,5.0
2008-01-09,390000.0,329837.3333333333,7899.133333333333,4.8,5.0
2008-01-10,385833.3333333333,329241.75,7910.0,4.2,4.0
2008-01-11,381666.6666666667,328646.1666666667,7920.866666666667,3.8,3.0
2008-01-12,377500.0,328050.5833333333,7931.733333333334,3.0,2.0
2009-01-01,375000.0,327455.0,7942.6,2.9,1.5
2009-01-02,372500.0,328800.4166666667,7952.508333333333,3.1,1.0
2009-01-03,370000.0,330145.8333333333,7962.416666666667,2.8,0.5
2009-01-04,363333.3333333333,331491.25,7972.325000000001,2.3,0.5
2009-01-05,356666.6666666667,332836.6666666667,7982.233333333334,2.1,0.5
2009-01-06,350000.0,334182.0833333333,7992.141666666666,1.7,0.5
2009-01-07,348333.3333333333,335527.5,8002.05,1.6,0.5
2009-01-08,346666.6666666667,336872.9166666667,8011.958333333334,1.4,0.5
2009-01-09,345000.0,338218.3333333333,8021.866666666667,1.0,0.5
2009-01-10,356000.0,339563.75,8031.775,1.2,0.5
2009-01-11,367000.0,340909.1666666667,8041.683333333333,1.5,0.5
2009-01-12,378000.0,342254.5833333333,8051.591666666667,2.1,0.5
2010-01-01,384166.6666666667,343600.0,8061.5,2.6,0.5
2010-01-02,390333.3333333333,344906.0833333333,8073.408333333333,2.1,0.5
2010-01-03,396500.0,346212.1666666667,8085.316666666667,2.4,0.5
2010-01-04,401000.0,347518.25,8097.225,2.7,0.5
2010-01-05,405500.0,348824.3333333333,8109.133333333333,2.5,0.5
2010-01-06,410000.0,350130.4166666667,8121.041666666666,2.4,0.5
2010-01-07,413333.3333333333,351436.5,8132.95,2.3,0.5
2010-01-08,416666.6666666667,352742.5833333333,8144.858333333334,2.4,0.5
2010-01-09,420000.0,354048.6666666667,8156.766666666666,2.4,0.5
2010-01-10,420000.0,355354.75,8168.674999999999,2.5,0.5
2010-01-11,420000.0,356660.8333333333,8180.583333333333,2.6,0.5
2010-01-12,420000.0,357966.9166666667,8192.491666666667,3.1,0.5
2011-01-01,418333.3333333333,359273.0,8204.4,3.4,0.5
2011-01-02,416666.6666666667,360426.4166666667,8213.066666666666,3.7,0.5
2011-01-03,415000.0,361579.8333333333,8221.733333333334,3.5,0.5
2011-01-04,416666.6666666667,362733.25,8230.4,3.8,0.5
2011-01-05,418333.3333333333,363886.6666666667,8239.066666666666,3.8,0.5
2011-01-06,420000.0,365040.0833333333,8247.733333333334,3.6,0.5
2011-01-07,420000.0,366193.5,8256.4,3.8,0.5
2011-01-08,420000.0,367346.9166666667,8265.066666666666,3.9,0.5
2011-01-09,420000.0,368500.3333333333,8273.733333333334,4.5,0.5
2011-01-10,419500.0,369653.75,8282.4,4.3,0.5
2011-01-11,419000.0,370807.1666666667,8291.066666666666,4.1,0.5
2011-01-12,418500.0,371960.5833333333,8299.733333333334,3.7,0.5
2012-01-01,424000.0,373114.0,8308.4,3.2,0.5
2012-01-02,429500.0,374760.8333333333,8251.775290360047,3.1,0.5
2012-01-03,435000.0,376407.6666666667,8195.150580720094,3.1,0.5
2012-01-04,438333.3333333333,378054.5,8138.52587108014,2.8,0.5
2012-01-05,441666.6666666667,379701.3333333333,8081.901161440186,2.5,0.5
2012-01-06,445000.0,381348.1666666667,8025.276451800233,2.3,0.5
2012-01-07,450000.0,382995.0,7968.65174216028,2.4,0.5
2012-01-08,455000.0,384641.8333333333,7912.027032520326,2.3,0.5
2012-01-09,460000.0,386288.6666666667,7855.4023228803735,2.1,0.5
2012-01-10,465000.0,387935.5,7798.77761324042,2.4,0.5
2012-01-11,470000.0,389582.3333333333,7742.152903600467,2.4,0.5
2012-01-12,475000.0,391229.1666666667,7685.528193960514,2.4,0.5
2013-01-01,476000.0,392876.0,7628.90348432056,2.4,0.5
2013-01-02,477000.0,395100.6666666667,7630.637080328446,2.5,0.5
2013-01-03,478000.0,397325.3333333333,7632.370676336333,2.5,0.5
2013-01-04,482000.0,399550.0,7634.10427234422,2.2,0.5
2013-01-05,486000.0,401774.6666666667,7635.837868352107,2.4,0.5
2013-01-06,490000.0,403999.3333333333,7637.571464359993,2.6,0.5
2013-01-07,498000.0,406224.0,7639.30506036788,2.5,0.5
2013-01-08,506000.0,408448.6666666667,7641.038656375767,2.4,0.5
2013-01-09,514000.0,410673.3333333333,7642.772252383653,2.4,0.5
2013-01-10,526666.6666666666,412898.0,7644.50584839154,2.0,0.5
2013-01-11,539333.3333333334,415122.6666666667,7646.239444399426,1.9,0.5
2013-01-12,552000.0,417347.3333333333,7647.973040407313,1.9,0.5
2014-01-01,563000.0,419572.0,7649.7066364152,1.8,0.5
2014-01-02,574000.0,420823.4166666667,7651.440232423087,1.6,0.5
2014-01-03,585000.0,422074.8333333333,7653.173828430975,1.5,0.5
2014-01-04,594999.8333333334,423326.25,7654.907424438862,1.7,0.5
2014-01-05,604999.6666666666,424577.6666666667,7656.64102044675,1.5,0.5
2014-01-06,614999.5,425829.0833333333,7658.374616454637,1.8,0.5
2014-01-07,626666.3333333334,427080.5,7660.1082124625245,1.6,0.5
2014-01-08,638333.1666666666,428331.9166666667,7661.841808470413,1.5,0.5
2014-01-09,650000.0,429583.3333333333,7663.5754044783,1.3,0.5
2014-01-10,658333.3333333334,430834.75,7665.309000486188,1.3,0.5
2014-01-11,666666.6666666666,432086.1666666667,7667.042596494075,1.1,0.5
2014-01-12,675000.0,433337.5833333333,7668.776192501963,0.7,0.5
2015-01-01,680000.0,434589.0,7670.50978850985,0.5,0.5
2015-01-02,685000.0,436783.5,7672.243384517737,0.4,0.5
2015-01-03,690000.0,438978.0,7673.976980525624,0.3,0.5
2015-01-04,691666.6666666666,441172.5,7675.71057653351,0.3,0.5
2015-01-05,693333.3333333334,443367.0,7677.444172541397,0.4,0.5
2015-01-06,695000.0,445561.5,7679.177768549283,0.3,0.5
2015-01-07,690000.0,447756.0,7680.911364557171,0.5,0.5
2015-01-08,685000.0,449950.5,7682.644960565057,0.4,0.5
2015-01-09,680000.0,452145.0,7684.378556572943,0.2,0.5
2015-01-10,683333.3333333334,454339.5,7686.11215258083,0.2,0.5
2015-01-11,686666.6666666666,456534.0,7687.845748588717,0.4,0.5
2015-01-12,690000.0,458728.5,7689.579344596604,0.5,0.5
2016-01-01,696250.0,460923.0,7691.31294060449,0.6,0.5
2016-01-02,702500.0,462284.5833333333,7693.046536612376,0.6,0.5
2016-01-03,708750.0,463646.1666666667,7694.780132620263,0.8,0.5
2016-01-04,713500.0,465007.75,7696.51372862815,0.7,0.5
2016-01-05,718250.0,466369.3333333333,7698.247324636037,0.7,0.5
2016-01-06,723000.0,467730.9166666667,7699.980920643923,0.8,0.5
2016-01-07,730833.3333333334,469092.5,7701.714516651809,0.9,0.4166666666666667
2016-01-08,738666.6666666666,470454.0833333333,7703.448112659697,1.0,0.33333333333333337
2016-01-09,746500.0,471815.6666666667,7705.181708667583,1.3,0.25
2016-01-10,752666.6666666666,473177.25,7706.91530467547,1.3,0.25
2016-01-11,758833.3333333334,474538.8333333333,7708.648900683356,1.5,0.25
2016-01-12,765000.0,475900.4166666667,7710.382496691243,1.8,0.25
2017-01-01,770833.3333333334,477262.0,7712.11609269913,1.9,0.25
2017-01-02,776666.6666666666,478736.75,7713.849688707017,2.3,0.25
2017-01-03,782500.0,480211.5,7715.583284714905,2.3,0.25
2017-01-04,782500.0,481686.25,7717.316880722792,2.6,0.25
2017-01-05,782500.0,483161.0,7719.05047673068,2.7,0.25
2017-01-06,782500.0,484635.75,7720.784072738567,2.6,0.25
2017-01-07,785643.3333333334,486110.5,7722.5176687464555,2.6,0.25
2017-01-08,788786.6666666666,487585.25,7724.251264754343,2.7,0.25
2017-01-09,791930.0,489060.0,7725.98486076223,2.8,0.25
