Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,29980.0,86273.0046153846,6809.6,2.9,6.233333333333333
1996-01-02,29965.0,86724.08506410256,6808.333333333334,3.0,6.086666666666667
1996-01-03,29950.0,87175.1655128205,6807.066666666667,3.0,5.94
1996-01-04,29950.0,87626.24596153846,6805.8,2.8,5.856666666666667
1996-01-05,29950.0,88077.3264102564,6804.533333333334,2.8,5.773333333333333
1996-01-06,29950.0,88528.40685897435,6803.266666666666,2.8,5.69
1996-01-07,29950.0,88979.4873076923,6802.0,2.7,5.69
1996-01-08,29950.0,89430.56775641025,6800.733333333334,2.7,5.69
1996-01-09,29950.0,89881.64820512821,6799.466666666666,2.7,5.69
1996-01-10,29950.0,90332.72865384615,6798.2,3.0,5.773333333333333
1996-01-11,29950.0,90783.8091025641,6796.933333333333,3.1,5.856666666666667
1996-01-12,29950.0,91234.88955128205,6795.666666666666,2.8,5.94
1997-01-01,29958.333333333332,91685.97,6794.4,2.6,5.94
1997-01-02,29966.666666666668,92319.38916666666,6794.216666666666,2.4,5.94
1997-01-03,29975.0,92952.80833333333,6794.033333333333,2.2,5.94
1997-01-04,29982.5,93586.22750000001,6793.849999999999,2.1,6.043333333333334
1997-01-05,29990.0,94219.64666666667,6793.666666666666,2.1,6.1466666666666665
1997-01-06,29997.5,94853.06583333333,6793.483333333333,2.1,6.25
1997-01-07,29998.333333333332,95486.485,6793.299999999999,2.4,6.416666666666667
1997-01-08,29999.166666666668,96119.90416666667,6793.116666666667,2.3,6.583333333333333
1997-01-09,30000.0,96753.32333333333,6792.933333333333,2.2,6.75
1997-01-10,30000.0,97386.7425,6792.75,2.2,6.916666666666667
1997-01-11,30000.0,98020.16166666667,6792.566666666667,2.1,7.083333333333333
1997-01-12,30000.0,98653.58083333334,6792.383333333333,1.9,7.25
1998-01-01,30333.333333333332,99287.0,6792.2,1.8,7.25
1998-01-02,30666.666666666668,99705.66666666667,6790.608333333334,1.8,7.25
1998-01-03,31000.0,100124.33333333333,6789.016666666666,1.9,7.25
1998-01-04,31000.0,100543.0,6787.425,2.1,7.333333333333333
1998-01-05,31000.0,100961.66666666667,6785.833333333333,2.2,7.416666666666667
1998-01-06,31000.0,101380.33333333333,6784.241666666667,1.9,7.5
1998-01-07,31000.0,101799.0,6782.65,1.7,7.5
1998-01-08,31000.0,102217.66666666667,6781.058333333333,1.6,7.5
1998-01-09,31000.0,102636.33333333333,6779.466666666667,1.7,7.5
1998-01-10,31000.0,103055.0,6777.875,1.6,7.083333333333333
1998-01-11,31000.0,103473.66666666667,6776.283333333334,1.7,6.666666666666667
1998-01-12,31000.0,103892.33333333333,6774.691666666667,1.9,6.25
1999-01-01,30833.333333333332,104311.0,6773.1,2.0,6.0
1999-01-02,30666.666666666668,104547.5,6773.191666666667,1.9,5.75
1999-01-03,30500.0,104784.0,6773.283333333334,2.1,5.5
1999-01-04,30650.0,105020.5,6773.375,2.0,5.333333333333333
1999-01-05,30800.0,105257.0,6773.466666666667,1.7,5.166666666666667
1999-01-06,30950.0,105493.5,6773.558333333333,1.8,5.0
1999-01-07,30800.0,105730.0,6773.65,1.7,5.083333333333333
1999-01-08,30650.0,105966.5,6773.741666666667,1.6,5.166666666666667
1999-01-09,30500.0,106203.0,6773.833333333333,1.6,5.25
1999-01-10,30666.666666666668,106439.5,6773.925,1.5,5.333333333333333
1999-01-11,30833.333333333332,106676.0,6774.016666666666,1.5,5.416666666666667
1999-01-12,31000.0,106912.5,6774.108333333334,1.5,5.5
2000-01-01,31166.666666666668,107149.0,6774.2,1.2,5.583333333333333
2000-01-02,31333.333333333332,107653.83333333333,6774.099999999999,1.2,5.666666666666667
2000-01-03,31500.0,108158.66666666667,6774.0,1.0,5.75
2000-01-04,31166.666666666668,108663.5,6773.9,0.9,5.75
2000-01-05,30833.333333333332,109168.33333333333,6773.8,1.0,5.75
2000-01-06,30500.0,109673.16666666667,6773.7,1.2,5.75
2000-01-07,30666.666666666668,110178.0,6773.6,1.2,5.75
2000-01-08,30833.333333333332,110682.83333333333,6773.5,1.0,5.75
2000-01-09,31000.0,111187.66666666667,6773.4,1.3,5.75
2000-01-10,31000.0,111692.5,6773.3,1.4,5.75
2000-01-11,31000.0,112197.33333333333,6773.2,1.5,5.75
2000-01-12,31000.0,112702.16666666667,6773.1,1.2,5.75
2001-01-01,31166.666666666668,113207.0,6773.0,1.2,5.75
2001-01-02,31333.333333333332,113646.75,6773.991666666667,1.2,5.75
2001-01-03,31500.0,114086.5,6774.983333333334,1.3,5.75
2001-01-04,31666.666666666668,114526.25,6775.975,1.5,5.583333333333333
2001-01-05,31833.333333333332,114966.0,6776.966666666666,1.9,5.416666666666667
2001-01-06,32000.0,115405.75,6777.958333333333,1.9,5.25
2001-01-07,32316.666666666668,115845.5,6778.95,1.7,5.083333333333333
2001-01-08,32633.333333333332,116285.25,6779.941666666667,2.1,4.916666666666667
2001-01-09,32950.0,116725.0,6780.933333333333,1.7,4.75
2001-01-10,33133.333333333336,117164.75,6781.924999999999,1.6,4.5
2001-01-11,33316.666666666664,117604.5,6782.916666666666,1.2,4.25
2001-01-12,33500.0,118044.25,6783.908333333333,1.4,4.0
2002-01-01,33666.666666666664,118484.0,6784.9,1.8,4.0
2002-01-02,33833.333333333336,119034.08333333333,6787.383333333333,1.7,4.0
2002-01-03,34000.0,119584.16666666667,6789.866666666667,1.7,4.0
2002-01-04,34333.333333333336,120134.25,6792.349999999999,1.6,4.0
2002-01-05,34666.666666666664,120684.33333333333,6794.833333333333,1.2,4.0
2002-01-06,35000.0,121234.41666666667,6797.316666666667,1.1,4.0
2002-01-07,35316.666666666664,121784.5,6799.799999999999,1.4,4.0
2002-01-08,35633.333333333336,122334.58333333333,6802.283333333333,1.3,4.0
2002-01-09,35950.0,122884.66666666667,6804.766666666666,1.2,4.0
2002-01-10,36300.0,123434.75,6807.25,1.5,4.0
2002-01-11,36650.0,123984.83333333333,6809.733333333334,1.6,4.0
2002-01-12,37000.0,124534.91666666667,6812.216666666666,1.7,4.0
2003-01-01,37500.0,125085.0,6814.7,1.4,3.9166666666666665
2003-01-02,38000.0,125676.91666666667,6816.841666666666,1.6,3.8333333333333335
2003-01-03,38500.0,126268.83333333333,6818.983333333334,1.6,3.75
2003-01-04,39500.0,126860.75,6821.125,1.5,3.75
2003-01-05,40500.0,127452.66666666667,6823.266666666666,1.3,3.75
2003-01-06,41500.0,128044.58333333333,6825.408333333333,1.2,3.75
2003-01-07,42666.666666666664,128636.5,6827.549999999999,1.3,3.6666666666666665
2003-01-08,43833.333333333336,129228.41666666667,6829.691666666667,1.4,3.5833333333333335
2003-01-09,45000.0,129820.33333333333,6831.833333333333,1.3,3.5
2003-01-10,46650.0,130412.25,6833.974999999999,1.3,3.5833333333333335
2003-01-11,48300.0,131004.16666666667,6836.116666666667,1.3,3.6666666666666665
2003-01-12,49950.0,131596.08333333334,6838.258333333333,1.3,3.75
2004-01-01,50966.666666666664,132188.0,6840.4,1.5,3.8333333333333335
2004-01-02,51983.333333333336,132724.16666666666,6842.866666666667,1.4,3.9166666666666665
2004-01-03,53000.0,133260.33333333334,6845.333333333333,1.2,4.0
2004-01-04,54666.666666666664,133796.5,6847.799999999999,1.1,4.083333333333333
2004-01-05,56333.333333333336,134332.66666666666,6850.266666666666,1.4,4.166666666666667
2004-01-06,58000.0,134868.83333333334,6852.733333333334,1.5,4.25
2004-01-07,60000.0,135405.0,6855.2,1.4,4.416666666666667
2004-01-08,62000.0,135941.16666666666,6857.666666666666,1.4,4.583333333333333
2004-01-09,64000.0,136477.33333333334,6860.133333333333,1.2,4.75
2004-01-10,65500.0,137013.5,6862.6,1.3,4.75
2004-01-11,67000.0,137549.66666666666,6865.066666666667,1.5,4.75
2004-01-12,68500.0,138085.83333333334,6867.533333333333,1.8,4.75
2005-01-01,69666.66666666667,138622.0,6870.0,1.7,4.75
2005-01-02,70833.33333333333,139235.83333333334,6872.633333333333,1.7,4.75
2005-01-03,72000.0,139849.66666666666,6875.266666666666,2.0,4.75
2005-01-04,73000.0,140463.5,6877.9,1.9,4.75
2005-01-05,74000.0,141077.33333333334,6880.533333333334,1.9,4.75
2005-01-06,75000.0,141691.16666666666,6883.166666666667,2.0,4.75
2005-01-07,76000.0,142305.0,6885.8,2.3,4.666666666666667
2005-01-08,77000.0,142918.83333333334,6888.433333333333,2.4,4.583333333333333
2005-01-09,78000.0,143532.66666666666,6891.066666666667,2.5,4.5
2005-01-10,78333.33333333333,144146.5,6893.700000000001,2.4,4.5
2005-01-11,78666.66666666667,144760.33333333334,6896.333333333334,2.2,4.5
2005-01-12,79000.0,145374.16666666666,6898.966666666667,2.1,4.5
2006-01-01,79333.33333333333,145988.0,6901.6,2.2,4.5
2006-01-02,79666.66666666667,146454.16666666666,6903.908333333334,2.2,4.5
2006-01-03,80000.0,146920.33333333334,6906.216666666667,2.0,4.5
2006-01-04,80333.33333333333,147386.5,6908.525000000001,2.2,4.5
2006-01-05,80666.66666666667,147852.66666666666,6910.833333333334,2.4,4.5
2006-01-06,81000.0,148318.83333333334,6913.141666666667,2.6,4.5
2006-01-07,82000.0,148785.0,6915.450000000001,2.5,4.583333333333333
2006-01-08,83000.0,149251.16666666666,6917.758333333333,2.6,4.666666666666667
2006-01-09,84000.0,149717.33333333334,6920.066666666667,2.5,4.75
2006-01-10,84333.33333333333,150183.5,6922.375,2.5,4.833333333333333
2006-01-11,84666.66666666667,150649.66666666666,6924.683333333333,2.8,4.916666666666667
2006-01-12,85000.0,151115.83333333334,6926.991666666667,2.9,5.0
2007-01-01,85833.33333333333,151582.0,6929.3,2.7,5.083333333333333
2007-01-02,86666.66666666667,151838.25,6931.733333333334,2.7,5.166666666666667
2007-01-03,87500.0,152094.5,6934.166666666667,2.9,5.25
2007-01-04,88316.66666666667,152350.75,6936.6,2.7,5.333333333333333
2007-01-05,89133.33333333333,152607.0,6939.033333333334,2.5,5.416666666666667
2007-01-06,89950.0,152863.25,6941.466666666667,2.5,5.5
2007-01-07,89966.66666666667,153119.5,6943.9,2.0,5.583333333333333
2007-01-08,89983.33333333333,153375.75,6946.333333333333,2.0,5.666666666666667
2007-01-09,90000.0,153632.0,6948.766666666666,2.0,5.75
2007-01-10,90666.66666666667,153888.25,6951.2,2.3,5.666666666666667
2007-01-11,91333.33333333333,154144.5,6953.633333333333,2.2,5.583333333333333
2007-01-12,92000.0,154400.75,6956.066666666667,2.3,5.5
2008-01-01,92500.0,154657.0,6958.5,2.4,5.416666666666667
2008-01-02,93000.0,154487.58333333334,6960.808333333333,2.6,5.333333333333333
2008-01-03,93500.0,154318.16666666666,6963.116666666667,2.6,5.25
2008-01-04,93833.33333333333,154148.75,6965.425,3.0,5.166666666666667
2008-01-05,94166.66666666667,153979.33333333334,6967.733333333334,3.3,5.083333333333333
2008-01-06,94500.0,153809.91666666666,6970.041666666667,3.7,5.0
2008-01-07,94333.33333333333,153640.5,6972.35,4.2,5.0
2008-01-08,94166.66666666667,153471.08333333334,6974.658333333333,4.4,5.0
2008-01-09,94000.0,153301.66666666666,6976.966666666666,4.8,5.0
2008-01-10,93333.33333333333,153132.25,6979.275,4.2,4.0
2008-01-11,92666.66666666667,152962.83333333334,6981.583333333333,3.8,3.0
2008-01-12,92000.0,152793.41666666666,6983.891666666666,3.0,2.0
2009-01-01,91916.66666666667,152624.0,6986.2,2.9,1.5
2009-01-02,91833.33333333333,153038.66666666666,6989.008333333333,3.1,1.0
2009-01-03,91750.0,153453.33333333334,6991.816666666667,2.8,0.5
2009-01-04,90333.33333333333,153868.0,6994.625,2.3,0.5
2009-01-05,88916.66666666667,154282.66666666666,6997.433333333333,2.1,0.5
2009-01-06,87500.0,154697.33333333334,7000.241666666667,1.7,0.5
2009-01-07,86666.66666666667,155112.0,7003.049999999999,1.6,0.5
2009-01-08,85833.33333333333,155526.66666666666,7005.858333333333,1.4,0.5
2009-01-09,85000.0,155941.33333333334,7008.666666666666,1.0,0.5
2009-01-10,85000.0,156356.0,7011.474999999999,1.2,0.5
2009-01-11,85000.0,156770.66666666666,7014.283333333333,1.5,0.5
2009-01-12,85000.0,157185.33333333334,7017.091666666666,2.1,0.5
2010-01-01,84998.33333333333,157600.0,7019.9,2.6,0.5
2010-01-02,84996.66666666667,157852.33333333334,7022.908333333333,2.1,0.5
2010-01-03,84995.0,158104.66666666666,7025.916666666666,2.4,0.5
2010-01-04,84995.83333333333,158357.0,7028.924999999999,2.7,0.5
2010-01-05,84996.66666666667,158609.33333333334,7031.933333333333,2.5,0.5
2010-01-06,84997.5,158861.66666666666,7034.941666666667,2.4,0.5
2010-01-07,84989.16666666667,159114.0,7037.95,2.3,0.5
2010-01-08,84980.83333333333,159366.33333333334,7040.958333333333,2.4,0.5
2010-01-09,84972.5,159618.66666666666,7043.966666666666,2.4,0.5
2010-01-10,84230.83333333333,159871.0,7046.975,2.5,0.5
2010-01-11,83489.16666666667,160123.33333333334,7049.983333333334,2.6,0.5
2010-01-12,82747.5,160375.66666666666,7052.991666666667,3.1,0.5
2011-01-01,81831.66666666667,160628.0,7056.0,3.4,0.5
2011-01-02,80915.83333333333,161012.66666666666,7058.358333333334,3.7,0.5
2011-01-03,80000.0,161397.33333333334,7060.716666666667,3.5,0.5
2011-01-04,79983.33333333333,161782.0,7063.075,3.8,0.5
2011-01-05,79966.66666666667,162166.66666666666,7065.433333333333,3.8,0.5
2011-01-06,79950.0,162551.33333333334,7067.791666666667,3.6,0.5
2011-01-07,79133.33333333333,162936.0,7070.15,3.8,0.5
