Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,24816.666666666668,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,24408.333333333332,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,24000.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,23500.0,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,23000.0,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,22500.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,23000.0,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,23500.0,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,24000.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,24316.666666666668,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,24633.333333333332,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,24950.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,25300.0,66487.13,4957.6,2.6,5.94
1997-01-02,25650.0,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,26000.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,26000.0,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,26000.0,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,26000.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,25833.333333333332,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,25666.666666666668,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,25500.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,25333.333333333332,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,25166.666666666668,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,25000.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,24833.333333333332,70468.0,4957.7,1.8,7.25
1998-01-02,24666.666666666668,70680.25,4957.583333333333,1.8,7.25
1998-01-03,24500.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,24500.0,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,24500.0,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,24500.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,24833.333333333332,71741.5,4957.0,1.7,7.5
1998-01-08,25166.666666666668,71953.75,4956.883333333333,1.6,7.5
1998-01-09,25500.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,24916.666666666668,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,24333.333333333332,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,23750.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,23625.0,73015.0,4956.3,2.0,6.0
1999-01-02,23500.0,73229.75,4956.491666666667,1.9,5.75
1999-01-03,23375.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,23208.333333333332,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,23041.666666666668,73874.0,4957.066666666667,1.7,5.166666666666667
