Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,36333.333333333336,64410.8307692308,4793.1,2.9,6.233333333333333
1996-01-02,36166.666666666664,64771.45320512824,4795.950000000001,3.0,6.086666666666667
1996-01-03,36000.0,65132.075641025665,4798.8,3.0,5.94
1996-01-04,36133.333333333336,65492.6980769231,4801.650000000001,2.8,5.856666666666667
1996-01-05,36266.666666666664,65853.32051282053,4804.5,2.8,5.773333333333333
1996-01-06,36400.0,66213.94294871797,4807.35,2.8,5.69
1996-01-07,36433.333333333336,66574.5653846154,4810.200000000001,2.7,5.69
1996-01-08,36466.666666666664,66935.18782051283,4813.05,2.7,5.69
1996-01-09,36500.0,67295.81025641027,4815.900000000001,2.7,5.69
1996-01-10,36983.333333333336,67656.4326923077,4818.75,3.0,5.773333333333333
1996-01-11,37466.666666666664,68017.05512820513,4821.6,3.1,5.856666666666667
1996-01-12,37950.0,68377.67756410257,4824.45,2.8,5.94
1997-01-01,37965.833333333336,68738.3,4827.3,2.6,5.94
1997-01-02,37981.666666666664,69236.10833333334,4829.150000000001,2.4,5.94
1997-01-03,37997.5,69733.91666666667,4831.0,2.2,5.94
1997-01-04,37998.333333333336,70231.725,4832.85,2.1,6.043333333333334
1997-01-05,37999.166666666664,70729.53333333334,4834.7,2.1,6.1466666666666665
1997-01-06,38000.0,71227.34166666667,4836.55,2.1,6.25
1997-01-07,38333.333333333336,71725.15,4838.4,2.4,6.416666666666667
1997-01-08,38666.666666666664,72222.95833333333,4840.25,2.3,6.583333333333333
1997-01-09,39000.0,72720.76666666666,4842.1,2.2,6.75
1997-01-10,39000.0,73218.575,4843.95,2.2,6.916666666666667
1997-01-11,39000.0,73716.38333333333,4845.8,2.1,7.083333333333333
1997-01-12,39000.0,74214.19166666667,4847.65,1.9,7.25
1998-01-01,39166.666666666664,74712.0,4849.5,1.8,7.25
1998-01-02,39333.333333333336,75033.33333333333,4852.125,1.8,7.25
1998-01-03,39500.0,75354.66666666667,4854.75,1.9,7.25
1998-01-04,39500.0,75676.0,4857.375,2.1,7.333333333333333
1998-01-05,39500.0,75997.33333333333,4860.0,2.2,7.416666666666667
1998-01-06,39500.0,76318.66666666667,4862.625,1.9,7.5
1998-01-07,39666.666666666664,76640.0,4865.25,1.7,7.5
1998-01-08,39833.333333333336,76961.33333333333,4867.875,1.6,7.5
1998-01-09,40000.0,77282.66666666667,4870.5,1.7,7.5
1998-01-10,40166.666666666664,77604.0,4873.125,1.6,7.083333333333333
1998-01-11,40333.333333333336,77925.33333333333,4875.75,1.7,6.666666666666667
1998-01-12,40500.0,78246.66666666667,4878.375,1.9,6.25
1999-01-01,40625.0,78568.0,4881.0,2.0,6.0
1999-01-02,40750.0,78876.25,4884.008333333333,1.9,5.75
1999-01-03,40875.0,79184.5,4887.016666666666,2.1,5.5
1999-01-04,41416.666666666664,79492.75,4890.025,2.0,5.333333333333333
