Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,33333.333333333336,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,34166.666666666664,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,35000.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,34983.333333333336,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,34966.666666666664,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,34950.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,35300.0,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,35650.0,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,36000.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,35908.333333333336,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,35816.666666666664,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,35725.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,35066.666666666664,66487.13,4957.6,2.6,5.94
1997-01-02,34408.333333333336,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,33750.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,33500.0,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,33250.0,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,33000.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,33000.0,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,33000.0,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,33000.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,33665.0,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,34330.0,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,34995.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,34996.666666666664,70468.0,4957.7,1.8,7.25
1998-01-02,34998.333333333336,70680.25,4957.583333333333,1.8,7.25
1998-01-03,35000.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,35316.666666666664,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,35633.333333333336,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,35950.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,35633.333333333336,71741.5,4957.0,1.7,7.5
1998-01-08,35316.666666666664,71953.75,4956.883333333333,1.6,7.5
1998-01-09,35000.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,34116.666666666664,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,33233.333333333336,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,32350.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,32358.333333333332,73015.0,4956.3,2.0,6.0
1999-01-02,32366.666666666668,73229.75,4956.491666666667,1.9,5.75
1999-01-03,32375.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,32683.333333333332,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,32991.666666666664,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,33300.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,34165.833333333336,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,35031.666666666664,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,35897.5,74733.0,4957.833333333334,1.6,5.25
1999-01-10,37263.333333333336,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,38629.166666666664,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,39995.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,39987.5,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,39980.0,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,39972.5,76173.0,4961.6,1.0,5.75
2000-01-04,38815.0,76463.5,4963.1,0.9,5.75
2000-01-05,37657.5,76754.0,4964.6,1.0,5.75
2000-01-06,36500.0,77044.5,4966.1,1.2,5.75
2000-01-07,35991.666666666664,77335.0,4967.6,1.2,5.75
2000-01-08,35483.333333333336,77625.5,4969.1,1.0,5.75
2000-01-09,34975.0,77916.0,4970.6,1.3,5.75
2000-01-10,34141.666666666664,78206.5,4972.1,1.4,5.75
2000-01-11,33308.333333333336,78497.0,4973.6,1.5,5.75
2000-01-12,32475.0,78787.5,4975.1,1.2,5.75
