Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,37158.333333333336,64410.8307692308,4793.1,2.9,6.233333333333333
1996-01-02,37066.666666666664,64771.45320512824,4795.950000000001,3.0,6.086666666666667
1996-01-03,36975.0,65132.075641025665,4798.8,3.0,5.94
1996-01-04,36483.333333333336,65492.6980769231,4801.650000000001,2.8,5.856666666666667
1996-01-05,35991.666666666664,65853.32051282053,4804.5,2.8,5.773333333333333
1996-01-06,35500.0,66213.94294871797,4807.35,2.8,5.69
1996-01-07,35666.666666666664,66574.5653846154,4810.200000000001,2.7,5.69
1996-01-08,35833.333333333336,66935.18782051283,4813.05,2.7,5.69
1996-01-09,36000.0,67295.81025641027,4815.900000000001,2.7,5.69
1996-01-10,36241.666666666664,67656.4326923077,4818.75,3.0,5.773333333333333
1996-01-11,36483.333333333336,68017.05512820513,4821.6,3.1,5.856666666666667
1996-01-12,36725.0,68377.67756410257,4824.45,2.8,5.94
1997-01-01,37150.0,68738.3,4827.3,2.6,5.94
1997-01-02,37575.0,69236.10833333334,4829.150000000001,2.4,5.94
1997-01-03,38000.0,69733.91666666667,4831.0,2.2,5.94
1997-01-04,38166.666666666664,70231.725,4832.85,2.1,6.043333333333334
1997-01-05,38333.333333333336,70729.53333333334,4834.7,2.1,6.1466666666666665
1997-01-06,38500.0,71227.34166666667,4836.55,2.1,6.25
1997-01-07,38750.0,71725.15,4838.4,2.4,6.416666666666667
1997-01-08,39000.0,72222.95833333333,4840.25,2.3,6.583333333333333
1997-01-09,39250.0,72720.76666666666,4842.1,2.2,6.75
1997-01-10,39333.333333333336,73218.575,4843.95,2.2,6.916666666666667
1997-01-11,39416.666666666664,73716.38333333333,4845.8,2.1,7.083333333333333
1997-01-12,39500.0,74214.19166666667,4847.65,1.9,7.25
1998-01-01,39416.666666666664,74712.0,4849.5,1.8,7.25
1998-01-02,39333.333333333336,75033.33333333333,4852.125,1.8,7.25
1998-01-03,39250.0,75354.66666666667,4854.75,1.9,7.25
1998-01-04,39333.333333333336,75676.0,4857.375,2.1,7.333333333333333
1998-01-05,39416.666666666664,75997.33333333333,4860.0,2.2,7.416666666666667
1998-01-06,39500.0,76318.66666666667,4862.625,1.9,7.5
1998-01-07,39500.0,76640.0,4865.25,1.7,7.5
1998-01-08,39500.0,76961.33333333333,4867.875,1.6,7.5
1998-01-09,39500.0,77282.66666666667,4870.5,1.7,7.5
1998-01-10,39666.666666666664,77604.0,4873.125,1.6,7.083333333333333
1998-01-11,39833.333333333336,77925.33333333333,4875.75,1.7,6.666666666666667
1998-01-12,40000.0,78246.66666666667,4878.375,1.9,6.25
1999-01-01,40000.0,78568.0,4881.0,2.0,6.0
1999-01-02,40000.0,78876.25,4884.008333333333,1.9,5.75
1999-01-03,40000.0,79184.5,4887.016666666666,2.1,5.5
1999-01-04,40333.333333333336,79492.75,4890.025,2.0,5.333333333333333
1999-01-05,40666.666666666664,79801.0,4893.033333333334,1.7,5.166666666666667
1999-01-06,41000.0,80109.25,4896.041666666667,1.8,5.0
1999-01-07,41500.0,80417.5,4899.05,1.7,5.083333333333333
1999-01-08,42000.0,80725.75,4902.058333333333,1.6,5.166666666666667
1999-01-09,42500.0,81034.0,4905.066666666667,1.6,5.25
1999-01-10,43000.0,81342.25,4908.075000000001,1.5,5.333333333333333
1999-01-11,43500.0,81650.5,4911.083333333334,1.5,5.416666666666667
1999-01-12,44000.0,81958.75,4914.091666666667,1.5,5.5
2000-01-01,44500.0,82267.0,4917.1,1.2,5.583333333333333
2000-01-02,45000.0,82621.33333333333,4919.291666666667,1.2,5.666666666666667
2000-01-03,45500.0,82975.66666666667,4921.483333333334,1.0,5.75
2000-01-04,46000.0,83330.0,4923.675,0.9,5.75
2000-01-05,46500.0,83684.33333333333,4925.866666666667,1.0,5.75
2000-01-06,47000.0,84038.66666666667,4928.058333333333,1.2,5.75
2000-01-07,47333.333333333336,84393.0,4930.25,1.2,5.75
2000-01-08,47666.666666666664,84747.33333333333,4932.441666666667,1.0,5.75
2000-01-09,48000.0,85101.66666666667,4934.633333333333,1.3,5.75
2000-01-10,48333.333333333336,85456.0,4936.825,1.4,5.75
2000-01-11,48666.666666666664,85810.33333333333,4939.016666666666,1.5,5.75
2000-01-12,49000.0,86164.66666666667,4941.208333333333,1.2,5.75
2001-01-01,49166.666666666664,86519.0,4943.4,1.2,5.75
2001-01-02,49333.333333333336,86838.83333333333,4946.125,1.2,5.75
2001-01-03,49500.0,87158.66666666667,4948.849999999999,1.3,5.75
2001-01-04,50575.0,87478.5,4951.575,1.5,5.583333333333333
2001-01-05,51650.0,87798.33333333333,4954.3,1.9,5.416666666666667
2001-01-06,52725.0,88118.16666666667,4957.025,1.9,5.25
2001-01-07,53483.333333333336,88438.0,4959.75,1.7,5.083333333333333
2001-01-08,54241.666666666664,88757.83333333333,4962.475,2.1,4.916666666666667
2001-01-09,55000.0,89077.66666666667,4965.2,1.7,4.75
2001-01-10,55666.666666666664,89397.5,4967.925,1.6,4.5
2001-01-11,56333.333333333336,89717.33333333333,4970.650000000001,1.2,4.25
2001-01-12,57000.0,90037.16666666667,4973.375,1.4,4.0
2002-01-01,57541.666666666664,90357.0,4976.1,1.8,4.0
2002-01-02,58083.333333333336,90767.75,4978.650000000001,1.7,4.0
2002-01-03,58625.0,91178.5,4981.200000000001,1.7,4.0
2002-01-04,59083.333333333336,91589.25,4983.75,1.6,4.0
2002-01-05,59541.666666666664,92000.0,4986.3,1.2,4.0
2002-01-06,60000.0,92410.75,4988.85,1.1,4.0
2002-01-07,61983.333333333336,92821.5,4991.4,1.4,4.0
2002-01-08,63966.666666666664,93232.25,4993.95,1.3,4.0
2002-01-09,65950.0,93643.0,4996.5,1.2,4.0
2002-01-10,67466.66666666667,94053.75,4999.05,1.5,4.0
2002-01-11,68983.33333333333,94464.5,5001.6,1.6,4.0
2002-01-12,70500.0,94875.25,5004.15,1.7,4.0
2003-01-01,71500.0,95286.0,5006.7,1.4,3.9166666666666665
2003-01-02,72500.0,95735.41666666667,5009.333333333333,1.6,3.8333333333333335
2003-01-03,73500.0,96184.83333333333,5011.966666666666,1.6,3.75
2003-01-04,75000.0,96634.25,5014.6,1.5,3.75
2003-01-05,76500.0,97083.66666666667,5017.233333333334,1.3,3.75
2003-01-06,78000.0,97533.08333333333,5019.866666666667,1.2,3.75
2003-01-07,78666.66666666667,97982.5,5022.5,1.3,3.6666666666666665
2003-01-08,79333.33333333333,98431.91666666667,5025.133333333333,1.4,3.5833333333333335
2003-01-09,80000.0,98881.33333333333,5027.766666666666,1.3,3.5
2003-01-10,81650.0,99330.75,5030.4,1.3,3.5833333333333335
2003-01-11,83300.0,99780.16666666667,5033.033333333334,1.3,3.6666666666666665
2003-01-12,84950.0,100229.58333333333,5035.666666666667,1.3,3.75
2004-01-01,85800.0,100679.0,5038.3,1.5,3.8333333333333335
2004-01-02,86650.0,101070.25,5042.283333333334,1.4,3.9166666666666665
2004-01-03,87500.0,101461.5,5046.266666666666,1.2,4.0
2004-01-04,88333.33333333333,101852.75,5050.25,1.1,4.083333333333333
2004-01-05,89166.66666666667,102244.0,5054.233333333334,1.4,4.166666666666667
2004-01-06,90000.0,102635.25,5058.216666666667,1.5,4.25
2004-01-07,92666.66666666667,103026.5,5062.200000000001,1.4,4.416666666666667
2004-01-08,95333.33333333333,103417.75,5066.183333333333,1.4,4.583333333333333
2004-01-09,98000.0,103809.0,5070.166666666667,1.2,4.75
2004-01-10,100333.33333333333,104200.25,5074.150000000001,1.3,4.75
2004-01-11,102666.66666666667,104591.5,5078.133333333333,1.5,4.75
2004-01-12,105000.0,104982.75,5082.116666666667,1.8,4.75
2005-01-01,106666.66666666667,105374.0,5086.1,1.7,4.75
2005-01-02,108333.33333333333,105788.83333333333,5088.908333333334,1.7,4.75
2005-01-03,110000.0,106203.66666666667,5091.716666666667,2.0,4.75
2005-01-04,110666.66666666667,106618.5,5094.525000000001,1.9,4.75
2005-01-05,111333.33333333333,107033.33333333333,5097.333333333334,1.9,4.75
2005-01-06,112000.0,107448.16666666667,5100.141666666667,2.0,4.75
2005-01-07,112000.0,107863.0,5102.950000000001,2.3,4.666666666666667
2005-01-08,112000.0,108277.83333333333,5105.758333333333,2.4,4.583333333333333
2005-01-09,112000.0,108692.66666666667,5108.566666666667,2.5,4.5
2005-01-10,111333.33333333333,109107.5,5111.375,2.4,4.5
2005-01-11,110666.66666666667,109522.33333333333,5114.183333333333,2.2,4.5
2005-01-12,110000.0,109937.16666666667,5116.991666666667,2.1,4.5
2006-01-01,110833.33333333333,110352.0,5119.8,2.2,4.5
2006-01-02,111666.66666666667,110737.75,5124.025000000001,2.2,4.5
2006-01-03,112500.0,111123.5,5128.25,2.0,4.5
2006-01-04,112666.66666666667,111509.25,5132.475,2.2,4.5
2006-01-05,112833.33333333333,111895.0,5136.7,2.4,4.5
2006-01-06,113000.0,112280.75,5140.925,2.6,4.5
2006-01-07,113166.66666666667,112666.5,5145.15,2.5,4.583333333333333
2006-01-08,113333.33333333333,113052.25,5149.375,2.6,4.666666666666667
2006-01-09,113500.0,113438.0,5153.6,2.5,4.75
2006-01-10,114250.0,113823.75,5157.825,2.5,4.833333333333333
2006-01-11,115000.0,114209.5,5162.05,2.8,4.916666666666667
2006-01-12,115750.0,114595.25,5166.275,2.9,5.0
2007-01-01,116750.0,114981.0,5170.5,2.7,5.083333333333333
2007-01-02,117750.0,115383.0,5173.375,2.7,5.166666666666667
2007-01-03,118750.0,115785.0,5176.25,2.9,5.25
2007-01-04,119166.66666666667,116187.0,5179.125,2.7,5.333333333333333
2007-01-05,119583.33333333333,116589.0,5182.0,2.5,5.416666666666667
2007-01-06,120000.0,116991.0,5184.875,2.5,5.5
2007-01-07,121333.33333333333,117393.0,5187.75,2.0,5.583333333333333
2007-01-08,122666.66666666667,117795.0,5190.625,2.0,5.666666666666667
2007-01-09,124000.0,118197.0,5193.5,2.0,5.75
2007-01-10,124333.33333333333,118599.0,5196.375,2.3,5.666666666666667
2007-01-11,124666.66666666667,119001.0,5199.25,2.2,5.583333333333333
2007-01-12,125000.0,119403.0,5202.125,2.3,5.5
2008-01-01,125000.0,119805.0,5205.0,2.4,5.416666666666667
2008-01-02,125000.0,119592.66666666667,5206.816666666667,2.6,5.333333333333333
2008-01-03,125000.0,119380.33333333333,5208.633333333333,2.6,5.25
2008-01-04,127000.0,119168.0,5210.45,3.0,5.166666666666667
2008-01-05,129000.0,118955.66666666667,5212.266666666666,3.3,5.083333333333333
2008-01-06,131000.0,118743.33333333333,5214.083333333333,3.7,5.0
2008-01-07,132333.33333333334,118531.0,5215.9,4.2,5.0
2008-01-08,133666.66666666666,118318.66666666667,5217.716666666667,4.4,5.0
2008-01-09,135000.0,118106.33333333333,5219.533333333334,4.8,5.0
2008-01-10,136000.0,117894.0,5221.35,4.2,4.0
2008-01-11,137000.0,117681.66666666667,5223.166666666667,3.8,3.0
2008-01-12,138000.0,117469.33333333333,5224.983333333334,3.0,2.0
2009-01-01,137000.0,117257.0,5226.8,2.9,1.5
2009-01-02,136000.0,117664.66666666667,5229.675,3.1,1.0
2009-01-03,135000.0,118072.33333333333,5232.55,2.8,0.5
2009-01-04,131666.66666666666,118480.0,5235.425,2.3,0.5
2009-01-05,128333.33333333333,118887.66666666667,5238.3,2.1,0.5
2009-01-06,125000.0,119295.33333333333,5241.175,1.7,0.5
2009-01-07,125000.0,119703.0,5244.05,1.6,0.5
2009-01-08,125000.0,120110.66666666667,5246.925,1.4,0.5
2009-01-09,125000.0,120518.33333333333,5249.8,1.0,0.5
2009-01-10,124500.0,120926.0,5252.675,1.2,0.5
2009-01-11,124000.0,121333.66666666667,5255.55,1.5,0.5
2009-01-12,123500.0,121741.33333333333,5258.425,2.1,0.5
2010-01-01,123000.0,122149.0,5261.3,2.6,0.5
2010-01-02,122500.0,122370.58333333333,5264.591666666667,2.1,0.5
2010-01-03,122000.0,122592.16666666667,5267.883333333333,2.4,0.5
2010-01-04,122000.0,122813.75,5271.175,2.7,0.5
2010-01-05,122000.0,123035.33333333333,5274.466666666667,2.5,0.5
2010-01-06,122000.0,123256.91666666667,5277.758333333333,2.4,0.5
2010-01-07,121916.66666666667,123478.5,5281.05,2.3,0.5
2010-01-08,121833.33333333333,123700.08333333333,5284.341666666667,2.4,0.5
2010-01-09,121750.0,123921.66666666667,5287.633333333333,2.4,0.5
2010-01-10,121158.33333333333,124143.25,5290.925,2.5,0.5
2010-01-11,120566.66666666667,124364.83333333333,5294.216666666667,2.6,0.5
2010-01-12,119975.0,124586.41666666667,5297.508333333333,3.1,0.5
2011-01-01,119983.33333333333,124808.0,5300.8,3.4,0.5
2011-01-02,119991.66666666667,125133.41666666667,5304.033333333334,3.7,0.5
2011-01-03,120000.0,125458.83333333333,5307.266666666666,3.5,0.5
2011-01-04,119333.33333333333,125784.25,5310.5,3.8,0.5
2011-01-05,118666.66666666667,126109.66666666667,5313.733333333334,3.8,0.5
2011-01-06,118000.0,126435.08333333333,5316.966666666667,3.6,0.5
2011-01-07,117333.33333333333,126760.5,5320.200000000001,3.8,0.5
2011-01-08,116666.66666666667,127085.91666666667,5323.433333333333,3.9,0.5
2011-01-09,116000.0,127411.33333333333,5326.666666666667,4.5,0.5
2011-01-10,116000.0,127736.75,5329.900000000001,4.3,0.5
2011-01-11,116000.0,128062.16666666667,5333.133333333333,4.1,0.5
2011-01-12,116000.0,128387.58333333333,5336.366666666667,3.7,0.5
2012-01-01,115166.66666666667,128713.0,5339.6,3.2,0.5
2012-01-02,114333.33333333333,129044.5,5337.646476964769,3.1,0.5
2012-01-03,113500.0,129376.0,5335.692953929539,3.1,0.5
2012-01-04,113333.33333333333,129707.5,5333.739430894308,2.8,0.5
2012-01-05,113166.66666666667,130039.0,5331.785907859077,2.5,0.5
2012-01-06,113000.0,130370.5,5329.832384823846,2.3,0.5
2012-01-07,112000.0,130702.0,5327.878861788615,2.4,0.5
2012-01-08,111000.0,131033.5,5325.9253387533845,2.3,0.5
2012-01-09,110000.0,131365.0,5323.971815718153,2.1,0.5
2012-01-10,110083.33333333333,131696.5,5322.018292682923,2.4,0.5
2012-01-11,110166.66666666667,132028.0,5320.064769647692,2.4,0.5
2012-01-12,110250.0,132359.5,5318.111246612461,2.4,0.5
2013-01-01,111000.0,132691.0,5316.15772357723,2.4,0.5
2013-01-02,111750.0,133275.33333333334,5318.541262188364,2.5,0.5
2013-01-03,112500.0,133859.66666666666,5320.924800799498,2.5,0.5
