Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,82666.66666666667,750935.8907692307,51410.4,2.9,6.233333333333333
1996-01-02,82833.33333333333,755253.7257051282,51422.833333333336,3.0,6.086666666666667
1996-01-03,83000.0,759571.5606410255,51435.26666666667,3.0,5.94
1996-01-04,82906.33333333333,763889.395576923,51447.7,2.8,5.856666666666667
1996-01-05,82812.66666666667,768207.2305128204,51460.13333333333,2.8,5.773333333333333
1996-01-06,82719.0,772525.0654487179,51472.566666666666,2.8,5.69
1996-01-07,82812.66666666667,776842.9003846154,51485.0,2.7,5.69
1996-01-08,82906.33333333333,781160.7353205128,51497.433333333334,2.7,5.69
1996-01-09,83000.0,785478.5702564103,51509.86666666667,2.7,5.69
1996-01-10,83324.16666666667,789796.4051923077,51522.3,3.0,5.773333333333333
1996-01-11,83648.33333333333,794114.2401282052,51534.73333333333,3.1,5.856666666666667
1996-01-12,83972.5,798432.0750641025,51547.166666666664,2.8,5.94
1997-01-01,84314.16666666667,802749.91,51559.6,2.6,5.94
1997-01-02,84655.83333333333,809695.7508333334,51572.975,2.4,5.94
1997-01-03,84997.5,816641.5916666667,51586.35,2.2,5.94
1997-01-04,85331.66666666667,823587.4325,51599.725,2.1,6.043333333333334
1997-01-05,85665.83333333333,830533.2733333333,51613.1,2.1,6.1466666666666665
1997-01-06,86000.0,837479.1141666666,51626.475,2.1,6.25
1997-01-07,86666.66666666667,844424.9550000001,51639.85,2.4,6.416666666666667
1997-01-08,87333.33333333333,851370.7958333334,51653.225,2.3,6.583333333333333
1997-01-09,88000.0,858316.6366666667,51666.6,2.2,6.75
1997-01-10,88665.0,865262.4775,51679.975,2.2,6.916666666666667
1997-01-11,89330.0,872208.3183333334,51693.35,2.1,7.083333333333333
1997-01-12,89995.0,879154.1591666667,51706.725,1.9,7.25
1998-01-01,90330.0,886100.0,51720.1,1.8,7.25
1998-01-02,90665.0,889454.6666666666,51737.88333333333,1.8,7.25
1998-01-03,91000.0,892809.3333333334,51755.666666666664,1.9,7.25
1998-01-04,91650.0,896164.0,51773.45,2.1,7.333333333333333
1998-01-05,92300.0,899518.6666666666,51791.23333333333,2.2,7.416666666666667
1998-01-06,92950.0,902873.3333333334,51809.01666666666,1.9,7.5
1998-01-07,93300.0,906228.0,51826.8,1.7,7.5
1998-01-08,93650.0,909582.6666666666,51844.583333333336,1.6,7.5
1998-01-09,94000.0,912937.3333333334,51862.36666666667,1.7,7.5
1998-01-10,95000.0,916292.0,51880.15,1.6,7.083333333333333
1998-01-11,96000.0,919646.6666666666,51897.933333333334,1.7,6.666666666666667
1998-01-12,97000.0,923001.3333333334,51915.71666666667,1.9,6.25
1999-01-01,97666.66666666667,926356.0,51933.5,2.0,6.0
1999-01-02,98333.33333333333,930159.9166666666,51950.725,1.9,5.75
1999-01-03,99000.0,933963.8333333334,51967.95,2.1,5.5
1999-01-04,99833.33333333333,937767.75,51985.175,2.0,5.333333333333333
1999-01-05,100666.66666666667,941571.6666666666,52002.4,1.7,5.166666666666667
1999-01-06,101500.0,945375.5833333334,52019.625,1.8,5.0
1999-01-07,103165.0,949179.5,52036.85,1.7,5.083333333333333
1999-01-08,104830.0,952983.4166666666,52054.075,1.6,5.166666666666667
1999-01-09,106495.0,956787.3333333334,52071.299999999996,1.6,5.25
1999-01-10,107663.33333333333,960591.25,52088.524999999994,1.5,5.333333333333333
1999-01-11,108831.66666666667,964395.1666666666,52105.75,1.5,5.416666666666667
1999-01-12,110000.0,968199.0833333334,52122.975,1.5,5.5
2000-01-01,111333.33333333333,972003.0,52140.2,1.2,5.583333333333333
2000-01-02,112666.66666666667,975320.75,52158.51666666666,1.2,5.666666666666667
2000-01-03,114000.0,978638.5,52176.83333333333,1.0,5.75
2000-01-04,115333.33333333333,981956.25,52195.149999999994,0.9,5.75
2000-01-05,116666.66666666667,985274.0,52213.46666666667,1.0,5.75
2000-01-06,118000.0,988591.75,52231.78333333333,1.2,5.75
2000-01-07,120331.66666666667,991909.5,52250.1,1.2,5.75
2000-01-08,122663.33333333333,995227.25,52268.416666666664,1.0,5.75
2000-01-09,124995.0,998545.0,52286.73333333333,1.3,5.75
2000-01-10,126663.33333333333,1001862.75,52305.05,1.4,5.75
2000-01-11,128331.66666666667,1005180.5,52323.36666666667,1.5,5.75
2000-01-12,130000.0,1008498.25,52341.683333333334,1.2,5.75
2001-01-01,131666.66666666666,1011816.0,52360.0,1.2,5.75
2001-01-02,133333.33333333334,1015418.25,52380.175,1.2,5.75
2001-01-03,135000.0,1019020.5,52400.35,1.3,5.75
2001-01-04,136500.0,1022622.75,52420.525,1.5,5.583333333333333
2001-01-05,138000.0,1026225.0,52440.7,1.9,5.416666666666667
2001-01-06,139500.0,1029827.25,52460.875,1.9,5.25
2001-01-07,140666.66666666666,1033429.5,52481.05,1.7,5.083333333333333
2001-01-08,141833.33333333334,1037031.75,52501.225,2.1,4.916666666666667
2001-01-09,143000.0,1040634.0,52521.4,1.7,4.75
2001-01-10,143666.66666666666,1044236.25,52541.575,1.6,4.5
2001-01-11,144333.33333333334,1047838.5,52561.75,1.2,4.25
2001-01-12,145000.0,1051440.75,52581.924999999996,1.4,4.0
2002-01-01,146333.33333333334,1055043.0,52602.1,1.8,4.0
2002-01-02,147666.66666666666,1059963.5833333333,52623.85833333333,1.7,4.0
